m/z	z	I	Res.	
1464.91909	6-	2054938	50318	
1465.82274	6-	12488261	28391	
1467.15122	6-	6145697	32860	
1468.49296	6-	1982395	28156	
1469.80756	6-	4177948	26923	
1470.80856	6-	2168641	26046	
1473.32274	6-	3252539	23123	
1477.66916	6-	6840080	32790	
1505.28113	6-	6514917	30746	
1505.35398	6-	35032788	31515	
1507.68875	6-	5701044	31000	
1509.18740	6-	3349043	28714	
1512.84927	6-	2031891	27396	
1519.85617	2-	1821994	34484	
1547.21292	6-	4501781	29077	
m/z	z	I	Res.	
255.22940	1-	10594273	179968	
283.26073	1-	11697610	158739	
485.27828	1-	10049321	104003	
639.80982	4-	2190024	94369	
642.06675	5-	1705835	93277	
644.40212	6-	1823897	72423	
666.05191	1-	41123016	71389	
691.88283	5-	1975533	64946	
695.74013	6-	1902659	63732	
701.07012	12-	5111667	66763	
702.57050	2-	2361106	73676	
705.82627	12-	1873370	71867	
706.33734	4-	3562643	73092	
710.32312	12-	44815268	66409	
711.49057	12-	1868322	59788	
711.49111	12-	8053484	67540	
712.15337	12-	1242921	50876	
712.74157	6-	1433692	70392	
722.08677	12-	3683323	65331	
726.07592	2-	2828881	76831	
731.25609	12-	27623724	66623	
732.42374	12-	4730374	69765	
743.62159	11-	2250837	65620	
747.25855	11-	5205424	67949	
752.18930	12-	9859653	64326	
753.07705	10-	6518752	55519	
757.69065	5-	4373771	64961	
761.34817	11-	2175522	66497	
762.80236	11-	3430086	61437	
764.89436	11-	8518172	60871	
770.09048	11-	2662819	51139	
770.26639	11-	5661279	48471	
771.53624	11-	3140189	63597	
774.98828	11-	192751472	63158	
776.26275	11-	25852390	61135	
776.98752	11-	7985758	64332	
777.71877	11-	2680376	65800	
778.19686	10-	5740321	61895	
778.43741	11-	2975769	63906	
782.58420	4-	3073944	54489	
783.57982	10-	2317101	61311	
785.54746	11-	2055488	65494	
787.72963	11-	4515869	62033	
789.40330	6-	7892345	61482	
793.09890	11-	4440361	44809	
797.82392	11-	123180584	61097	
799.09872	11-	21211754	61140	
799.82314	11-	4051230	64602	
800.89800	5-	2307009	61891	
801.82566	11-	2712449	60761	
802.85937	9-	4930725	58426	
808.88734	5-	3714718	43983	
818.08363	10-	5074561	59120	
820.64490	11-	3481733	63400	
820.65979	11-	36200084	58291	
821.91360	11-	1844741	44739	
821.93290	11-	1741051	55895	
822.08526	10-	9858124	47650	
822.20675	1-	7413927	64020	
831.26881	6-	6381996	60094	
836.86273	9-	7272930	60016	
839.18203	10-	2305469	57374	
841.48385	10-	4798315	63442	
843.20248	10-	4477855	50207	
843.49618	11-	7054446	53524	
846.90240	10-	3054867	52427	
847.19101	10-	9717314	41152	
847.39810	2-	3505369	55667	
848.78934	10-	4364710	62424	
852.58564	10-	361007008	57533	
853.98785	10-	46453928	56314	
854.18427	7-	2112442	68783	
854.35371	7-	2529883	61080	
854.78469	10-	15385033	54403	
855.58956	10-	4720475	53733	
856.38265	10-	7278236	56119	
864.29991	10-	1939023	57235	
864.77260	9-	6106221	49955	
868.30309	10-	2511248	54966	
872.50760	10-	7119032	47606	
873.90657	10-	3361429	43888	
877.70509	10-	238389744	58749	
879.10711	10-	33516072	54707	
879.20028	5-	5400920	53891	
879.80750	1-	5348506	55699	
879.90400	10-	10074056	54680	
880.80909	10-	4288050	58913	
881.50091	10-	3976176	50429	
882.10629	10-	5953409	54385	
902.82435	10-	62243100	53029	
902.94490	20-	3005712	56841	
903.32566	2-	5352468	43290	
903.42455	1-	6909604	51573	
904.32711	10-	11343824	55975	
907.62704	2-	2249212	45048	
909.09187	9-	5375097	56606	
913.53633	9-	10964052	50150	
914.98206	9-	2156073	45049	
927.94336	10-	10282816	51750	
929.34468	10-	2165673	53365	
934.74048	8-	2298649	52797	
936.99944	9-	5016528	44460	
941.44390	9-	9642409	52032	
941.59240	8-	3204396	40109	
941.76112	9-	9675505	40940	
943.20768	9-	4209968	55319	
947.42662	9-	357537696	51814	
948.98531	9-	48266744	53153	
949.83274	9-	1672981	71362	
949.87054	9-	17006354	47376	
950.20168	9-	2002602	51279	
950.76576	9-	3935172	56379	
951.64509	9-	7474771	44740	
956.98917	9-	1827334	52825	
969.67254	9-	6045134	52508	
971.11826	9-	4346336	52457	
972.99254	8-	5647412	51151	
975.33724	9-	234665248	50286	
976.89503	9-	35706572	49288	
977.43109	4-	3341664	59370	
977.66325	3-	4033129	48259	
977.78151	9-	11798267	46181	
978.78511	9-	4281348	51459	
979.55600	9-	4439753	49561	
980.22818	9-	6821930	51431	
997.71913	5-	10959530	49220	
1003.21511	9-	4705301	45594	
1003.24724	9-	60344172	48539	
1003.31361	2-	5389961	53971	
1004.80451	9-	10630044	48389	
1005.57932	9-	2939521	41957	
1007.40122	5-	1900457	59095	
1008.24931	9-	4018050	49617	
1022.85047	8-	4333075	49282	
1027.85132	8-	9909203	44402	
1031.15767	9-	9793728	48201	
1047.95818	5-	2319527	52071	
1054.24612	8-	2840942	57053	
1059.24938	8-	8074169	45748	
1059.35034	8-	5227061	36979	
1061.23111	8-	3880335	42054	
1065.97782	8-	246477888	46476	
1067.73121	8-	33455904	46931	
1068.72780	8-	15378916	42071	
1069.35363	8-	2891925	36849	
1069.73189	8-	1806264	50482	
1070.72310	8-	6713049	40151	
1073.48604	8-	2295232	46553	
1076.24586	7-	4906921	42389	
1091.00215	8-	5644528	45842	
1092.63077	8-	2023273	42960	
1097.37615	8-	153041744	44055	
1097.46128	8-	8787668	32924	
1098.96802	8-	3034320	54796	
1099.12914	8-	24026662	45284	
1100.12653	8-	10189976	42472	
1101.25589	8-	3522854	48460	
1102.12219	8-	5146157	45341	
1102.87901	8-	4496985	37425	
1104.75496	8-	2211304	40724	
1112.13185	7-	3718467	45375	
1128.73048	8-	4732208	48416	
1128.77574	8-	50860788	42506	
1130.52628	8-	7675932	40777	
1131.52613	8-	2835722	40301	
1160.17540	8-	7324742	44016	
1174.82783	7-	4836690	38943	
1210.70575	7-	4306909	35525	
1218.34991	7-	9140092	36697	
1218.40037	7-	93807976	38957	
1218.50859	2-	5517079	57792	
1220.40216	7-	15021297	37700	
1221.54206	7-	8108560	41821	
1223.82085	7-	4298208	33123	
1246.87828	7-	2042232	28743	
1246.97715	3-	2645483	26840	
1254.20571	7-	7032913	44437	
1254.28252	7-	74936384	37607	
1254.38008	7-	6001424	48136	
1255.78931	6-	4101221	36156	
1256.28571	7-	11100955	36585	
1257.42541	7-	4295411	38636	
1259.70614	7-	4911267	40093	
1260.71396	7-	1705810	42071	
1289.97871	7-	4143131	60035	
1290.16898	7-	25861642	36432	
1292.31179	7-	3447214	38947	
1297.64460	6-	4932520	33256	
1326.05401	7-	3387060	39631	
1370.79223	6-	5675001	37105	
1412.60410	6-	2784836	35224	
1412.65662	6-	4751961	29739	
1415.29767	6-	1886151	38882	
1421.54243	6-	15237084	22844	
1421.62095	6-	87723016	27289	
1423.22618	2-	1836423	52930	
1423.95451	6-	11917328	28556	
1424.37978	2-	2867795	41122	
1425.29030	6-	9479062	28665	
1427.94763	6-	4640080	26483	
1431.29499	6-	2254842	29977	
1435.80752	6-	9221594	25791	
1438.30845	6-	1935503	40707	
1463.40454	6-	14760831	27182	
1463.48625	6-	84076528	29094	
1465.82138	6-	10508314	28463	
1466.57863	2-	2800366	36565	
1467.14946	6-	6032361	28793	
1469.81195	6-	4872363	30406	
1470.98957	6-	2859961	26392	
1473.49017	6-	2423524	30736	
1477.50730	12-	5180962	33767	
1478.00936	6-	4003121	33507	
1505.29212	6-	6141935	37276	
1505.35510	6-	30423606	31619	
1507.69429	6-	5424116	32928	
1507.98218	3-	2359373	42015	
1509.18620	6-	2690485	35302	
1512.34007	2-	2005755	24243	
1519.52953	6-	2196396	33242	
1547.21650	6-	5202315	31160	
1740.17195	5-	1703233	28176	
m/z	z	I	Res.	
227.19798	1-	10507093	149254	
253.21388	1-	11954009	187533	
255.22951	1-	53287156	156926	
269.24524	1-	16005936	167662	
281.24521	1-	43139852	159640	
283.26087	1-	51890900	162703	
309.17080	1-	6209425	142600	
311.16537	1-	8097505	156977	
325.18113	1-	6799801	147725	
397.32908	1-	7679402	127427	
417.22487	1-	9336010	119517	
425.36007	1-	6336693	112115	
485.27895	1-	6614554	110442	
535.06087	3-	3397720	98949	
553.80896	4-	2703967	98306	
610.59267	2-	2960741	91699	
613.29890	1-	4420802	81478	
620.07802	4-	2769730	80763	
640.06360	4-	2306770	86545	
642.06702	5-	3519276	78857	
644.57057	6-	4066838	75790	
649.56759	1-	4966756	80893	
655.60667	13-	7036843	70201	
664.05740	1-	5602149	78162	
666.05230	1-	128390176	72094	
674.19386	8-	2145762	77171	
