m/z	z	I
731.2557	12-	6909493.101
732.42426	12-	1666477.559
743.62204	11-	1784299.895
745.57896	8-	1209146.061
747.25846	11-	2551227.023
753.07593	10-	3327443.95
757.69095	5-	2132153.674
761.25671	11-	2020669.818
762.80226	11-	2262956.96
764.41094	9-	752619.9425
764.89408	11-	3883270.447
766.44158	11-	1376698.119
770.26142	11-	2913962.337
771.62694	11-	1988448.229
774.98792	11-	109815488.3
776.26231	11-	16053627.21
776.98678	11-	9952157.628
777.80863	11-	1900837.265
778.19776	10-	1688548.606
778.43858	11-	5734247.891
779.62071	11-	991711.1612
782.58198	4-	2714947.165
783.58032	10-	1431618.133
787.63753	11-	1034877.92
789.40343	6-	3970216.238
793.00588	11-	1032567.32
797.82407	11-	22970243.56
799.09809	11-	5456161.957
799.82219	11-	1854708.085
801.18414	11-	1241503.398
802.85927	9-	2281476.83
809.08412	5-	3065985.925
818.08287	10-	4569151.009
820.65875	11-	2166697.91
822.0842	10-	5952859.859
831.27058	6-	2140330.15
836.8616	9-	5426000.967
839.18184	10-	2050328.197
841.48329	10-	2403750.256
843.18526	10-	1960275.549
847.38665	10-	4880253.548
848.78818	10-	3483031.191
852.58523	10-	209565328.6
853.98668	2-	3213918.293
853.98761	10-	29199964.16
854.26804	1-	8851970.031
854.56192	5-	2834507.797
854.78402	10-	20297662.9
855.38849	10-	2033539.269
855.88685	10-	2567805.665
856.38204	10-	10328900.78
856.78155	10-	1182503.434
857.68428	10-	1643720.046
858.67532	10-	1327144.154
864.77148	9-	1624588.875
870.4859	5-	2527484.423
872.40558	10-	1883107.771
877.70523	10-	41550195.13
877.78179	2-	4323468.719
879.10699	10-	10291292.16
879.90313	10-	4033346.732
880.70411	5-	1682597.659
881.40149	10-	2655005.276
882.30703	10-	1335737.622
902.82449	10-	3574607.933
903.3398	8-	1904430.676
904.22595	10-	1300564.828
909.08978	9-	3456400.41
913.53647	9-	7088152.319
915.09355	9-	1486529.016
915.97901	9-	1405313.7
937.00073	9-	1543172.384
941.3308	9-	1658929.546
941.59299	8-	4105550.754
941.64996	9-	6602322.813
943.31991	9-	3239969.729
947.42624	9-	225692394.1
948.9848	9-	30491503.3
949.23334	6-	1733574.852
949.31682	1-	7857903.484
949.37778	13-	970501.8188
949.83476	9-	2054230.878
949.86974	9-	24076704.28
950.76336	9-	3962329.351
951.20411	9-	1067665.194
951.6446	9-	13688003.47
951.72208	9-	962302.0237
951.97852	9-	1897998.008
953.09026	9-	2274384.664
954.20398	9-	1790084.011
955.43064	9-	1517032.535
969.44835	9-	1437705.137
972.99103	8-	1554293.525
975.33747	9-	45521521.23
976.8941	9-	11379188.85
977.78032	9-	5416949.403
978.78373	9-	1354455.011
979.55604	9-	3007822.523
980.3383	9-	1523099.457
997.71816	5-	4973160.189
1003.2469	9-	4747579.199
1004.91515	9-	1263310.313
1022.85003	8-	2796766.938
1027.85084	8-	5696636.922
1054.23032	8-	1591094.357
1059.00013	8-	1313095.966
1059.47801	8-	3558268.448
