m/z	z	I	Res.	
764.89472	11-	11121858	64028	
766.44365	11-	3647484	66038	
769.90579	11-	2215603	53182	
770.26148	11-	7896912	53189	
770.68885	8-	1931473	61352	
771.53604	11-	4994990	63122	
774.98808	11-	275334912	62488	
776.26303	11-	40712588	62119	
776.40865	2-	4506082	52201	
776.98752	11-	15340315	59608	
777.53644	11-	3834632	57833	
777.89906	11-	2477651	56339	
778.22165	11-	2742775	62218	
778.29799	2-	3291575	58227	
778.43812	11-	16107842	56190	
779.71309	11-	3346627	67431	
782.09337	2-	3597667	68514	
782.83405	4-	4341349	78184	
783.67962	10-	3464107	60923	
787.73030	11-	2573886	63475	
789.40381	6-	8317521	63891	
793.09808	11-	2457398	64867	
797.82428	11-	72524008	60791	
799.09895	11-	16434111	64862	
799.82110	11-	4209718	54170	
800.37111	11-	1504540	63319	
801.27485	11-	4011991	63599	
802.86125	9-	4683213	62680	
803.05958	1-	4812871	62648	
809.08399	5-	6272527	58155	
818.08360	10-	8245830	59424	
819.58333	10-	2861932	57038	
820.65940	11-	4806029	59639	
822.08490	10-	12102690	56387	
823.18971	2-	2954046	57055	
831.10319	6-	4023406	50300	
836.86252	9-	11945270	60384	
839.08181	10-	2199579	58707	
841.48389	10-	5213060	66317	
843.19729	10-	3332722	40282	
847.38753	10-	11716220	45840	
848.78861	10-	8669906	59017	
852.58626	10-	515276736	57857	
853.98761	10-	60112832	56114	
854.78453	10-	26654958	57161	
854.78573	10-	5274118	52829	
855.68947	10-	6792282	52092	
856.38221	10-	37257544	56828	
857.88242	10-	4137200	58196	
858.77864	10-	2554342	51052	
860.37265	5-	2064838	36303	
861.09313	10-	2533330	54981	
864.77233	9-	5892345	55959	
870.19729	10-	3069630	58478	
870.86267	9-	2240900	66758	
872.50792	10-	4858639	62485	
873.90832	10-	2715366	56161	
877.70606	10-	111479112	56196	
879.10685	10-	20823186	53949	
879.90350	10-	6388200	53148	
880.60894	10-	4535183	55792	
881.10295	10-	2276483	46391	
881.50050	10-	6355343	49831	
882.20765	10-	2236395	58909	
902.82389	10-	6531928	54011	
903.33939	8-	3370755	52884	
904.22667	10-	3901995	54068	
909.09194	9-	7623380	56737	
910.75592	9-	2399616	47733	
913.53737	9-	15879670	51748	
923.97886	9-	2531644	52234	
936.99011	9-	3043080	31049	
941.22113	9-	4829092	48766	
941.59307	8-	8538885	53058	
941.65075	9-	11784357	46228	
943.20677	9-	6952203	54009	
944.64879	9-	1776737	71818	
947.42623	9-	435531680	50594	
948.98494	9-	53721472	50416	
949.09052	12-	2206344	51768	
949.18820	12-	2244487	62714	
949.38944	7-	2966946	61593	
949.84156	9-	1866172	73803	
949.87025	9-	32328410	49183	
950.15625	4-	4059541	80718	
950.31586	1-	4658399	49712	
950.87655	9-	6935198	54317	
951.35159	5-	3331241	44036	
951.64525	9-	38189924	49489	
952.75710	3-	2434859	35678	
953.31271	9-	5872545	52884	
956.87618	9-	2379336	56085	
967.10853	9-	4154912	45774	
969.56136	9-	3781218	51064	
971.11942	9-	2617188	55957	
972.99247	8-	4741544	56849	
975.32213	9-	7891199	53375	
975.44991	3-	75377832	49095	
975.56138	3-	76334528	47851	
975.67298	3-	74135792	49173	
976.89509	9-	20693340	51402	
977.78017	9-	5183572	44110	
978.89565	9-	3623745	52369	
979.55429	9-	7845354	48316	
980.33673	9-	2886500	50696	
997.71865	5-	5292253	53131	
1003.24645	9-	7428658	47752	
1004.80505	9-	4890907	47025	
