ion,mass,Intensities
,3521.502759,0.0635009
,3522.505135,0.0252067
,3523.507489,0.0087957
,3524.509826,0.0027562
a11+CMCT,3768.692505,0.1896348
,3769.695208,0.2867604
,3770.697765,0.2454433
,3771.700258,0.1525759
,3772.702708,0.0761739
,3773.705127,0.0322122
,3774.707522,0.0119243
,3775.709897,0.0039509
a11-G,3366.443333,0.2419074
,3367.44605,0.3076197
,3368.44857,0.2314011
,3369.451033,0.1284411
,3370.453451,0.0579182
,3371.455839,0.0222944
,3372.458205,0.0075576
,3373.460553,0.0023039
a11+CMCT-G,3617.643095,0.2044954
,3618.645844,0.294156
,3619.648423,0.2420822
,3620.650935,0.145338
,3621.6534,0.0702939
,3622.655832,0.0288594
,3623.658239,0.010389
,3624.660626,0.0033518
a12,3846.545263,0.194514
,3847.547917,0.2871607
,3848.550423,0.2433752
,3849.552872,0.1506737
,3850.555281,0.0752217
,3851.557662,0.0318996
,3852.560022,0.0118684
,3853.562365,0.0039594
a12+CMCT,4097.745025,0.1644316
,4098.747714,0.2701782
,4099.75027,0.248714
,4100.752765,0.16552
,4101.755217,0.0881905
,4102.757639,0.0397122
,4103.760037,0.0156275
,4104.762416,0.0054971
,4105.764779,0.0017567
a12-G,3695.495853,0.209757
,3696.498551,0.2941997
,3697.501077,0.2398255
,3698.503544,0.1434518
,3699.505966,0.0694162
,3700.50836,0.0285958
,3701.510731,0.0103524
,3702.513084,0.003365
a12+CMCT-G,3946.695615,0.1773173
,3947.698345,0.278278
,3948.700923,0.2469006
,3949.703436,0.1590171
,3950.705903,0.0822256
,3951.708337,0.0360058
,3952.710747,0.0137998
,3953.713137,0.0047335
a12-A,3711.490767,0.2092477
,3712.493466,0.2935652
,3713.495991,0.2397855
,3714.498456,0.1437984
,3715.500878,0.0697942
,3716.50327,0.0288471
,3717.50564,0.0104805
,3718.507992,0.0034194
a12+CMCT-A,3962.69053,0.1768867
,3963.69326,0.2776698
,3964.695837,0.2467708
,3965.698348,0.1592959
,3966.700814,0.082593
,3967.703248,0.0362759
,3968.705656,0.0139487
,3969.708045,0.0048011
a13,4191.592697,0.1682528
,4192.595341,0.2704852
,4193.59785,0.2469014
,4194.600303,0.1639037
,4195.602716,0.0874715
,4196.605101,0.0395697
,4197.607465,0.0156793
,4198.609812,0.0055639
,4199.612144,0.0017966
a13+CMCT,4442.79246,0.1422318
,4443.795136,0.2523786
,4444.797691,0.2490078
,4445.800187,0.1769663
,4446.80264,0.1004415
,4447.805064,0.0480946
,4448.807464,0.0200982
,4449.809846,0.0074995
,4450.812211,0.0025403
a13-G,4040.543287,0.1814379
,4041.545971,0.2783053
,4042.5485,0.2449256
,4043.550968,0.1574188
,4044.553395,0.0815768
,4045.555792,0.0359074
,4046.558167,0.0138661
,4047.560523,0.0048012
a13+CMCT-G,4291.74305,0.1533778
,4292.745764,0.2608485
,4293.74834,0.2486088
,4294.750852,0.1713166
,4295.75332,0.0945258
,4296.755756,0.0440834
,4297.758167,0.0179682
,4298.760559,0.0065472
,4299.762934,0.0021676
a13-A,4056.538202,0.1809973
,4057.540886,0.2776986
,4058.543413,0.2448091
,4059.545881,0.1577007
,4060.548307,0.0819411
,4061.550703,0.0361743
,4062.553077,0.0140135
,4063.555433,0.0048685
a13+CMCT-A,4307.737965,0.1530053
,4308.740679,0.2602735
,4309.743254,0.2484191
,4310.745765,0.1715304
,4311.748232,0.0948715
,4312.750667,0.0443638
,4313.753077,0.0181353
,4314.755467,0.0066286
,4315.757842,0.0022017
a14,4496.633984,0.1482006
,4497.636638,0.2550114
,4498.639162,0.2474222
,4499.641628,0.1740562
,4500.644054,0.0982327
,4501.646452,0.0469261
,4502.648827,0.0196139
,4503.651185,0.0073356
,4504.653528,0.0024947
a14+CMCT,4747.833746,0.1252808
,4748.83643,0.2364703
,4749.838997,0.2470099
,4750.841503,0.1854078
,4751.843967,0.1109631
,4752.846401,0.0559602
,4753.848811,0.0246075
,4754.851202,0.0096554
,4755.853576,0.0034371
a14-G,4345.584574,0.1598144
,4346.587266,0.263213
,4347.589809,0.246696
,4348.592291,0.1683077
,4349.59473,0.0923738
,4350.597139,0.0429956
,4351.599525,0.0175364
,4352.601893,0.0064075
,4353.604245,0.002131
a14+CMCT-G,4596.784337,0.1350984
,4597.787056,0.2450412
,4598.789643,0.2477009
,4599.792165,0.1805604
,4600.794643,0.1051976
,4601.797089,0.0517378
,4602.79951,0.0222174
,4603.80191,0.0085226
,4604.804294,0.0029687
a14-A,4361.579489,0.1594263
,4362.582181,0.2626347
,4363.584723,0.246525
,4364.587204,0.1685329
,4365.589642,0.0927196
,4366.592051,0.0432717
,4367.594436,0.0176997
,4368.596802,0.0064869
,4369.599154,0.0021642
a14+CMCT-A,4612.779251,0.1347703
,4613.781971,0.2444976
,4614.784557,0.2474699
,4615.787078,0.1807189
,4616.789555,0.1055191
,4617.792,0.0520227
,4618.79442,0.022399
,4619.79682,0.0086165
,4620.799203,0.0030103
a15,4841.681419,0.1281922
,4842.684063,0.2374158
,4843.686589,0.2458534
,4844.689057,0.183879
,4845.691487,0.1100409
,4846.693888,0.0556351
,4847.696267,0.024576
,4848.698628,0.0097028
,4849.700975,0.0034802
a15+CMCT,5092.881181,0.1083668
,5093.883854,0.2187747
,5094.886419,0.2429469
,5095.888925,0.1932488
,5096.891391,0.1222947
,5097.893827,0.0651109
,5098.896239,0.0301891
,5099.898631,0.0124777
,5100.901008,0.0046751
a15-G,4690.632009,0.1382379
,4691.634688,0.2458293
,4692.637232,0.2463817
,4693.639716,0.1790048
,4694.642158,0.1043236
,4695.64457,0.0514588
,4696.646959,0.0222081
,4697.64933,0.0085759
,4698.651685,0.0030113
a15+CMCT-G,4941.831771,0.1168589
,4942.834477,0.2273035
,4943.837061,0.2447083
,4944.839583,0.1893188
,4945.842062,0.1167884
,4946.844509,0.0607128
,4947.846932,0.0275216
,4948.849334,0.0111328
,4949.85172,0.0040859
a15-A,4706.626924,0.1379022
,4707.629603,0.245285
,4708.632146,0.2461606
,4709.634629,0.1791683
,4710.63707,0.1046438
,4711.639482,0.0517408
,4712.64187,0.0223878
,4713.64424,0.0086691
,4714.646595,0.0030529
a15+CMCT-A,4957.826686,0.1165751
,4958.829392,0.2267961
,4959.831976,0.2444404
,4960.834497,0.1894186
,4961.836975,0.1170789
,4962.839421,0.0609983
,4963.841842,0.0277175
,4964.844244,0.0112408
,4965.846629,0.0041367
a16,5147.706721,0.113065
,5148.709385,0.2218049
,5149.71193,0.2422948
,5150.714417,0.1907838
,5151.716863,0.1200378
,5152.71928,0.0637453
,5153.721674,0.0295547
,5154.724049,0.0122401
,5155.72641,0.0046032
a16+CMCT,5398.906484,0.0955791
,5399.909173,0.203445
,5400.911754,0.2375441
,5401.914276,0.198372
,5402.916757,0.1316602
