fragment,mass,Intensities
,15738.58025,0.004663
,15739.582658,0.002369
RNA+rev+CMCT-G,15700.544681,0.0008923
,15701.547323,0.005741
,15702.549934,0.018993
,15703.552518,0.042984
,15704.555079,0.074727
,15705.55762,0.106272
,15706.560143,0.128609
,15707.562652,0.136061
,15708.565146,0.128324
,15709.567627,0.109501
,15710.570097,0.085523
,15711.572556,0.061708
,15712.575006,0.041447
,15713.577446,0.026079
,15714.579878,0.015454
,15715.582303,0.008665
,15716.58472,0.004615
,15717.58713,0.002342
RNA+rev+CMCT-G-H2O,15682.534117,0.0008947
,15683.536758,0.005756
,15684.539369,0.019039
,15685.541952,0.043078
,15686.544514,0.074864
,15687.547055,0.106427
,15688.549579,0.128739
,15689.552087,0.136134
,15690.554581,0.128325
,15691.557062,0.10944
,15692.559532,0.085425
,15693.561992,0.061599
,15694.564441,0.041347
,15695.566882,0.025998
,15696.569314,0.015395
,15697.571739,0.008625
,15698.574156,0.00459
,15699.576567,0.002328
RNA+rev+CMCT-H2O,15833.583526,0.0008297
,15834.586159,0.005399
,15835.588761,0.018052
,15836.591337,0.041272
,15837.593892,0.072447
,15838.596427,0.10399
,15839.598945,0.126973
,15840.601447,0.135492
,15841.603936,0.128854
,15842.606413,0.110842
,15843.608878,0.087251
,15844.611333,0.063436
,15845.613779,0.042925
,15846.616216,0.027204
,15847.618644,0.016235
,15848.621065,0.009166
,15849.623479,0.004915
,15850.625886,0.002511
RNA+rev-A,15465.339834,0.0010528
,15466.342466,0.006598
,15467.345066,0.021297
,15468.347639,0.047085
,15469.350189,0.08005
,15470.352719,0.111438
,15471.355231,0.132123
,15472.357727,0.137044
,15473.36021,0.126807
,15474.36268,0.106224
,15475.365138,0.081489
,15476.367586,0.057781
,15477.370024,0.038156
,15478.372454,0.023614
,15479.374875,0.013769
,15480.377288,0.007599
,15481.379695,0.003985
,15482.382094,0.001993
RNA+rev-A-H2O,15447.329269,0.0010556
,15448.331901,0.006615
,15449.334501,0.021348
,15450.337074,0.047183
,15451.339624,0.08019
,15452.342154,0.111589
,15453.344666,0.132242
,15454.347162,0.137099
,15455.349645,0.126789
,15456.352115,0.106148
,15457.354573,0.081381
,15458.357021,0.057667
,15459.35946,0.038056
,15460.361889,0.023535
,15461.364311,0.013713
,15462.366724,0.007563
,15463.369131,0.003963
,15464.371531,0.00198
RNA+rev-C,15489.351067,0.0010365
,15490.353694,0.006515
,15491.35629,0.021081
,15492.358858,0.046717
,15493.361404,0.079596
,15494.36393,0.111026
,15495.366439,0.131877
,15496.368932,0.137024
,15497.371411,0.12699
,15498.373878,0.106536
,15499.376334,0.081842
,15500.378779,0.058108
,15501.381215,0.038419
,15502.383642,0.023804
,15503.38606,0.013895
,15504.388472,0.007676
,15505.390876,0.004029
,15506.393273,0.002017
RNA+rev-C-H2O,15471.340502,0.0010393
,15472.343129,0.006531
,15473.345725,0.021131
,15474.348293,0.046815
,15475.350839,0.079736
,15476.353365,0.111177
,15477.355874,0.131996
,15478.358367,0.137079
,15479.360847,0.126973
,15480.363314,0.10646
,15481.365769,0.081735
,15482.368215,0.057994
,15483.37065,0.038318
,15484.373078,0.023725
,15485.375496,0.013839
,15486.377908,0.00764
,15487.380312,0.004007
,15488.38271,0.002004
RNA+rev-G,15449.344919,0.0010554
,15450.347551,0.006614
,15451.350152,0.021344
,15452.352725,0.047178
,15453.355275,0.080183
,15454.357804,0.111582
,15455.360317,0.132237
,15456.362813,0.137098
,15457.365296,0.126792
,15458.367766,0.106153
,15459.370225,0.081387
,15460.372673,0.057673
,15461.375111,0.03806
,15462.377541,0.023539
,15463.379962,0.013716
,15464.382376,0.007564
,15465.384783,0.003964
,15466.387183,0.00198
RNA+rev-G-H2O,15431.334354,0.0010582
,15432.336987,0.006631
,15433.339587,0.021395
,15434.34216,0.047277
,15435.344709,0.080324
,15436.347239,0.111733
,15437.349752,0.132356
,15438.352248,0.137153
,15439.354731,0.126774
,15440.357201,0.106076
,15441.35966,0.081278
,15442.362108,0.057559
,15443.364547,0.037959
,15444.366977,0.02346
,15445.369398,0.01366
,15446.371812,0.007528
,15447.374219,0.003942
,15448.376619,0.001968
RNA+rev-H2O,15582.383764,0.0009816
,15583.386387,0.006223
,15584.388979,0.020304
,15585.391544,0.045344
,15586.394087,0.077831
,15587.396611,0.109335
,15588.399117,0.130754
,15589.401609,0.136749
,15590.404087,0.12754
,15591.406552,0.107655
,15592.409006,0.083196
,15593.41145,0.059411
,15594.413885,0.039502
,15595.41631,0.02461
,15596.418728,0.014442
,15597.421138,0.008021
,15598.423542,0.004232
,15599.425938,0.002128
RNA-A,12473.674869,0.0052721
,12474.67754,0.024856
,12475.680158,0.061395
,12476.682735,0.10529
,12477.685281,0.140407
,12478.6878,0.154756
,12479.690297,0.146443
,12480.692776,0.122086
,12481.695238,0.091357
,12482.697686,0.06223
,12483.700121,0.039011
,12484.702544,0.022705
,12485.704957,0.012357
,12486.707361,0.006326
,12487.709756,0.003062
