fragment,mass,Intensities
,8601.159383,0.061622
,8602.161819,0.03429
,8603.164239,0.017449
,8604.166647,0.008206
,8605.169043,0.003595
RNA+2DEPC+H2O-CO-Eth-G,8572.145953,0.0271671
,8573.148668,0.087804
,8574.151297,0.152058
,8575.153872,0.185721
,8576.156407,0.178499
,8577.158911,0.14315
,8578.16139,0.099331
,8579.163847,0.061122
,8580.166287,0.033948
,8581.168712,0.017247
,8582.171123,0.008099
,8583.173523,0.003544
RNA+2DEPC+H2O-CO-Eth-G-H2O,8554.135389,0.0272401
,8555.138103,0.088023
,8556.140732,0.152356
,8557.143307,0.185945
,8558.145842,0.178552
,8559.148347,0.143043
,8560.150825,0.099144
,8561.153283,0.060932
,8562.155724,0.033799
,8563.158149,0.017148
,8564.16056,0.00804
,8565.16296,0.003513
RNA+2DEPC+H2O-CO-Eth-H2O,8705.184799,0.0252583
,8706.187492,0.083481
,8707.190108,0.147401
,8708.192671,0.1832
,8709.195196,0.178917
,8710.197692,0.145636
,8711.200163,0.102479
,8712.202614,0.063899
,8713.205047,0.03594
,8714.207466,0.01848
,8715.209872,0.008778
,8716.212266,0.003884
,8717.21465,0.001612
RNA+2DEPC+H2O-CO-G,8618.187818,0.0265033
,8619.190538,0.086265
,8620.193173,0.15036
,8621.195752,0.184765
,8622.198292,0.178612
,8623.2008,0.144039
,8624.203283,0.100489
,8625.205745,0.06216
,8626.208189,0.034702
,8627.210618,0.017719
,8628.213033,0.008361
,8629.215436,0.003676
RNA+2DEPC+H2O-CO-G-H2O,8600.177254,0.0265738
,8601.179973,0.086478
,8602.182607,0.150652
,8603.185188,0.184986
,8604.187727,0.178664
,8605.190236,0.143933
,8606.192719,0.100301
,8607.195181,0.061968
,8608.197626,0.03455
,8609.200055,0.017618
,8610.20247,0.008301
,8611.204873,0.003645
RNA+2DEPC+H2O-CO-H2O,8751.226663,0.0246422
,8752.229362,0.082009
,8753.231983,0.145723
,8754.234551,0.1822
,8755.237081,0.17896
,8756.239581,0.146475
,8757.242056,0.10362
,8758.244511,0.064947
,8759.246949,0.036715
,8760.249372,0.018973
,8761.251781,0.009056
,8762.254179,0.004027
,8763.256567,0.001679
RNA+DEPC,8707.200449,0.0252544
,8708.203143,0.083474
,8709.205758,0.147398
,8710.208322,0.183205
,8711.210847,0.178931
,8712.213343,0.145654
,8713.215814,0.102496
,8714.218265,0.063912
,8715.220699,0.035949
,8716.223118,0.018486
,8717.225524,0.008781
,8718.227918,0.003886
,8719.230302,0.001613
RNA+DEPC+H2O-CO,8697.216099,0.0255242
,8698.218791,0.084094
,8699.221404,0.148076
,8700.223966,0.183584
,8701.226489,0.178885
,8702.228982,0.145303
,8703.231452,0.102042
,8704.233901,0.063507
,8705.236333,0.035656
,8706.23875,0.018303
,8707.241154,0.00868
,8708.243547,0.003835
,8709.24593,0.001589
RNA+DEPC+H2O-CO-A,8562.161603,0.0274572
,8563.164316,0.088449
,8564.166943,0.152738
,8565.169516,0.186075
,8566.172049,0.178421
,8567.174551,0.142776
,8568.177027,0.098869
,8569.179483,0.060721
,8570.181921,0.033663
,8571.184344,0.017073
,8572.186754,0.008003
,8573.189152,0.003496
RNA+DEPC+H2O-CO-A-H2O,8544.151039,0.0275295
,8545.153751,0.088665
,8546.156378,0.153029
,8547.158951,0.186289
,8548.161484,0.178463
,8549.163986,0.14266
,8550.166463,0.098676
,8551.168919,0.060527
,8552.171358,0.033512
,8553.173781,0.016973
,8554.176191,0.007945
,8555.178589,0.003466
RNA+DEPC+H2O-CO-C,8586.172837,0.0270298
,8587.175538,0.087554
,8588.178158,0.151859
,8589.180724,0.185686
,8590.183251,0.17861
,8591.185747,0.143319
,8592.188219,0.099485
,8593.19067,0.061229
,8594.193104,0.034009
,8595.195523,0.017277
,8596.197929,0.008111
,8597.200324,0.003548
RNA+DEPC+H2O-CO-C-H2O,8568.162272,0.0271009
,8569.164973,0.087768
,8570.167593,0.15215
,8571.170159,0.185902
,8572.172686,0.178654
,8573.175183,0.143205
,8574.177655,0.099292
,8575.180106,0.061035
,8576.182541,0.033858
,8577.18496,0.017177
,8578.187366,0.008052
,8579.189761,0.003517
RNA+DEPC+H2O-CO-G,8546.166689,0.027524
,8547.169401,0.088654
,8548.172029,0.153019
,8549.174602,0.186287
,8550.177135,0.17847
,8551.179637,0.142673
,8552.182114,0.098689
,8553.184571,0.060538
,8554.187009,0.03352
,8555.189433,0.016977
,8556.191843,0.007947
,8557.194241,0.003467
RNA+DEPC+H2O-CO-G-H2O,8528.156124,0.0275965
,8529.158836,0.08887
,8530.161464,0.153311
,8531.164037,0.186501
,8532.16657,0.178511
,8533.169073,0.142556
,8534.17155,0.098495
,8535.174007,0.060344
,8536.176446,0.033369
,8537.178869,0.016877
,8538.18128,0.007889
,8539.183678,0.003437
RNA+DEPC+H2O-CO-H2O,8679.205534,0.0255934
,8680.208226,0.084306
,8681.210839,0.148373
,8682.213401,0.183817
,8683.215924,0.178953
,8684.218418,0.14521
,8685.220887,0.101862
,8686.223337,0.063319
,8687.225769,0.035505
,8688.228187,0.018201
,8689.230591,0.008619
,8690.232984,0.003802
,8691.235367,0.001573
RNA+DEPC-A,8572.145953,0.0271671
,8573.148668,0.087804
,8574.151297,0.152058
,8575.153872,0.185721
,8576.156407,0.178499
,8577.158911,0.14315
,8578.16139,0.099331
,8579.163847,0.061122
,8580.166287,0.033948
,8581.168712,0.017247
,8582.171123,0.008099
,8583.173523,0.003544
RNA+DEPC-A-H2O,8554.135389,0.0272401
,8555.138103,0.088023
,8556.140732,0.152356
,8557.143307,0.185945
,8558.145842,0.178552
,8559.148347,0.143043
,8560.150825,0.099144
,8561.153283,0.060932
,8562.155724,0.033799
,8563.158149,0.017148
,8564.16056,0.00804
,8565.16296,0.003513
RNA+DEPC-C,8596.157187,0.0267436
,8597.15989,0.086912
,8598.162512,0.151176
,8599.16508,0.185323
,8600.167609,0.178679
,8601.170108,0.143686
,8602.172581,0.099943
,8603.175035,0.06163
,8604.17747,0.034295
,8605.179891,0.017453
,8606.182299,0.008208
,8607.184695,0.003596
RNA+DEPC-C-H2O,8578.146622,0.0268155
,8579.149325,0.087129
,8580.151947,0.151473
,8581.154515,0.185549
,8582.157044,0.178734
,8583.159543,0.143582
,8584.162017,0.099757
,8585.164471,0.06144
,8586.166907,0.034145
,8587.169328,0.017353
,8588.171736,0.008149
,8589.174132,0.003565
RNA+DEPC-G,8556.151039,0.0272332
,8557.153753,0.088007
,8558.156383,0.152338
,8559.158958,0.185934
,8560.161493,0.17855
,8561.163998,0.143048
,8562.166477,0.099152
,8563.168935,0.06094
,8564.171375,0.033804
,8565.173801,0.017151
,8566.176212,0.008042
,8567.178612,0.003514
RNA+DEPC-G-H2O,8538.140474,0.0273064
,8539.143188,0.088227
,8540.145818,0.152638
,8541.148393,0.186159
,8542.150929,0.178603
,8543.153433,0.142941
,8544.155913,0.098964
,8545.158371,0.060749
,8546.160812,0.033655
,8547.163237,0.017052
,8548.165649,0.007984
,8549.16805,0.003484
RNA+DEPC-H2O,8689.189884,0.0253198
,8690.192577,0.083675
,8691.195193,0.147676
,8692.197757,0.183418
,8693.200282,0.178979
,8694.202778,0.145545
,8695.20525,0.102305
,8696.207701,0.063716
,8697.210135,0.035793
,8698.212554,0.018381
,8699.214961,0.008719
,8700.217355,0.003853
,8701.21974,0.001596
RNA-A,8500.124824,0.0282142
,8501.127531,0.090231
,8502.130153,0.154731
,8503.132721,0.18722
,8504.13525,0.17832
,8505.137747,0.141754
,8506.14022,0.097522
,8507.142672,0.059506
,8508.145107,0.032779
,8509.147526,0.016518
,8510.149933,0.007694
,8511.152327,0.00334
RNA-C,8524.136057,0.0277745
,8525.138753,0.08932
,8526.141368,0.153849
,8527.143929,0.186843
,8528.146451,0.178524
,8529.148944,0.142307
,8530.151412,0.098139
,8531.153859,0.06001
,8532.15629,0.033119
,8533.158705,0.016718
,8534.161108,0.007799
,8535.163499,0.00339
RNA-G,8484.129909,0.0282829
,8485.132616,0.09044
,8486.135239,0.155015
,8487.137807,0.187431
,8488.140336,0.178364
,8489.142834,0.141646
,8490.145307,0.097339
,8491.14776,0.059323
,8492.150195,0.032636
,8493.152615,0.016424
,8494.155022,0.007639
,8495.157417,0.003312
RNA-H2O,8617.168755,0.0262985
,8618.171441,0.086018
,8619.174049,0.150349
,8620.176606,0.185017
,8621.179125,0.178933
,8622.181615,0.144248
,8623.18408,0.100535
,8624.186526,0.062094
,8625.188955,0.034597
,8626.191369,0.017623
,8627.19377,0.008293
,8628.19616,0.003636
a01-G,114.031694,0.939713
,115.035102,0.052932
,116.036389,0.006997
a02+2DEPC+H2O-CO-Eth-G,547.095173,0.7807583
,548.09806,0.173283
,549.100122,0.039199
,550.10261,0.005853
a02+2DEPC+H2O-CO-G,593.137038,0.7616296
,594.139978,0.186457
,595.14209,0.043777
,596.144591,0.00699
a02-G,459.079129,0.812844
,460.081918,0.152523
,461.083955,0.030241
,462.086399,0.003883
a03+2DEPC+H2O-CO-Eth-G,852.13646,0.6877086
,853.139317,0.230415
,854.141532,0.065688
,855.143977,0.013384
a03+2DEPC+H2O-CO-G,898.178324,0.6708636
,899.18122,0.240114
,900.183474,0.070693
,901.185933,0.015046
,902.18822,0.002777
a03-G,764.120416,0.715967
,765.123208,0.215324
,766.125394,0.0563
,767.127809,0.010438
a04+2DEPC+H2O-CO-Eth-G,1197.183894,0.5948617
,1198.186658,0.27742
,1199.188972,0.096293
,1200.191372,0.024792
,1201.193673,0.005413
a04+2DEPC+H2O-CO-G,1243.225759,0.5802905
,1244.228555,0.283896
,1245.230899,0.101397
,1246.233315,0.026954
,1247.235635,0.006053
a04-G,1109.16785,0.6193057
,1110.170561,0.267577
,1111.172848,0.087005
,1112.175222,0.020939
,1113.177501,0.004281
a05+2DEPC+H2O-CO-Eth-G,1503.209197,0.524663
,1504.212003,0.302246
,1505.214384,0.12326
,1506.216812,0.037568
,1507.219153,0.009623
a05+2DEPC+H2O-CO-G,1549.251061,0.5118136
,1550.253893,0.30655
,1551.256299,0.128108
,1552.258741,0.040069
,1553.261099,0.010503
,1554.263451,0.002376
a05-G,1415.193153,0.5462273
,1416.19592,0.295933
,1417.198275,0.114588
,1418.200682,0.033123
,1419.203005,0.008059
a06+2DEPC+H2O-CO-Eth-G,1808.250483,0.4621355
,1809.253289,0.318495
,1810.25572,0.14802
,1811.258159,0.051583
,1812.260527,0.014973
,1813.262882,0.003749
a06+2DEPC+H2O-CO-G,1854.292348,0.4508109
,1855.295174,0.321001
,1856.297627,0.152489
,1857.30008,0.054325
,1858.302463,0.016089
,1859.304829,0.004109
a06-G,1720.234439,0.4811318
,1721.237212,0.315084
,1722.23962,0.140137
,1723.242042,0.046726
,1724.244393,0.012992
,1725.246733,0.003116
a07+2DEPC+H2O-CO-A,2199.339783,0.3899531
,2200.342562,0.328873
,2201.345038,0.177084
,2202.347487,0.071371
,2203.349878,0.023724
,2204.352246,0.006784
a07+2DEPC+H2O-CO-Eth-G,2137.303003,0.4007147
,2138.305763,0.328631
,2139.308225,0.172624
,2140.310661,0.06789
,2141.313041,0.022033
,2142.3154,0.006152
a07+2DEPC+H2O-CO-G,2183.344868,0.3909023
,2184.347647,0.329525
,2185.350127,0.176587
,2186.352577,0.070801
,2187.35497,0.023392
,2188.35734,0.006647
a07-A,2065.281874,0.41617
,2066.284605,0.32719
,2067.287042,0.16631
,2068.28946,0.063336
,2069.291822,0.019937
,2070.294165,0.005403
a07-G,2049.286959,0.4171831
,2050.28969,0.327828
,2051.292131,0.165734
,2052.29455,0.062754
,2053.296915,0.019622
,2054.299259,0.00528
a08+2DEPC+H2O-CO-A,2504.38107,0.3434797
,2505.383851,0.328529
,2506.386356,0.195685
,2507.38882,0.08698
,2508.391229,0.031741
,2509.393612,0.009946
,2510.395971,0.002758
a08+2DEPC+H2O-CO-Eth-G,2442.34429,0.3529607
,2443.347055,0.32939
,2444.349546,0.191925
,2445.351999,0.083483
,2446.354398,0.029827
,2447.356772,0.009152
,2448.359123,0.002485
a08+2DEPC+H2O-CO-G,2488.386155,0.3443158
,2489.388936,0.329197
,2490.391444,0.195329
,2491.393909,0.086441
,2492.396321,0.031385
,2493.398705,0.009781
,2494.401065,0.002696
a08-A,2370.323161,0.3665728
,2371.325901,0.329659
,2372.32837,0.186495
,2373.330805,0.078841
,2374.333189,0.027415
,2375.335548,0.008192
,2376.337885,0.002168
a08-G,2354.328246,0.3674651
,2355.330985,0.330321
,2356.333458,0.186068
,2357.335895,0.078284
,2358.33828,0.02707
,2359.340641,0.008041
,2360.34298,0.002114
a09+2DEPC+H2O-CO-A,2833.43359,0.2978309
,2834.43634,0.323862
,2835.438857,0.21301
