fragment,mass,Intensities
,8488.140336,0.178364
,8489.142834,0.141646
,8490.145307,0.097339
,8491.14776,0.059323
,8492.150195,0.032636
,8493.152615,0.016424
,8494.155022,0.007639
,8495.157417,0.003312
RNA-H2O,8617.168755,0.0262985
,8618.171441,0.086018
,8619.174049,0.150349
,8620.176606,0.185017
,8621.179125,0.178933
,8622.181615,0.144248
,8623.18408,0.100535
,8624.186526,0.062094
,8625.188955,0.034597
,8626.191369,0.017623
,8627.19377,0.008293
,8628.19616,0.003636
a01,265.081104,0.8714244
,266.083609,0.11333
,267.085682,0.013977
a01-G,114.031694,0.939713
,115.035102,0.052932
,116.036389,0.006997
a02,610.128539,0.7537734
,611.131053,0.19701
,612.133226,0.041817
,613.135504,0.006444
a02+DEPC+H2O-CO,672.165318,0.7335239
,673.167911,0.208774
,674.170103,0.048274
,675.172418,0.008102
a02+DEPC+H2O-CO-Eth,626.123453,0.751943
,627.12597,0.196819
,628.128128,0.043334
,629.130411,0.006847
a02+DEPC+H2O-CO-G,521.115908,0.7910045
,522.118773,0.166818
,523.120826,0.036246
,524.123304,0.005169
a02-G,459.079129,0.812844
,460.081918,0.152523
,461.083955,0.030241
,462.086399,0.003883
a03,915.169825,0.6639429
,916.172426,0.248627
,917.174675,0.069878
,918.176995,0.014545
,919.17924,0.002564
a03+DEPC+H2O-CO,977.206605,0.6461016
,978.209256,0.25697
,979.211526,0.076376
,980.213871,0.016826
,981.216134,0.003139
a03+DEPC+H2O-CO-Eth,931.16474,0.6623306
,932.167342,0.248276
,933.169581,0.071162
,934.171902,0.015045
,935.174142,0.002706
a03+DEPC+H2O-CO-G,826.157195,0.6967359
,827.160036,0.225742
,828.162243,0.062626
,829.164681,0.012389
a03-G,764.120416,0.715967
,765.123208,0.215324
,766.125394,0.0563
,767.127809,0.010438
a04,1260.21726,0.5743003
,1261.21984,0.290472
,1262.222142,0.101525
,1263.224463,0.026579
,1264.226732,0.005811
a04+DEPC+H2O-CO,1322.25404,0.5588739
,1323.256659,0.295665
,1324.258981,0.107749
,1325.261322,0.029418
,1326.263607,0.006706
a04+DEPC+H2O-CO-Eth,1276.212175,0.5729057
,1277.214756,0.289985
,1278.217052,0.102565
,1279.219372,0.027148
,1280.221638,0.006015
a04+DEPC+H2O-CO-G,1171.20463,0.6026669
,1172.207379,0.274402
,1173.209686,0.093287
,1174.212079,0.02351
,1175.214374,0.005027
a04-G,1109.16785,0.6193057
,1110.170561,0.267577
,1111.172848,0.087005
,1112.175222,0.020939
,1113.177501,0.004281
a05,1566.242562,0.506534
,1567.245216,0.311772
,1568.247577,0.128742
,1569.249942,0.039868
,1570.252251,0.010266
,1571.25455,0.002278
a05+DEPC+H2O-CO,1628.279342,0.4929231
,1629.282025,0.314856
,1630.284404,0.134435
,1631.286785,0.043047
,1632.289109,0.011456
,1633.291419,0.002628
a05+DEPC+H2O-CO-Eth,1582.237477,0.505304
,1583.240132,0.311208
,1584.242487,0.129585
,1585.244851,0.040458
,1586.247158,0.01052
,1587.249455,0.002358
a05+DEPC+H2O-CO-G,1477.229932,0.5315498
,1478.232729,0.300341
,1479.235102,0.120468
,1480.237524,0.036102
,1481.23986,0.009096
a05-G,1415.193153,0.5462273
,1416.19592,0.295933
,1417.198275,0.114588
,1418.200682,0.033123
,1419.203005,0.008059
a06,1871.283849,0.4461602
,1872.286525,0.325075
,1873.288929,0.153473
,1874.291316,0.054295
,1875.293653,0.015879
,1876.295972,0.003997
a06+DEPC+H2O-CO,1933.320629,0.4341743
,1934.323329,0.326438
,1935.325749,0.158554
,1936.328151,0.057696
,1937.3305,0.017348
,1938.33283,0.00449
a06+DEPC+H2O-CO-Eth,1887.278764,0.4450768
,1888.281441,0.324455
,1889.28384,0.154138
,1890.286226,0.054887
,1891.288561,0.016175
,1892.290879,0.004105
a06+DEPC+H2O-CO-G,1782.271219,0.468202
,1783.274016,0.317504
,1784.27644,0.145494
,1785.278875,0.049991
,1786.281239,0.014312
,1787.283589,0.003534
a06-G,1720.234439,0.4811318
,1721.237212,0.315084
,1722.23962,0.140137
,1723.242042,0.046726
,1724.244393,0.012992
,1725.246733,0.003116
a07,2200.336369,0.3868722
,2201.339021,0.332531
,2202.341448,0.177823
,2203.343841,0.070951
,2204.346189,0.02323
,2205.348516,0.006528
a07+DEPC+H2O-CO,2262.373149,0.3764702
,2263.375822,0.332344
,2264.378264,0.182168
,2265.38067,0.07448
,2266.38303,0.02498
,2267.385367,0.00719
