ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
,8887.213921,0.001781,,,8887.213919,0.001787,,-2E-06,0.00%,,,0.001787,,0.00%,,,
a29,9331.274857,0.0193694,,,9331.274857,0.0193539,,0,0.00%,,,0.0193539,,0.00%,,,
,9332.277522,0.068786,,,9332.277522,0.068731,,0,-0.01%,,,0.068731,,0.00%,,,
,9333.280118,0.129756,,,9333.280117,0.129667,,-1E-06,-0.01%,,,0.129667,,0.00%,,,
,9334.282667,0.171632,,,9334.282666,0.171549,,-1E-06,-0.01%,,,0.171549,,0.00%,,,
,9335.28518,0.177881,,,9335.28518,0.177842,,0,0.00%,,,0.177842,,0.00%,,,
,9336.287666,0.153312,,,9336.287665,0.153327,,-1E-06,0.00%,,,0.153327,,0.00%,,,
,9337.290129,0.11402,,,9337.290128,0.114071,,-1E-06,0.01%,,,0.114071,,0.00%,,,
,9338.292572,0.075027,,,9338.292571,0.075089,,-1E-06,0.01%,,,0.075089,,0.00%,,,
,9339.295,0.044475,,,9339.294998,0.044531,,-2E-06,0.01%,,,0.044531,,0.00%,,,
,9340.297413,0.024076,,,9340.297411,0.024116,,-2E-06,0.00%,,,0.024116,,0.00%,,,
,9341.299813,0.012028,,,9341.299811,0.012054,,-2E-06,0.00%,,,0.012054,,0.00%,,,
,9342.302203,0.005593,,,9342.302201,0.005607,,-2E-06,0.00%,,,0.005607,,0.00%,,,
,9343.304582,0.002437,,,9343.30458,0.002445,,-2E-06,0.00%,,,0.002445,,0.00%,,,
a29-A,9196.220362,0.0208366,,,9196.220362,0.0208199,,0,0.00%,,,0.0208199,,0.00%,,,
,9197.223045,0.072468,,,9197.223045,0.07241,,0,-0.01%,,,0.07241,,0.00%,,,
,9198.225654,0.13422,,,9198.225654,0.134129,,0,-0.01%,,,0.134129,,0.00%,,,
,9199.228213,0.174616,,,9199.228213,0.174534,,0,-0.01%,,,0.174534,,0.00%,,,
,9200.230736,0.178228,,,9200.230736,0.178193,,0,0.00%,,,0.178193,,0.00%,,,
,9201.23323,0.151435,,,9201.233229,0.151454,,-1E-06,0.00%,,,0.151454,,0.00%,,,
,9202.2357,0.111121,,,9202.235699,0.111175,,-9.99999E-07,0.01%,,,0.111175,,0.00%,,,
,9203.23815,0.072194,,,9203.238149,0.072258,,-9.99999E-07,0.01%,,,0.072258,,0.00%,,,
,9204.240583,0.04228,,,9204.240582,0.042335,,-1E-06,0.01%,,,0.042335,,0.00%,,,
,9205.243002,0.022623,,,9205.243,0.022663,,-2E-06,0.00%,,,0.022663,,0.00%,,,
,9206.245407,0.011177,,,9206.245406,0.011202,,-1E-06,0.00%,,,0.011202,,0.00%,,,
,9207.247802,0.005141,,,9207.2478,0.005155,,-2E-06,0.00%,,,0.005155,,0.00%,,,
,9208.250186,0.002217,,,9208.250184,0.002224,,-2E-06,0.00%,,,0.002224,,0.00%,,,
a29-G,9180.225448,0.0208873,,,9180.225448,0.0208706,,0,0.00%,,,0.0208706,,0.00%,,,
,9181.22813,0.072636,,,9181.22813,0.072579,,0,-0.01%,,,0.072579,,0.00%,,,
,9182.230739,0.134476,,,9182.230739,0.134386,,0,-0.01%,,,0.134386,,0.00%,,,
,9183.233299,0.174841,,,9183.233299,0.174759,,0,-0.01%,,,0.174759,,0.00%,,,
,9184.235822,0.178319,,,9184.235822,0.178284,,0,0.00%,,,0.178284,,0.00%,,,
,9185.238316,0.151377,,,9185.238315,0.151396,,-1E-06,0.00%,,,0.151396,,0.00%,,,
,9186.240786,0.110968,,,9186.240786,0.111022,,0,0.01%,,,0.111022,,0.00%,,,
,9187.243237,0.072017,,,9187.243236,0.07208,,-1E-06,0.01%,,,0.07208,,0.00%,,,
,9188.245671,0.042128,,,9188.245669,0.042182,,-2E-06,0.01%,,,0.042182,,0.00%,,,
,9189.24809,0.022514,,,9189.248088,0.022554,,-2E-06,0.00%,,,0.022554,,0.00%,,,
,9190.250496,0.011109,,,9190.250494,0.011134,,-2E-06,0.00%,,,0.011134,,0.00%,,,
,9191.25289,0.005103,,,9191.252889,0.005117,,-1E-06,0.00%,,,0.005117,,0.00%,,,
,9192.255275,0.002198,,,9192.255273,0.002205,,-2E-06,0.00%,,,0.002205,,0.00%,,,
a30,9676.322292,0.0167544,,,9676.322292,0.0167405,,0,0.00%,,,0.0167405,,0.00%,,,
,9677.324951,0.061699,,,9677.324951,0.061648,,0,-0.01%,,,0.061648,,0.00%,,,
,9678.327545,0.120425,,,9678.327545,0.120339,,0,-0.01%,,,0.120339,,0.00%,,,
,9679.330094,0.164565,,,9679.330093,0.16448,,-1E-06,-0.01%,,,0.16448,,0.00%,,,
,9680.332607,0.176003,,,9680.332607,0.175957,,0,0.00%,,,0.175957,,0.00%,,,
,9681.335094,0.156395,,,9681.335093,0.156402,,-1E-06,0.00%,,,0.156402,,0.00%,,,
,9682.337558,0.119829,,,9682.337557,0.119875,,-9.99999E-07,0.00%,,,0.119875,,0.00%,,,
,9683.340002,0.081182,,,9683.340001,0.081244,,-1E-06,0.01%,,,0.081244,,0.00%,,,
,9684.342431,0.049522,,,9684.34243,0.04958,,-9.99999E-07,0.01%,,,0.04958,,0.00%,,,
,9685.344846,0.027574,,,9685.344844,0.027618,,-2E-06,0.00%,,,0.027618,,0.00%,,,
,9686.347248,0.014163,,,9686.347246,0.014193,,-2E-06,0.00%,,,0.014193,,0.00%,,,
,9687.349639,0.006769,,,9687.349637,0.006786,,-2E-06,0.00%,,,0.006786,,0.00%,,,
,9688.35202,0.00303,,,9688.352018,0.00304,,-2E-06,0.00%,,,0.00304,,0.00%,,,
a30-A,9541.267797,0.0180234,,,9541.267797,0.0180085,,0,0.00%,,,0.0180085,,0.00%,,,
,9542.270474,0.065051,,,9542.270474,0.064997,,0,-0.01%,,,0.064997,,0.00%,,,
,9543.27308,0.124733,,,9543.27308,0.124645,,0,-0.01%,,,0.124645,,0.00%,,,
,9544.275639,0.167728,,,9544.275639,0.167643,,0,-0.01%,,,0.167643,,0.00%,,,
,9545.278162,0.176736,,,9545.278161,0.176693,,-1E-06,0.00%,,,0.176693,,0.00%,,,
,9546.280656,0.154878,,,9546.280655,0.154889,,-1E-06,0.00%,,,0.154889,,0.00%,,,
,9547.283127,0.117122,,,9547.283126,0.117171,,-1E-06,0.00%,,,0.117171,,0.00%,,,
,9548.285578,0.078368,,,9548.285577,0.078432,,-1E-06,0.01%,,,0.078432,,0.00%,,,
,9549.288012,0.047242,,,9549.288011,0.0473,,-1E-06,0.01%,,,0.0473,,0.00%,,,
,9550.290432,0.026007,,,9550.290431,0.026051,,-1E-06,0.00%,,,0.026051,,0.00%,,,
,9551.292839,0.013214,,,9551.292838,0.013242,,-1E-06,0.00%,,,0.013242,,0.00%,,,
,9552.295235,0.006249,,,9552.295233,0.006265,,-2E-06,0.00%,,,0.006265,,0.00%,,,
,9553.297621,0.002769,,,9553.297619,0.002778,,-2E-06,0.00%,,,0.002778,,0.00%,,,
a30-G,9525.272882,0.0180673,,,9525.272882,0.0180524,,0,0.00%,,,0.0180524,,0.00%,,,
,9526.275559,0.065202,,,9526.275559,0.065149,,0,-0.01%,,,0.065149,,0.00%,,,
,9527.278166,0.124975,,,9527.278166,0.124887,,0,-0.01%,,,0.124887,,0.00%,,,
,9528.280725,0.167954,,,9528.280724,0.16787,,-1E-06,-0.01%,,,0.16787,,0.00%,,,
,9529.283248,0.176845,,,9529.283247,0.176803,,-1E-06,0.00%,,,0.176803,,0.00%,,,
,9530.285742,0.154843,,,9530.285742,0.154854,,0,0.00%,,,0.154854,,0.00%,,,
,9531.288213,0.116985,,,9531.288212,0.117034,,-1E-06,0.00%,,,0.117034,,0.00%,,,
,9532.290665,0.078196,,,9532.290664,0.07826,,-1E-06,0.01%,,,0.07826,,0.00%,,,
,9533.2931,0.047087,,,9533.293099,0.047144,,-1E-06,0.01%,,,0.047144,,0.00%,,,
,9534.29552,0.025892,,,9534.295519,0.025935,,-1E-06,0.00%,,,0.025935,,0.00%,,,
,9535.297928,0.013139,,,9535.297926,0.013167,,-2E-06,0.00%,,,0.013167,,0.00%,,,
,9536.300324,0.006206,,,9536.300322,0.006222,,-2E-06,0.00%,,,0.006222,,0.00%,,,
,9537.30271,0.002747,,,9537.302708,0.002755,,-2E-06,0.00%,,,0.002755,,0.00%,,,
a31,10021.36973,0.0144924,,,10021.36973,0.0144799,,0,0.00%,,,0.0144799,,0.00%,,,
,10022.37238,0.055272,,,10022.37238,0.055225,,0,0.00%,,,0.055225,,0.00%,,,
,10023.37497,0.111499,,,10023.37497,0.111416,,0,-0.01%,,,0.111416,,0.00%,,,
,10024.37752,0.157251,,,10024.37752,0.157163,,0,-0.01%,,,0.157163,,0.00%,,,
,10025.38004,0.173382,,,10025.38004,0.173329,,0,-0.01%,,,0.173329,,0.00%,,,
,10026.38252,0.158693,,,10026.38252,0.158692,,0,0.00%,,,0.158692,,0.00%,,,
,10027.38499,0.125152,,,10027.38499,0.125194,,-1E-06,0.00%,,,0.125194,,0.00%,,,
,10028.38743,0.087221,,,10028.38743,0.087282,,-1E-06,0.01%,,,0.087282,,0.00%,,,
,10029.38986,0.054704,,,10029.38986,0.054764,,-1E-06,0.01%,,,0.054764,,0.00%,,,
,10030.39228,0.031303,,,10030.39228,0.031351,,-2E-06,0.00%,,,0.031351,,0.00%,,,
,10031.39468,0.016518,,,10031.39468,0.016551,,-1E-06,0.00%,,,0.016551,,0.00%,,,
,10032.39708,0.008107,,,10032.39707,0.008127,,-2E-06,0.00%,,,0.008127,,0.00%,,,
,10033.39946,0.003726,,,10033.39946,0.003737,,-2E-06,0.00%,,,0.003737,,0.00%,,,
,10034.40183,0.001614,,,10034.40183,0.001619,,-2E-06,0.00%,,,0.001619,,0.00%,,,
a31-A,9886.315232,0.0155901,,,9886.315232,0.0155767,,0,0.00%,,,0.0155767,,0.00%,,,
,9887.317903,0.058316,,,9887.317903,0.058266,,0,-0.01%,,,0.058266,,0.00%,,,
,9888.320507,0.115631,,,9888.320507,0.115545,,0,-0.01%,,,0.115545,,0.00%,,,
,9889.323065,0.160543,,,9889.323065,0.160455,,0,-0.01%,,,0.160455,,0.00%,,,
,9890.325588,0.174465,,,9890.325587,0.174414,,-1E-06,-0.01%,,,0.174414,,0.00%,,,
,9891.328083,0.157534,,,9891.328082,0.157537,,-1E-06,0.00%,,,0.157537,,0.00%,,,
,9892.330554,0.122659,,,9892.330553,0.122704,,-1E-06,0.00%,,,0.122704,,0.00%,,,
,9893.333007,0.084452,,,9893.333005,0.084515,,-2E-06,0.01%,,,0.084515,,0.00%,,,
,9894.335442,0.052357,,,9894.335441,0.052417,,-1E-06,0.01%,,,0.052417,,0.00%,,,
,9895.337863,0.029629,,,9895.337862,0.029676,,-1E-06,0.00%,,,0.029676,,0.00%,,,
,9896.340272,0.015469,,,9896.34027,0.015501,,-2E-06,0.00%,,,0.015501,,0.00%,,,
,9897.342669,0.007514,,,9897.342667,0.007533,,-2E-06,0.00%,,,0.007533,,0.00%,,,
,9898.345057,0.00342,,,9898.345054,0.00343,,-3E-06,0.00%,,,0.00343,,0.00%,,,
a31-G,9870.320317,0.0156281,,,9870.320317,0.0156147,,0,0.00%,,,0.0156147,,0.00%,,,
,9871.322988,0.058452,,,9871.322988,0.058402,,0,0.00%,,,0.058402,,0.00%,,,
,9872.325593,0.115858,,,9872.325593,0.115772,,0,-0.01%,,,0.115772,,0.00%,,,
,9873.328151,0.160769,,,9873.328151,0.160682,,0,-0.01%,,,0.160682,,0.00%,,,
,9874.330674,0.17459,,,9874.330673,0.17454,,-1E-06,0.00%,,,0.17454,,0.00%,,,
,9875.333169,0.157521,,,9875.333168,0.157524,,-1E-06,0.00%,,,0.157524,,0.00%,,,
,9876.335641,0.122539,,,9876.33564,0.122584,,-1E-06,0.00%,,,0.122584,,0.00%,,,
,9877.338094,0.084288,,,9877.338092,0.08435,,-2E-06,0.01%,,,0.08435,,0.00%,,,
,9878.34053,0.052201,,,9878.340528,0.052261,,-2E-06,0.01%,,,0.052261,,0.00%,,,
,9879.342951,0.029509,,,9879.34295,0.029555,,-1E-06,0.00%,,,0.029555,,0.00%,,,
,9880.34536,0.015388,,,9880.345358,0.01542,,-2E-06,0.00%,,,0.01542,,0.00%,,,
,9881.347758,0.007466,,,9881.347756,0.007485,,-2E-06,0.00%,,,0.007485,,0.00%,,,
,9882.350145,0.003394,,,9882.350143,0.003404,,-2E-06,0.00%,,,0.003404,,0.00%,,,
a32,10327.39503,0.0127822,,,10327.39503,0.0127708,,0,0.00%,,,0.0127708,,0.00%,,,
,10328.39769,0.050152,,,10328.39769,0.050108,,0,0.00%,,,0.050108,,0.00%,,,
,10329.4003,0.10397,,,10329.4003,0.103889,,0,-0.01%,,,0.103889,,0.00%,,,
,10330.40285,0.150576,,,10330.40285,0.150487,,0,-0.01%,,,0.150487,,0.00%,,,
,10331.40538,0.17039,,,10331.40538,0.170331,,0,-0.01%,,,0.170331,,0.00%,,,
,10332.40787,0.159984,,,10332.40787,0.159976,,-1E-06,0.00%,,,0.159976,,0.00%,,,
,10333.41034,0.129381,,,10333.41034,0.129417,,-1E-06,0.00%,,,0.129417,,0.00%,,,
,10334.4128,0.092434,,,10334.4128,0.092494,,-9.99999E-07,0.01%,,,0.092494,,0.00%,,,
,10335.41524,0.059414,,,10335.41524,0.059476,,-1E-06,0.01%,,,0.059476,,0.00%,,,
,10336.41766,0.034835,,,10336.41766,0.034886,,-9.99999E-07,0.01%,,,0.034886,,0.00%,,,
,10337.42007,0.018831,,,10337.42007,0.018867,,-1E-06,0.00%,,,0.018867,,0.00%,,,
,10338.42247,0.009466,,,10338.42247,0.009488,,-2E-06,0.00%,,,0.009488,,0.00%,,,
,10339.42486,0.004456,,,10339.42486,0.004468,,-2E-06,0.00%,,,0.004468,,0.00%,,,
,10340.42724,0.001975,,,10340.42724,0.001982,,-3E-06,0.00%,,,0.001982,,0.00%,,,
a32-A,10192.34053,0.0137504,,,10192.34053,0.0137382,,0,0.00%,,,0.0137382,,0.00%,,,
,10193.34322,0.052943,,,10193.34322,0.052896,,0,0.00%,,,0.052896,,0.00%,,,
,10194.34583,0.10793,,,10194.34583,0.107846,,0,-0.01%,,,0.107846,,0.00%,,,
,10195.3484,0.15394,,,10195.3484,0.153851,,0,-0.01%,,,0.153851,,0.00%,,,
,10196.35093,0.171749,,,10196.35093,0.171692,,0,-0.01%,,,0.171692,,0.00%,,,
,10197.35343,0.159138,,,10197.35343,0.159133,,-1E-06,0.00%,,,0.159133,,0.00%,,,
,10198.35591,0.127097,,,10198.35591,0.127137,,-1E-06,0.00%,,,0.127137,,0.00%,,,
,10199.35837,0.08973,,,10199.35837,0.089792,,-1E-06,0.01%,,,0.089792,,0.00%,,,
,10200.36082,0.057026,,,10200.36081,0.057088,,-2E-06,0.01%,,,0.057088,,0.00%,,,
,10201.36324,0.033074,,,10201.36324,0.033124,,-2E-06,0.01%,,,0.033124,,0.00%,,,
,10202.36566,0.017693,,,10202.36566,0.017728,,-2E-06,0.00%,,,0.017728,,0.00%,,,
,10203.36806,0.008804,,,10203.36806,0.008826,,-1E-06,0.00%,,,0.008826,,0.00%,,,
,10204.37046,0.004104,,,10204.37046,0.004116,,-2E-06,0.00%,,,0.004116,,0.00%,,,
,10205.37284,0.001802,,,10205.37284,0.001809,,-3E-06,0.00%,,,0.001809,,0.00%,,,
a32-G,10176.34562,0.0137839,,,10176.34562,0.0137717,,0,0.00%,,,0.0137717,,0.00%,,,
,10177.3483,0.053066,,,10177.3483,0.053019,,0,0.00%,,,0.053019,,0.00%,,,
,10178.35091,0.108144,,,10178.35091,0.10806,,0,-0.01%,,,0.10806,,0.00%,,,
,10179.35348,0.154165,,,10179.35348,0.154076,,0,-0.01%,,,0.154076,,0.00%,,,
,10180.35601,0.171886,,,10180.35601,0.17183,,0,-0.01%,,,0.17183,,0.00%,,,
,10181.35852,0.159143,,,10181.35852,0.159139,,-1E-06,0.00%,,,0.159139,,0.00%,,,
,10182.361,0.126993,,,10182.361,0.127033,,-1E-06,0.00%,,,0.127033,,0.00%,,,
,10183.36346,0.089574,,,10183.36346,0.089635,,-1E-06,0.01%,,,0.089635,,0.00%,,,
,10184.3659,0.05687,,,10184.3659,0.056932,,-1E-06,0.01%,,,0.056932,,0.00%,,,
,10185.36833,0.032949,,,10185.36833,0.032999,,-1E-06,0.01%,,,0.032999,,0.00%,,,
,10186.37075,0.017606,,,10186.37075,0.017641,,-2E-06,0.00%,,,0.017641,,0.00%,,,
,10187.37315,0.008752,,,10187.37315,0.008773,,-2E-06,0.00%,,,0.008773,,0.00%,,,
,10188.37555,0.004075,,,10188.37555,0.004087,,-3E-06,0.00%,,,0.004087,,0.00%,,,
,10189.37793,0.001787,,,10189.37793,0.001793,,-2E-06,0.00%,,,0.001793,,0.00%,,,
a33,10656.44755,0.0110834,,,10656.44755,0.0110733,,0,0.00%,,,0.0110733,,0.00%,,,
,10657.45021,0.044938,,,10657.45021,0.044897,,0,0.00%,,,0.044897,,0.00%,,,
,10658.45281,0.09607,,,10658.45281,0.095993,,0,-0.01%,,,0.095993,,0.00%,,,
,10659.45537,0.14327,,,10659.45537,0.14318,,0,-0.01%,,,0.14318,,0.00%,,,
,10660.45789,0.16675,,,10660.45789,0.166686,,0,-0.01%,,,0.166686,,0.00%,,,
,10661.46039,0.16089,,,10661.46038,0.160874,,-1E-06,0.00%,,,0.160874,,0.00%,,,
,10662.46286,0.133606,,,10662.46286,0.133636,,-9.99999E-07,0.00%,,,0.133636,,0.00%,,,
,10663.46532,0.097952,,,10663.46531,0.09801,,-1E-06,0.01%,,,0.09801,,0.00%,,,
,10664.46775,0.064575,,,10664.46775,0.064638,,-9.99999E-07,0.01%,,,0.064638,,0.00%,,,
,10665.47018,0.038813,,,10665.47018,0.038867,,-1E-06,0.01%,,,0.038867,,0.00%,,,
,10666.47259,0.0215,,,10666.47259,0.021539,,-1E-06,0.00%,,,0.021539,,0.00%,,,
,10667.47499,0.01107,,,10667.47499,0.011096,,-2E-06,0.00%,,,0.011096,,0.00%,,,
,10668.47739,0.005336,,,10668.47738,0.005351,,-2E-06,0.00%,,,0.005351,,0.00%,,,
,10669.47977,0.002422,,,10669.47977,0.00243,,-2E-06,0.00%,,,0.00243,,0.00%,,,
a33-A,10521.39305,0.0119229,,,10521.39305,0.011912,,0,0.00%,,,0.011912,,0.00%,,,
,10522.39573,0.047468,,,10522.39573,0.047424,,0,0.00%,,,0.047424,,0.00%,,,
,10523.39834,0.099838,,,10523.39834,0.099757,,0,-0.01%,,,0.099757,,0.00%,,,
,10524.40091,0.146687,,,10524.40091,0.146597,,0,-0.01%,,,0.146597,,0.00%,,,
,10525.40344,0.168385,,,10525.40344,0.168322,,0,-0.01%,,,0.168322,,0.00%,,,
,10526.40594,0.160376,,,10526.40594,0.160364,,-1E-06,0.00%,,,0.160364,,0.00%,,,
,10527.40842,0.13156,,,10527.40842,0.131594,,-9.99999E-07,0.00%,,,0.131594,,0.00%,,,
,10528.41089,0.095337,,,10528.41089,0.095396,,-1E-06,0.01%,,,0.095396,,0.00%,,,
,10529.41333,0.062156,,,10529.41333,0.06222,,-1E-06,0.01%,,,0.06222,,0.00%,,,
,10530.41576,0.036963,,,10530.41576,0.037017,,-1E-06,0.01%,,,0.037017,,0.00%,,,
,10531.41818,0.020266,,,10531.41818,0.020304,,-2E-06,0.00%,,,0.020304,,0.00%,,,
,10532.42059,0.010333,,,10532.42058,0.010357,,-2E-06,0.00%,,,0.010357,,0.00%,,,
,10533.42298,0.004933,,,10533.42298,0.004947,,-2E-06,0.00%,,,0.004947,,0.00%,,,
,10534.42537,0.002218,,,10534.42537,0.002226,,-2E-06,0.00%,,,0.002226,,0.00%,,,
a33-G,10505.39814,0.011952,,,10505.39814,0.0119411,,0,0.00%,,,0.0119411,,0.00%,,,
,10506.40082,0.047579,,,10506.40082,0.047535,,0,0.00%,,,0.047535,,0.00%,,,
,10507.40343,0.100038,,,10507.40343,0.099958,,0,-0.01%,,,0.099958,,0.00%,,,
,10508.40599,0.146908,,,10508.40599,0.146818,,0,-0.01%,,,0.146818,,0.00%,,,
,10509.40853,0.168533,,,10509.40852,0.168471,,-1E-06,-0.01%,,,0.168471,,0.00%,,,
,10510.41103,0.160401,,,10510.41103,0.160389,,0,0.00%,,,0.160389,,0.00%,,,
,10511.41351,0.131473,,,10511.41351,0.131507,,-1E-06,0.00%,,,0.131507,,0.00%,,,
,10512.41597,0.095189,,,10512.41597,0.095249,,-9.99999E-07,0.01%,,,0.095249,,0.00%,,,
,10513.41842,0.062001,,,10513.41842,0.062065,,-9.99999E-07,0.01%,,,0.062065,,0.00%,,,
,10514.42085,0.036834,,,10514.42085,0.036887,,-2E-06,0.01%,,,0.036887,,0.00%,,,
,10515.42327,0.020174,,,10515.42327,0.020212,,-2E-06,0.00%,,,0.020212,,0.00%,,,
,10516.42567,0.010274,,,10516.42567,0.010298,,-2E-06,0.00%,,,0.010298,,0.00%,,,
,10517.42807,0.0049,,,10517.42807,0.004914,,-2E-06,0.00%,,,0.004914,,0.00%,,,
,10518.43046,0.002201,,,10518.43046,0.002208,,-2E-06,0.00%,,,0.002208,,0.00%,,,
a34,10961.48884,0.0097625,,,10961.48884,0.0097533,,0,0.00%,,,0.0097533,,0.00%,,,
,10962.4915,0.040687,,,10962.4915,0.040648,,0,0.00%,,,0.040648,,0.00%,,,
,10963.4941,0.089295,,,10963.4941,0.08922,,-9.99999E-07,-0.01%,,,0.08922,,0.00%,,,
,10964.49667,0.136584,,,10964.49667,0.136494,,0,-0.01%,,,0.136494,,0.00%,,,
,10965.49919,0.162934,,,10965.49919,0.162864,,-1E-06,-0.01%,,,0.162864,,0.00%,,,
,10966.5017,0.161037,,,10966.5017,0.161015,,-9.99999E-07,0.00%,,,0.161015,,0.00%,,,
,10967.50418,0.136923,,,10967.50418,0.136947,,0,0.00%,,,0.136947,,0.00%,,,
,10968.50664,0.10274,,,10968.50664,0.102795,,-1E-06,0.01%,,,0.102795,,0.00%,,,
,10969.50908,0.069298,,,10969.50908,0.069362,,-1E-06,0.01%,,,0.069362,,0.00%,,,
,10970.51151,0.042603,,,10970.51151,0.04266,,-1E-06,0.01%,,,0.04266,,0.00%,,,
,10971.51393,0.024132,,,10971.51393,0.024174,,-2E-06,0.00%,,,0.024174,,0.00%,,,
,10972.51634,0.012703,,,10972.51633,0.012731,,-1E-06,0.00%,,,0.012731,,0.00%,,,
,10973.51873,0.006259,,,10973.51873,0.006275,,-2E-06,0.00%,,,0.006275,,0.00%,,,
,10974.52112,0.002903,,,10974.52112,0.002912,,-2E-06,0.00%,,,0.002912,,0.00%,,,
a34-A,10826.43434,0.010502,,,10826.43434,0.0104921,,0,0.00%,,,0.0104921,,0.00%,,,
,10827.43702,0.042998,,,10827.43702,0.042958,,0,0.00%,,,0.042958,,0.00%,,,
,10828.43964,0.09288,,,10828.43964,0.092803,,-9.99999E-07,-0.01%,,,0.092803,,0.00%,,,
,10829.44221,0.140015,,,10829.44221,0.139924,,0,-0.01%,,,0.139924,,0.00%,,,
,10830.44474,0.164785,,,10830.44474,0.164717,,-1E-06,-0.01%,,,0.164717,,0.00%,,,
,10831.44725,0.160815,,,10831.44725,0.160796,,0,0.00%,,,0.160796,,0.00%,,,
,10832.44974,0.135104,,,10832.44974,0.135132,,0,0.00%,,,0.135132,,0.00%,,,
,10833.45221,0.100227,,,10833.45221,0.100284,,-1E-06,0.01%,,,0.100284,,0.00%,,,
,10834.45466,0.066871,,,10834.45466,0.066935,,-1E-06,0.01%,,,0.066935,,0.00%,,,
,10835.45709,0.040683,,,10835.45709,0.040739,,-2E-06,0.01%,,,0.040739,,0.00%,,,
,10836.45952,0.022813,,,10836.45951,0.022855,,-2E-06,0.00%,,,0.022855,,0.00%,,,
,10837.46193,0.011893,,,10837.46192,0.01192,,-2E-06,0.00%,,,0.01192,,0.00%,,,
,10838.46433,0.005805,,,10838.46432,0.005821,,-2E-06,0.00%,,,0.005821,,0.00%,,,
,10839.46672,0.002668,,,10839.46672,0.002677,,-3E-06,0.00%,,,0.002677,,0.00%,,,
a34-G,10810.43943,0.0105275,,,10810.43943,0.0105177,,0,0.00%,,,0.0105177,,0.00%,,,
,10811.44211,0.043099,,,10811.44211,0.043059,,0,0.00%,,,0.043059,,0.00%,,,
,10812.44472,0.093068,,,10812.44472,0.092991,,0,-0.01%,,,0.092991,,0.00%,,,
,10813.44729,0.140232,,,10813.44729,0.140141,,-9.99999E-07,-0.01%,,,0.140141,,0.00%,,,
,10814.44983,0.164942,,,10814.44983,0.164874,,-1E-06,-0.01%,,,0.164874,,0.00%,,,
,10815.45234,0.160856,,,10815.45234,0.160837,,0,0.00%,,,0.160837,,0.00%,,,
,10816.45483,0.135033,,,10816.45483,0.135061,,-9.99999E-07,0.00%,,,0.135061,,0.00%,,,
,10817.45729,0.100089,,,10817.45729,0.100146,,-1E-06,0.01%,,,0.100146,,0.00%,,,
,10818.45974,0.066718,,,10818.45974,0.066782,,-2E-06,0.01%,,,0.066782,,0.00%,,,
,10819.46218,0.040551,,,10819.46218,0.040607,,-1E-06,0.01%,,,0.040607,,0.00%,,,
,10820.4646,0.022717,,,10820.4646,0.022758,,-1E-06,0.00%,,,0.022758,,0.00%,,,
,10821.46701,0.01183,,,10821.46701,0.011857,,-2E-06,0.00%,,,0.011857,,0.00%,,,
,10822.46942,0.005768,,,10822.46941,0.005783,,-2E-06,0.00%,,,0.005783,,0.00%,,,
,10823.47181,0.002648,,,10823.4718,0.002656,,-3E-06,0.00%,,,0.002656,,0.00%,,,
a35,11290.54136,0.008465,,,11290.54136,0.0084569,,0,0.00%,,,0.0084569,,0.00%,,,
,11291.54402,0.036388,,,11291.54402,0.036352,,0,0.00%,,,0.036352,,0.00%,,,
,11292.54662,0.082218,,,11292.54662,0.082147,,0,-0.01%,,,0.082147,,0.00%,,,
,11293.54918,0.1293,,,11293.54918,0.12921,,0,-0.01%,,,0.12921,,0.00%,,,
,11294.55171,0.158423,,,11294.55171,0.158349,,0,-0.01%,,,0.158349,,0.00%,,,
,11295.55421,0.160686,,,11295.55421,0.160655,,-1E-06,0.00%,,,0.160655,,0.00%,,,
,11296.55669,0.140109,,,11296.55669,0.140126,,-1E-06,0.00%,,,0.140126,,0.00%,,,
,11297.55915,0.107749,,,11297.55915,0.1078,,-1E-06,0.01%,,,0.1078,,0.00%,,,
,11298.5616,0.074449,,,11298.5616,0.074512,,-1E-06,0.01%,,,0.074512,,0.00%,,,
,11299.56403,0.046864,,,11299.56403,0.046923,,-2E-06,0.01%,,,0.046923,,0.00%,,,
,11300.56645,0.02717,,,11300.56645,0.027215,,-2E-06,0.00%,,,0.027215,,0.00%,,,
,11301.56886,0.014634,,,11301.56886,0.014665,,-2E-06,0.00%,,,0.014665,,0.00%,,,
,11302.57126,0.007374,,,11302.57125,0.007393,,-2E-06,0.00%,,,0.007393,,0.00%,,,
,11303.57364,0.003498,,,11303.57364,0.003508,,-2E-06,0.00%,,,0.003508,,0.00%,,,
,11304.57602,0.001569,,,11304.57602,0.001575,,-2E-06,0.00%,,,0.001575,,0.00%,,,
a35-A,11155.48686,0.0091062,,,11155.48686,0.0090974,,0,0.00%,,,0.0090974,,0.00%,,,
,11156.48954,0.038476,,,11156.48954,0.038439,,0,0.00%,,,0.038439,,0.00%,,,
,11157.49215,0.085602,,,11157.49215,0.085528,,0,-0.01%,,,0.085528,,0.00%,,,
,11158.49472,0.132724,,,11158.49472,0.132633,,0,-0.01%,,,0.132633,,0.00%,,,
,11159.49726,0.160484,,,11159.49726,0.160412,,-1E-06,-0.01%,,,0.160412,,0.00%,,,
,11160.49977,0.16077,,,11160.49977,0.160743,,-1E-06,0.00%,,,0.160743,,0.00%,,,
