ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
a07-G,2066.26589,0.4167261,,,2066.26589,0.4166476,,0,-0.01%,,,0.4166476,,0.00%,,,
,2067.268648,0.326215,,,2067.268648,0.326154,,0,-0.01%,,,0.326154,,0.00%,,,
,2068.271092,0.166283,,,2068.271091,0.16633,,-1E-06,0.00%,,,0.16633,,0.00%,,,
,2069.273521,0.06353,,,2069.27352,0.063579,,-1E-06,0.00%,,,0.063579,,0.00%,,,
,2070.275891,0.02009,,,2070.27589,0.020118,,-1E-06,0.00%,,,0.020118,,0.00%,,,
,2071.278241,0.005472,,,2071.27824,0.005483,,-1E-06,0.00%,,,0.005483,,0.00%,,,
a08,2562.362734,0.3342693,,,2562.362734,0.3341956,,0,-0.01%,,,0.3341956,,0.00%,,,
,2563.365391,0.330206,,,2563.365391,0.330133,,0,-0.01%,,,0.330133,,0.00%,,,
,2564.367838,0.199227,,,2564.367838,0.199257,,0,0.00%,,,0.199257,,0.00%,,,
,2565.370244,0.089393,,,2565.370244,0.089447,,0,0.01%,,,0.089447,,0.00%,,,
,2566.372607,0.032803,,,2566.372606,0.032839,,-1E-06,0.00%,,,0.032839,,0.00%,,,
,2567.374946,0.010314,,,2567.374945,0.010331,,-1E-06,0.00%,,,0.010331,,0.00%,,,
,2568.377266,0.002864,,,2568.377265,0.002871,,-1E-06,0.00%,,,0.002871,,0.00%,,,
a08-G,2411.313324,0.3604642,,,2411.313324,0.3603862,,0,-0.01%,,,0.3603862,,0.00%,,,
,2412.316049,0.329507,,,2412.316049,0.329436,,0,-0.01%,,,0.329436,,0.00%,,,
,2413.318512,0.188946,,,2413.318512,0.188984,,0,0.00%,,,0.188984,,0.00%,,,
,2414.320941,0.080935,,,2414.320941,0.080989,,0,0.01%,,,0.080989,,0.00%,,,
,2415.323319,0.028501,,,2415.323319,0.028536,,0,0.00%,,,0.028536,,0.00%,,,
,2416.325674,0.008623,,,2416.325673,0.008639,,-1E-06,0.00%,,,0.008639,,0.00%,,,
,2417.328007,0.00231,,,2417.328006,0.002315,,-1E-06,0.00%,,,0.002315,,0.00%,,,
a09,2867.404021,0.2944315,,,2867.404021,0.2943583,,0,-0.01%,,,0.2943583,,0.00%,,,
,2868.406692,0.324154,,,2868.406692,0.324073,,0,-0.01%,,,0.324073,,0.00%,,,
,2869.409166,0.21433,,,2869.409165,0.21435,,-1E-06,0.00%,,,0.21435,,0.00%,,,
,2870.41159,0.104996,,,2870.41159,0.10505,,0,0.01%,,,0.10505,,0.00%,,,
,2871.413972,0.041921,,,2871.413971,0.041964,,-1E-06,0.00%,,,0.041964,,0.00%,,,
,2872.416328,0.014315,,,2872.416327,0.014337,,-1E-06,0.00%,,,0.014337,,0.00%,,,
,2873.418663,0.004311,,,2873.418662,0.00432,,-1E-06,0.00%,,,0.00432,,0.00%,,,
a09-G,2716.354611,0.3175045,,,2716.354611,0.3174269,,0,-0.01%,,,0.3174269,,0.00%,,,
,2717.357344,0.326148,,,2717.357344,0.326068,,0,-0.01%,,,0.326068,,0.00%,,,
,2718.359835,0.205671,,,2718.359834,0.205699,,-1E-06,0.00%,,,0.205699,,0.00%,,,
,2719.362281,0.096551,,,2719.36228,0.096607,,-1E-06,0.01%,,,0.096607,,0.00%,,,
,2720.364677,0.03711,,,2720.364677,0.037151,,0,0.00%,,,0.037151,,0.00%,,,
,2721.367048,0.01223,,,2721.367047,0.012251,,-1E-06,0.00%,,,0.012251,,0.00%,,,
,2722.369396,0.003562,,,2722.369395,0.00357,,-1E-06,0.00%,,,0.00357,,0.00%,,,
a10,3212.451456,0.2546805,,,3212.451456,0.2546101,,0,-0.01%,,,0.2546101,,0.00%,,,
,3213.454111,0.313833,,,3213.454111,0.313746,,0,-0.01%,,,0.313746,,0.00%,,,
,3214.456592,0.227907,,,3214.456592,0.227915,,0,0.00%,,,0.227915,,0.00%,,,
