m/z,z,intensity,name
1387.89429,4,119207842,c18-G
1110.11550,5,52220411,c18-G
1209.33362,5,203195615,c19
1574.72277,4,791951266,c19+CMC
1259.57411,5,2207079135,c19+CMC
1540.95860,4,61100432,c19+CMC-A
1536.95781,4,383009039,c19+CMC-G
1229.36335,5,125162414,c19+CMC-G
1179.12333,5,75643921,c19-G
1660.98002,4,100971694,c20+CMC
1328.58684,5,1141608858,c20+CMC
1301.57256,5,141161807,c20+CMC-A
1306.37502,5,65316061,c20+CMC-C
1623.22316,4,72813759,c20+CMC-G
1298.37603,5,404703058,c20+CMC-G
1389.78994,5,2568186250,c21+CMC
1362.77855,5,292681585,c21+CMC-A
1367.57652,5,92690103,c21+CMC-C
1359.57944,5,797311648,c21+CMC-G
1132.81529,6,32601006,c21+CMC-G
1450.79693,5,1382960695,c22+CMC
1208.83005,6,164178688,c22+CMC
1423.78867,5,170823296,c22+CMC-A
1428.58668,5,116608345,c22+CMC-C
1420.58728,5,379426161,c22+CMC-G
1183.65456,6,26055269,c22+CMC-G
1511.80636,5,568536820,c23+CMC
1259.67095,6,2462859955,c23+CMC
1484.79461,5,28708461,c23+CMC-A
1481.59623,5,225732190,c23+CMC-G
1577.61810,5,158376913,c24+CMC
1314.51278,6,3209617864,c24+CMC
1292.00294,6,1093420953,c24+CMC-A
1296.00690,6,258276631,c24+CMC-C
1547.40697,5,55670091,c24+CMC-G
1289.33764,6,854415837,c24+CMC-G
1372.02061,6,9718864804,c25+CMC
1349.51049,6,844685035,c25+CMC-A
1353.51371,6,897889127,c25+CMC-C
1346.84617,6,1703056267,c25+CMC-G
1219.59118,7,1841937192,c26+CMC
1200.29929,7,175835353,c26+CMC-A
1203.72595,7,94325933,c26+CMC-C
1198.01234,7,256926020,c26+CMC-G
1218.43020,7,2136044491,neoRibo
1254.31600,7,4.5387E+11,neoRibo+CMC
1215.73251,7,974552466,neoRibo+CMC-2A
1211.16117,7,1266823118,neoRibo+CMC-2G
1235.02327,7,25238299663,neoRibo+CMC-A
1232.45156,7,27854185005,neoRibo+CMC-A-H2O
1238.45560,7,14685700799,neoRibo+CMC-C
1232.73751,7,33681635869,neoRibo+CMC-G
1213.44577,7,2733033992,neoRibo+CMC-G-A
1216.87613,7,2809693923,neoRibo+CMC-G-C
1230.16579,7,3047606188,neoRibo+CMC-G-H2O
1251.74516,7,16813445902,neoRibo+CMC-H2O
1199.13773,7,128949735,neoRibo-A
1396.15626,6,35949541,neoRibo-A-H2O
1196.56504,7,128809663,neoRibo-A-H2O
1403.15675,6,43359606,neoRibo-C
1202.56865,7,144374196,neoRibo-C
1196.85161,7,269795289,neoRibo-G
1393.49211,6,39293699,neoRibo-G-H2O
1194.28003,7,166942467,neoRibo-G-H2O
1215.85592,7,820405165,neoRibo-H2O
628.06973,1,303889654,w02
973.11592,1,824009661,w03
486.05450,2,9987055,w03
1302.17070,1,188478251,w04
650.58163,2,396894664,w04
583.05408,2,9671384,w04-A
1151.11949,1,30516740,w04-G
1607.21393,1,73711731,w05
803.10208,2,558081575,w05
928.70157,2,17850788,w05+CMC
1472.15689,1,77514625,w05-A
735.57505,2,19987608,w05-A
955.62468,2,154783212,w06
888.09216,2,11480810,w06-A
880.09562,2,17052843,w06-G
1108.63700,2,882419728,w07
738.75486,3,282339848,w07
1041.10957,2,36881718,w07-A
1281.16170,2,485850023,w08
853.77128,3,449838844,w08
808.75293,3,28473538,w08-A
1205.63460,2,178403240,w08-G
968.78734,3,94211779,w09
1070.79684,3,461074789,w10
802.84301,4,128755996,w10
1531.17489,2,33897927,w10-G
1020.44550,3,77653272,w10-G
1771.21888,2,21698195,w11
1180.47799,3,439041283,w11
885.10761,4,381355122,w11
851.34285,4,35160474,w11-A
1130.12830,3,96671039,w11-G
847.34603,4,44275050,w11-G
1290.15865,3,31116155,w12
967.37137,4,128674473,w12
933.60550,4,30735178,w12-A
1106.67554,4,50308510,w13+CMC
1120.38389,4,38312569,w14
896.10420,5,15778564,w14
1196.88779,4,374352930,w15
957.31000,5,249223017,w15
1007.54926,5,112173328,w15+CMC
1163.12347,4,66804436,w15-A
930.29849,5,49495075,w15-A
1159.12589,4,88284035,w15-G
927.09723,5,16058108,w15-G
1273.15005,4,161657951,w16
1018.31893,5,109009271,w16
1335.94865,4,136970028,w16+CMC
1374.44083,4,375823718,w17+CMC-G
