spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0807_rev10sb.csv
limit_error:	6.5	2020-07-21
noise_limit:	4490000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1768.399629	7	19988587.0	a38+CMCT-G	1.65	0.53	C373H469N150O262P37	8.9
1347.283825	9	56857457.0	a38-G	-0.68	0.3	C359H444N147O261P37	2.5
689.088203	1	55286771.0	c02	0.89	0.05	C20H24N10O14P2	0.2
538.03829	1	12462483.0	c02-G	0.2	0.16	C15H19N5O13P2	0.1
995.11284	1	112417354.0	c03	-0.06	0.1	C29H35N12O22P3	0.7
649.574119	2	189097308.0	c04	1.03	0.1	C38H47N15O29P4	1.1
802.586998	2	491264075.0	c05	1.11	0.06	C47H58N17O37P5	2.0
975.109643	2	425466854.0	c06	-0.18	0.06	C57H70N22O44P6	1.7
649.73749	3	15414517.0	c06	0.05	0.26	C57H70N22O44P6	0.5
899.584953	2	35351585.0	c06-G	-0.18	0.16	C52H65N17O43P6	0.4
1147.630946	2	236376126.0	c07	-2.26	0.07	C67H82N27O51P7	1.1
764.752678	3	64944826.0	c07	-0.77	0.07	C67H82N27O51P7	0.3
1072.104509	2	19407848.0	c07-G	-4.03	0.45	C62H77N22O50P7	3.9
1320.154056	2	56431819.0	c08	-2.42	0.25	C77H94N32O58P8	1.5
879.770222	3	78758380.0	c08	1.3	0.11	C77H94N32O58P8	0.5
829.418818	3	38302433.0	c08-G	-0.55	0.09	C72H89N27O57P8	0.2
1472.678964	2	180421987.0	c09	0.72	0.05	C86H106N35O65P9	0.7
981.450037	3	349478623.0	c09	0.54	0.04	C86H106N35O65P9	1.2
1598.276953	2	21747383.0	c09+CMCT	-0.52	0.38	C100H131N38O66P9	2.2
1397.148236	2	20600224.0	c09-G	-3.55	0.48	C81H101N30O64P9	5.6
931.09889	3	34973755.0	c09-G	-0.87	0.13	C81H101N30O64P9	0.3
1096.464883	3	257885127.0	c10	-0.4	0.05	C96H118N40O72P10	0.9
1046.115674	3	51750022.0	c10-G	0.15	0.16	C91H113N35O71P10	0.6
1198.146797	3	450315070.0	c11	0.88	0.02	C105H130N43O79P11	1.2
1231.531865	3	18507918.0	c11+CMCT-G	2.16	0.32	C114H150N41O79P11	1.0
1147.794145	3	34946991.0	c11-G	-1.57	0.07	C100H125N38O78P11	0.2
1307.82789	3	465667636.0	c12	-1.55	0.03	C115H142N48O85P12	1.4
980.621293	4	439715371.0	c12	0.68	0.02	C115H142N48O85P12	1.2
1894.71791	2	19721828.0	c12-A	-1.77	0.49	C110H137N43O85P12	5.9
946.857814	4	25404159.0	c12-A	0.86	0.32	C110H137N43O85P12	1.4
942.857204	4	48276691.0	c12-G	-1.13	0.2	C110H137N43O84P12	0.8
1422.844727	3	128637450.0	c13	-0.71	0.09	C125H154N53O92P13	0.7
1066.882907	4	74257793.0	c13	0.4	0.1	C125H154N53O92P13	0.4
1524.527803	3	682937356.0	c14	1.08	0.03	C134H166N56O99P14	2.1
1143.14356	4	253276616.0	c14	0.66	0.03	C134H166N56O99P14	0.8
914.314192	5	79014413.0	c14	1.54	0.07	C134H166N56O99P14	0.4
1608.261897	3	33333314.0	c14+CMCT	1.54	0.41	C148H191N59O100P14	4.5
1474.179747	3	101283020.0	c14-G	2.3	0.05	C129H161N51O98P14	0.4
1639.536352	3	91849881.0	c15	-3.43	0.09	C144H178N61O106P15	0.5
1229.402694	4	99893292.0	c15	-1.6	0.14	C144H178N61O106P15	0.9
983.320651	5	45951695.0	c15	-1.65	0.23	C144H178N61O106P15	1.0
1191.638883	4	21546516.0	c15-G	-2.87	0.28	C139H173N56O105P15	0.8
1741.544491	3	62014695.0	c16	-3.4	0.12	C153H189N63O114P16	0.5
1305.907943	4	257625296.0	c16	-2.33	0.04	C153H189N63O114P16	0.9
1044.529193	5	158453054.0	c16	1.78	0.01	C153H189N63O114P16	0.4
1382.170787	4	349037157.0	c17	-0.38	0.04	C162H201N66O121P17	1.2
1105.535333	5	258523029.0	c17	-0.23	0.08	C162H201N66O121P17	1.3
921.111682	6	32678988.0	c17	-0.11	0.3	C162H201N66O121P17	1.5
1444.972837	4	38458852.0	c17+CMCT	1.1	0.07	C176H226N69O122P17	0.2
1881.94306	3	29387317.0	c17+CMCT-A	-1.52	0.36	C171H221N64O122P17	2.4
1344.410941	4	69152477.0	c17-G	1.48	0.11	C157H196N61O120P17	0.5
1075.324752	5	44730556.0	c17-G	-0.89	0.17	C157H196N61O120P17	0.5
1464.429307	4	219342045.0	c18	-3.5	0.03	C172H213N71O127P18	0.7
1171.343707	5	148253588.0	c18	-2.04	0.06	C172H213N71O127P18	0.6
975.953799	6	97825190.0	c18	-0.07	0.11	C172H213N71O127P18	0.6
953.442171	6	29415735.0	c18-A	-2.74	0.21	C167H208N66O127P18	0.5
1426.678143	4	36721242.0	c18-G	4.25	0.18	C167H208N66O126P18	0.5
1546.694878	4	73026803.0	c19	-1.74	0.13	C182H225N76O133P19	0.6
1237.156824	5	95016312.0	c19	0.18	0.08	C182H225N76O133P19	0.5
1030.795105	6	87269677.0	c19	-0.82	0.11	C182H225N76O133P19	0.6
804.244715	8	26716038.0	c19+CMCT	-0.5	0.25	C196H250N79O134P19	0.7
1623.198398	4	63335624.0	c20	-3.39	0.21	C191H236N78O141P20	1.2
1298.363053	5	314675626.0	c20	1.07	0.06	C191H236N78O141P20	1.3
1081.798225	6	369059496.0	c20	-1.8	0.03	C191H236N78O141P20	1.1
1686.008147	4	308089966.0	c20+CMCT	2.56	0.06	C205H261N81O142P20	1.3
1348.604437	5	234767286.0	c20+CMCT	2.09	0.04	C205H261N81O142P20	0.8
1123.66667	6	128019217.0	c20+CMCT	-0.11	0.11	C205H261N81O142P20	0.9
1321.599752	5	21273465.0	c20+CMCT-A	6.84	0.12	C200H256N76O142P20	0.2
1648.240129	4	13056032.0	c20+CMCT-G	-0.82	0.26	C200H256N76O141P20	0.4
1059.29462	6	11476325.0	c20-A	3.33	0.26	C186H231N73O141P20	0.4
1585.444624	4	22628136.0	c20-G	1.94	0.58	C186H231N73O140P20	16.6
1056.62245	6	39532709.0	c20-G	-2.67	0.24	C186H231N73O140P20	1.0
1709.473636	4	24672285.0	c21	4.61	0.21	C201H248N83O148P21	0.5
1139.305033	6	73438539.0	c21	-2.67	0.12	C201H248N83O148P21	0.5
1417.607125	5	78178409.0	c21+CMCT	-2.8	0.17	C215H273N86O149P21	1.0
1433.17294	5	29192957.0	c22	-6.08	0.43	C211H260N88O154P22	4.8
1194.146915	6	59637644.0	c22	-2.72	0.15	C211H260N88O154P22	0.6
1483.416718	5	101525446.0	c22+CMCT	-3.29	0.11	C225H285N91O155P22	0.7
1236.013704	6	87408472.0	c22+CMCT	-2.5	0.11	C225H285N91O155P22	0.6
1406.166503	5	31047366.0	c22-A	-3.02	0.04	C206H255N83O154P22	0.1
1244.987158	6	95644886.0	c23	-2.59	0.1	C220H272N91O161P23	0.6
1066.991691	7	58823449.0	c23	0.92	0.1	C220H272N91O161P23	0.4
1544.42764	5	186806305.0	c23+CMCT	-1.44	0.06	C234H297N94O162P23	0.8
1102.876197	7	51859854.0	c23+CMCT	-0.18	0.29	C234H297N94O162P23	2.1
1083.583285	7	22429032.0	c23+CMCT-A	0.36	0.51	C229H292N89O162P23	8.2
1514.213182	5	35745495.0	c23+CMCT-G	-4.49	0.33	C229H292N89O161P23	2.2
1261.680734	6	101555292.0	c23+CMCT-G	-1.08	0.12	C229H292N89O161P23	0.8
1954.254464	4	19824653.0	c24	1.74	0.58	C230H284N96O168P24	14.6
1302.493391	6	83876866.0	c24	-3.76	0.14	C230H284N96O168P24	0.7
1116.281885	7	54970709.0	c24	-1.18	0.21	C230H284N96O168P24	1.0
1613.441398	5	39191339.0	c24+CMCT	1.27	0.25	C244H309N99O169P24	1.1
1344.364704	6	86412712.0	c24+CMCT	-0.15	0.16	C244H309N99O169P24	1.0
1152.169002	7	31135153.0	c24+CMCT	0.1	0.41	C244H309N99O169P24	4.2
1321.854062	6	99827993.0	c24+CMCT-A	-1.34	0.12	C239H304N94O169P24	0.7
1532.986712	5	23238691.0	c24-G	-1.83	0.39	C225H279N91O167P24	2.6
1353.339984	6	27963751.0	c25	1.1	0.22	C239H296N99O175P25	0.6
1159.858799	7	54574366.0	c25	-1.49	0.21	C239H296N99O175P25	1.0
1395.199854	6	71577597.0	c25+CMCT	-3.78	0.16	C253H321N102O176P25	0.8
1195.745016	7	93025632.0	c25+CMCT	-1.0	0.07	C253H321N102O176P25	0.4
1372.696158	6	26787156.0	c25+CMCT-A	0.08	0.07	C248H316N97O176P25	0.1
1404.343492	6	297817838.0	c26	0.55	0.04	C248H307N101O183P26	1.0
1203.575689	7	387291634.0	c26	-2.28	0.04	C248H307N101O183P26	1.3
1735.648114	5	87377913.0	c26+CMCT	-2.62	0.17	C262H332N104O184P26	1.1
1446.209682	6	1746092832.0	c26+CMCT	0.24	0.02	C262H332N104O184P26	4.7
1239.464506	7	563717796.0	c26+CMCT	0.32	0.03	C262H332N104O184P26	1.7
1423.70057	6	115804014.0	c26+CMCT-A	0.22	0.09	C257H327N99O184P26	0.7
1421.034019	6	207377662.0	c26+CMCT-G	-0.3	0.05	C257H327N99O183P26	0.8
1217.882043	7	64285757.0	c26+CMCT-G	-2.94	0.18	C257H327N99O183P26	0.9
1184.283189	7	31648242.0	c26-A	-1.47	0.37	C243H302N96O183P26	2.9
1182.003167	7	25180051.0	c26-G	2.73	0.28	C243H302N96O182P26	0.9
1252.872933	7	119988627.0	c27	1.61	0.08	C258H319N106O190P27	0.6
1503.713692	6	130331200.0	c27+CMCT	-2.36	0.11	C272H344N109O191P27	0.9
1288.753003	7	10724278505.0	c27+CMCT	-2.79	0.55	C272H344N109O191P27	6062.2
1478.536395	6	20026305.0	c27+CMCT-G	-4.02	0.07	C267H339N104O190P27	0.1
1267.169219	7	31333641.0	c27+CMCT-G	-7.02	0.22	C267H339N104O190P27	0.6
1231.293614	7	23777073.0	c27-G	0.96	0.32	C253H314N101O189P27	1.3
1516.688554	6	80286352.0	c28	-2.74	0.21	C268H331N111O196P28	1.5
1299.877361	7	68384743.0	c28	-0.82	0.06	C268H331N111O196P28	0.3
1137.267105	8	54170654.0	c28	-0.53	0.12	C268H331N111O196P28	0.4
1335.760692	7	147678162.0	c28+CMCT	-2.55	0.06	C282H356N114O197P28	0.6
1316.466889	7	54504663.0	c28+CMCT-A	-2.82	0.18	C277H351N109O197P28	0.7
1278.297099	7	50913747.0	c28-G	-2.22	0.49	C263H326N106O195P28	15.2
1343.454401	7	104560810.0	c29	-1.0	0.13	C277H343N114O203P29	0.8
1175.399587	8	109866680.0	c29	1.46	0.1	C277H343N114O203P29	0.7
1931.47843	5	22784506.0	c29+CMCT	-1.29	0.56	C291H368N117O204P29	13.7
1379.338604	7	300848197.0	c29+CMCT	-2.05	0.05	C291H368N117O204P29	1.1
1206.795161	8	85234081.0	c29+CMCT	-2.22	0.16	C291H368N117O204P29	0.9
1584.231489	6	22068724.0	c29+CMCT-G	4.32	0.47	C286H363N112O203P29	5.4
1357.760282	7	14913689.0	c29+CMCT-G	-1.96	0.22	C286H363N112O203P29	0.3
1324.171004	7	24420547.0	c29-A	6.61	0.42	C272H338N109O203P29	3.6
1321.875913	7	48576095.0	c29-G	-1.02	0.38	C272H338N109O202P29	4.8
1392.745529	7	110592469.0	c30	-1.95	0.05	C287H355N119O210P30	0.4
1218.525186	8	140862271.0	c30	-2.97	0.13	C287H355N119O210P30	1.2
1428.633482	7	955516514.0	c30+CMCT	-0.31	0.02	C301H380N122O211P30	2.6
1249.929186	8	119732461.0	c30+CMCT	0.33	0.1	C301H380N122O211P30	0.7
1409.339786	7	111186705.0	c30+CMCT-A	-0.45	0.11	C296H375N117O211P30	0.7
1407.058056	7	158154510.0	c30+CMCT-G	1.86	0.09	C296H375N117O210P30	0.9
1261.65664	8	95899658.0	c31	-2.45	0.07	C297H367N124O217P31	0.4
1477.924056	7	159640811.0	c31+CMCT	-1.59	0.07	C311H392N127O218P31	0.7
1293.0579	8	112432996.0	c31+CMCT	-1.39	0.17	C311H392N127O218P31	1.4
1244.771996	8	18712404.0	c31-A	-4.76	0.1	C292H362N119O217P31	0.1
1331.313046	8	303072243.0	c32+CMCT	0.14	0.07	C320H403N129O226P32	1.4
1502.348693	7	32378453.0	c32+CMCT-A	-1.41	0.35	C315H398N124O226P32	2.4
1312.431299	8	47472412.0	c32+CMCT-G	-0.3	0.33	C315H398N124O225P32	2.9
1708.38199	6	19006271.0	c32-G	2.31	0.33	C301H373N121O224P32	1.2
1191.924632	9	31069003.0	c33	-2.49	0.28	C316H390N131O231P33	1.2
1372.441723	8	342837552.0	c33+CMCT	-1.97	0.07	C330H415N134O232P33	1.5
1355.555338	8	51845190.0	c33+CMCT-A	-5.37	0.24	C325H410N129O232P33	1.3
1353.557632	8	22888293.0	c33+CMCT-G	-4.15	0.22	C325H410N129O231P33	0.5
1410.572509	8	380013694.0	c34+CMCT	-1.48	0.09	C339H427N137O239P34	2.1
1391.694309	8	35076887.0	c34+CMCT-G	0.64	0.05	C334H422N132O238P34	0.1
1362.291743	8	47359791.0	c34-A	-0.78	0.39	C320H397N129O238P34	5.2
1451.708682	8	218450313.0	c35+CMCT	1.74	0.09	C349H439N142O245P35	1.2
1290.290856	9	178175024.0	c35+CMCT	-2.09	0.55	C349H439N142O245P35	100.7
1434.815989	8	28675558.0	c35+CMCT-A	-5.82	0.14	C344H434N137O245P35	0.3
1275.291389	9	260297731.0	c35+CMCT-A	3.05	0.33	C344H434N137O245P35	15.7
1147.659578	10	23269683.0	c35+CMCT-A	1.36	0.43	C344H434N137O245P35	3.8
1708.52786	7	17834760.0	c36+CMCT	-0.75	0.33	C359H451N147O252P36	1.1
1328.633856	9	670841577.0	c36+CMCT	1.28	0.04	C359H451N147O252P36	2.2
1313.622536	9	47714862.0	c36+CMCT-A	-2.71	0.39	C354H446N142O252P36	5.2
1311.849117	9	43787384.0	c36+CMCT-G	0.17	0.27	C354H446N142O251P36	1.5
1444.551701	8	25446992.0	c36-G	-2.93	0.39	C340H421N139O250P36	2.8
1339.060945	9	34191927.0	c37	0.95	0.37	C355H438N149O258P37	3.1
1366.970956	9	367804829.0	c37+CMCT	0.14	0.06	C369H463N152O259P37	1.5
1351.959752	9	39628963.0	c37+CMCT-A	-3.66	0.34	C364H458N147O259P37	2.6
1350.18867	9	44533377.0	c37+CMCT-G	0.87	0.39	C364H458N147O258P37	4.9
1324.05374	9	143579140.0	c37-A	0.09	0.31	C350H433N144O258P37	7.1
1544.698593	8	29170274.0	c38	0.25	0.43	C364H450N152O265P38	4.8
1260.673559	10	578570782.0	c38+CMCT	-2.8	0.07	C378H475N155O266P38	2.6
627.08584	1	16145856.0	w02	-0.03	0.19	C18H26N6O15P2	0.2
972.13119	1	25921752.0	w03	-2.17	0.27	C28H38N11O22P3	0.9
658.08677	2	15830539.0	w04	0.06	0.34	C38H50N16O29P4	1.1
822.613368	2	24566196.0	w05	0.46	0.14	C48H62N21O35P5	0.2
975.13463	2	30295191.0	w06	1.02	0.47	C57H74N24O42P6	7.4
1139.659377	2	21682740.0	w07	-0.45	0.28	C67H86N29O48P7	0.8
976.459567	3	18884155.0	w09	-2.23	0.11	C86H109N36O63P9	0.1
1515.268731	2	22758152.0	w09+CMCT-G	-1.79	0.5	C95H129N34O63P9	7.5
1193.15514	3	36854027.0	w11	-2.39	0.49	C105H133N44O77P11	11.0
894.618176	4	32811498.0	w11	1.68	0.17	C105H133N44O77P11	0.4
1139.641913	4	29924743.0	w14	-5.33	0.12	C134H168N56O98P14	0.2
911.514322	5	48680890.0	w14	-2.87	0.08	C134H168N56O98P14	0.2
931.549196	5	24745345.0	w14+CMCT-G	2.35	0.32	C143H188N54O98P14	1.4
1278.710535	4	35425366.0	w15+CMCT	1.79	0.44	C157H205N62O106P15	6.4
1403.459926	4	27710543.0	w17+CMCT-G	-5.81	0.37	C171H224N65O119P17	2.5
1340.669224	4	26357215.0	w17-G	0.81	0.5	C157H199N62O118P17	8.7
1237.357079	5	25785592.0	w19	-4.73	0.08	C182H228N77O132P19	0.1
1609.746327	4	28700665.0	w19+CMCT	-5.65	0.43	C196H253N80O133P19	4.7
1509.189779	4	26632593.0	w19-G	-2.22	0.48	C177H223N72O131P19	7.2
1005.798359	6	24685270.0	w19-G	5.34	0.35	C177H223N72O131P19	1.8
1623.460386	4	16510983.0	w20	-0.87	0.21	C191H239N79O140P20	0.3
1648.49077	4	18829221.0	w20+CMCT-G	-5.23	0.26	C200H259N77O140P20	0.6
1268.364076	5	80432913.0	w20-G	4.71	0.09	C186H234N74O139P20	0.4
1768.524877	4	21609134.0	w21+CMCT	0.0	0.51	C215H276N87O147P21	7.9
1414.617211	5	27552087.0	w21+CMCT	-0.87	0.04	C215H276N87O147P21	0.1
1480.427639	5	47129122.0	w22+CMCT	-0.88	0.24	C225H288N92O153P22	1.2
1233.520524	6	56694730.0	w22+CMCT	-1.93	0.39	C225H288N92O153P22	6.2
1242.496751	6	44576776.0	w23	0.2	0.35	C220H275N92O159P23	3.3
1284.359039	6	1245827455.0	w23+CMCT	-3.18	0.06	C234H300N95O160P23	5.3
1217.31667	6	24285342.0	w23-G	-4.05	0.18	C215H270N87O158P23	0.3
1392.87095	6	96152552.0	w25+CMCT	-3.09	0.05	C253H323N102O175P25	0.3
1193.747297	7	54167454.0	w25+CMCT	-1.57	0.15	C253H323N102O175P25	0.5
1443.709236	6	32586850.0	w26+CMCT	-4.31	0.07	C262H335N105O182P26	0.1
1237.326243	7	48251398.0	w26+CMCT	-0.21	0.08	C262H335N105O182P26	0.2
1265.040619	7	47603202.0	w27+CMCT-G	0.09	0.59	C267H342N105O188P27	38.7
1229.160792	7	60202303.0	w27-G	4.86	0.24	C253H317N102O187P27	1.5
1867.486005	5	20326459.0	w28+CMCT	3.22	0.52	C282H359N115O195P28	8.2
1333.627886	7	78535498.0	w28+CMCT	1.04	0.16	C282H359N115O195P28	0.9
1878.259511	5	24806451.0	w29	5.97	0.38	C277H346N115O201P29	2.5
1377.20153	7	41526422.0	w29+CMCT	-1.66	0.35	C291H371N118O202P29	3.1
1426.491581	7	42588276.0	w30+CMCT	-3.32	0.18	C301H383N123O209P30	0.6
1434.193689	7	264995350.0	w31	4.0	0.14	C296H370N123O215P31	2.4
1412.612919	7	31179853.0	w31-G	2.44	0.24	C291H365N118O214P31	0.8
1483.4803	7	24693365.0	w32	-0.1	0.43	C306H382N128O222P32	4.1
1181.505453	9	26939453.0	w32+CMCT	0.07	0.28	C320H407N131O223P32	0.9
1353.569619	8	50772065.0	w33+CMCT-G	0.31	0.22	C325H414N131O229P33	1.1
1705.245021	7	25177826.0	w36+CMCT	-0.77	0.4	C358H454N146O252P36	3.1
1326.081473	9	28913912.0	w36+CMCT	1.97	0.41	C358H454N146O252P36	3.9
1281.378974	9	68164604.0	w36-G	-4.32	0.45	C339H424N138O250P36	13.7
1798.25725	7	19611317.0	w38+CMCT	0.29	0.58	C377H477N153O267P38	14.4
1573.351206	8	22828926.0	w38+CMCT	1.58	0.46	C377H477N153O267P38	5.1
1258.47211	10	610691300.0	w38+CMCT	-4.3	0.18	C377H477N153O267P38	8.3
547.119377	1	59806878.0	y02	-0.28	0.04	C18H25N6O12P1	0.2
892.167382	1	313574500.0	y03	0.47	0.06	C28H37N11O19P2	1.3
1237.216945	1	112065642.0	y04	2.06	0.06	C38H49N16O26P3	0.5
618.104112	2	112307901.0	y04	0.89	0.04	C38H49N16O26P3	0.4
782.630618	2	311123624.0	y05	1.02	0.06	C48H61N21O32P4	1.3
935.150259	2	325439825.0	y06	-0.22	0.07	C57H73N24O39P5	1.5
1099.675292	2	258519463.0	y07	-1.3	0.03	C67H85N29O45P6	0.8
732.782177	3	33567258.0	y07	0.16	0.1	C67H85N29O45P6	0.2
1252.69084	2	121753985.0	y08	1.17	0.09	C76H96N31O53P7	0.7
834.79148	3	112530950.0	y08	1.18	0.08	C76H96N31O53P7	0.6
1378.285079	2	63834139.0	y08+CMCT	-3.03	0.05	C90H121N34O54P7	0.2
1425.214688	2	106563702.0	y09	1.12	0.12	C86H108N36O60P8	0.8
949.807527	3	917979832.0	y09	1.29	0.02	C86H108N36O60P8	2.5
1550.815296	2	108862566.0	y09+CMCT	1.5	0.06	C100H133N39O61P8	0.4
1033.538045	3	110784390.0	y09+CMCT	-1.46	0.1	C100H133N39O61P8	0.7
904.788098	3	33514738.0	y09-A	-0.04	0.18	C81H103N31O60P8	0.4
899.456904	3	34128760.0	y09-G	0.45	0.11	C81H103N31O59P8	0.2
1597.727501	2	82042304.0	y10	-5.83	0.08	C96H120N41O67P9	0.4
1064.820737	3	332290858.0	y10	-1.29	0.04	C96H120N41O67P9	1.1
1723.337212	2	75033388.0	y10+CMCT	0.3	0.1	C110H145N44O68P9	0.5
1148.55267	3	94584775.0	y10+CMCT	-2.35	0.09	C110H145N44O68P9	0.5
1647.801036	2	20623718.0	y10+CMCT-G	-6.65	0.34	C105H140N39O67P9	1.4
1522.22231	2	19375905.0	y10-G	6.7	0.49	C91H115N36O66P9	5.8
1014.471488	3	20421608.0	y10-G	-0.81	0.32	C91H115N36O66P9	1.1
