spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_0x_134_7.csv
limit_error:	6.5	2020-03-23
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
669.084913	2	27924645.12	c04	0.59	0.13	C39H48N18O28P4	0.5
822.097646	2	83358562.02	c05	0.58	0.07	C48H59N20O36P5	0.8
746.57327	2	4172061.23	c05-G	1.08	0.37	C43H54N15O35P5	0.8
974.618185	2	130038981.28	c06	0.38	0.02	C57H71N23O43P6	0.8
899.094615	2	9493042.43	c06-G	1.68	0.2	C52H66N18O42P6	0.4
1139.143247	2	75683521.02	c07	-0.73	0.04	C67H83N28O49P7	0.6
1291.664709	2	86589663.94	c08	-0.01	0.07	C76H95N31O56P8	0.9
860.773128	3	28496161.72	c08	-1.07	0.05	C76H95N31O56P8	0.2
1283.162864	2	7846016.894661972	c08+2DEPC+H2O-CO-G	-4.76	0.39	C76H100N26O59P8	1.9
1456.190626	2	37184637.44392728	c09	-0.24	0.09	C86H107N36O62P9	0.5
970.458469	3	78264412.94	c09	0.25	0.04	C86H107N36O62P9	0.6
1477.175441	2	18922816.228512235	c09+2DEPC+H2O-CO-2Eth	-1.78	0.17	C87H105N36O64P9	0.5
999.797232	3	8916462.99	c09+2DEPC+H2O-CO-Eth	0.32	0.29	C89H111N36O65P9	0.8
1608.717455	2	25915441.47	c10	3.63	0.06	C95H119N39O69P10	0.2
1072.138074	3	63249271.17	c10	-0.54	0.06	C95H119N39O69P10	0.6
1173.820029	3	101921200.26	c11	0.81	0.07	C104H131N42O76P11	1.0
1275.82786	3	119548787.32	c12	0.27	0.06	C113H142N44O84P12	1.1
956.620362	4	13413695.46	c12	1.61	0.19	C113H142N44O84P12	0.4
1305.164448	3	26400371.91513217	c12+2DEPC+H2O-CO-Eth	-1.34	0.4	C116H146N44O87P12	7.2
1254.813827	3	14321621.73	c12+2DEPC+H2O-CO-Eth-G	-2.05	0.33	C111H141N39O86P12	1.9
1377.833913	3	114055427.52	c13	-1.48	0.04	C122H153N46O92P13	0.9
1033.123813	4	42290788.61	c13	-1.29	0.11	C122H153N46O92P13	0.6
1407.170474	3	7140321.088687898	c13+2DEPC+H2O-CO-Eth	-2.96	0.5	C125H157N46O95P13	5.3
