spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_5x_134.csv
limit_error:	6
noise_limit:	2210000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1597.008756	5	22954299.877516694	a25+2DEPC+H2O-CO-G	-1.82	0.28	C238H299N91O176P24	1.7
689.087823	1	30236994.34	c02	0.33	0.05	C20H24N10O14P2	0.2
994.130261	1	230618945.67	c03	1.39	0.03	C29H36N13O21P3	1.4
1056.165	1	7615668.27	c03+DEPC+H2O-CO	-0.62	0.29	C31H42N13O23P3	0.6
843.07798	1	6715541.25	c03-G	-1.77	0.23	C24H31N8O20P3	0.3
1339.173743	1	17016220.824206147	c04	-1.92	0.11	C39H48N18O28P4	0.2
669.084721	2	39129131.06	c04	0.3	0.06	C39H48N18O28P4	0.3
1188.13038	1	6006777.15	c04-G	2.93	0.31	C34H43N13O27P4	0.6
822.097293	2	82776784.55	c05	0.15	0.04	C48H59N20O36P5	0.6
974.618771	2	206416094.43	c06	0.98	0.02	C57H71N23O43P6	1.1
899.094061	2	13431902.83	c06-G	1.06	0.2	C52H66N18O42P6	0.4
1139.143249	2	102664467.5	c07	-0.72	0.04	C67H83N28O49P7	0.7
1183.146245	2	11023679.572654432	c07+2DEPC+H2O-CO-Eth	-4.94	0.14	C70H87N28O52P7	0.2
1291.663691	2	165198788.5	c08	-0.79	0.03	C76H95N31O56P8	1.0
860.775983	3	22337050.15	c08	2.24	0.11	C76H95N31O56P8	0.3
1216.137125	2	11837369.95	c08-G	-2.37	0.22	C71H90N26O55P8	0.5
1456.183336	2	120707065.23	c09	-5.25	0.04	C86H107N36O62P9	0.8
970.458402	3	46818856.82	c09	0.18	0.08	C86H107N36O62P9	0.5
1424.681701	2	6660588.145557076	c09+2DEPC+H2O-CO-Eth-G	5.2	0.3	C84H106N31O64P9	0.6
1380.661838	2	14717179.32	c09-G	-3.21	0.27	C81H102N31O61P9	1.0
1608.711656	2	60996618.64638425	c10	0.02	0.21	C95H119N39O69P10	2.3
1072.137853	3	107750533.19	c10	-0.75	0.04	C95H119N39O69P10	0.7
1629.703164	2	14939715.2710134	c10+2DEPC+H2O-CO-2Eth	2.73	0.18	C96H117N39O71P10	0.4
1761.231277	2	32952714.96	c11	-0.56	0.12	C104H131N42O76P11	0.5
1173.818491	3	147287240.55	c11	-0.51	0.05	C104H131N42O76P11	1.1
1275.825544	3	91340133.75	c12	-1.55	0.06	C113H142N44O84P12	0.8
