spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_72_6.csv
limit_error:	6
noise_limit:	1890000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1519.38933093	5	17543.94304899587	c24-G	0.0	1	
1587.7118782799998	4	808618.6421244491	y20	0.0	1	
1587.96255278	4	1949274.8380443025	y20	0.0	1	
1588.20652	4	2570695.426209689	y20	-4.21	1	
1588.46344	4	2421126.400836168	y20	-0.25	1	
1588.71445653	4	1810443.433852813	y20	0.0	1	
1588.96507153	4	1137288.110775104	y20	0.0	1	
1589.21568028	4	621479.7812259266	y20	0.0	1	
1589.46628378	4	302488.3779736294	y20	0.0	1	
1589.71688353	4	133373.80400966338	y20	0.0	1	
1589.96747953	4	53960.39398864244	y20	0.0	1	
1590.21807228	4	20232.188092713892	y20	0.0	1	
1472.3960951299998	5	409671.9787605398	y23+DEPC	0.0	1	
1472.5966377299999	5	1146382.0274846107	y23+DEPC	0.0	1	
1472.78689	5	1734587.047419358	y23+DEPC	-6.97	1	
1472.99767353	5	1861635.040688076	y23+DEPC	0.0	1	
1473.1933	5	1578722.5199371204	y23+DEPC	-3.31	1	
1473.39867493	5	1120635.8043618775	y23+DEPC	0.0	1	
1473.5991673299998	5	690015.4259542054	y23+DEPC	0.0	1	
1473.7996557299998	5	377546.536991951	y23+DEPC	0.0	1	
1474.0001403299998	5	186780.34066445642	y23+DEPC	0.0	1	
1474.20062213	5	84646.25727096944	y23+DEPC	0.0	1	
1474.4011013299998	5	35502.78396845314	y23+DEPC	0.0	1	
