spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2911_134_6.csv
limit_error:	6
noise_limit:	2009999.9999999998
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1438.188525	6	226717407.9364913	RNA	-0.52	0.07	C256H320N102O188P26	
1460.530356	6	23931199053.29	RNA+2DEPC+H2O-CO	-1.3	0.06	C261H330N102O192P26	
1445.185214	6	553118415.843559	RNA+2DEPC+H2O-CO-2Eth	0.17	0.06	C257H318N102O190P26	
1422.675234	6	46077846.4358931	RNA+2DEPC+H2O-CO-2Eth-A	-0.46	0.05	C252H313N97O190P26	
1426.676317	6	24566004.44	RNA+2DEPC+H2O-CO-2Eth-C	-1.01	0.33	C253H313N99O189P26	
1423.676658	6	5713496.524548345	RNA+2DEPC+H2O-CO-2Eth-C-H2O	0.46	0.56	C253H311N99O188P26	
1417.015266	6	18386940.26479347	RNA+2DEPC+H2O-CO-2Eth-G-H2O	4.91	0.31	C252H311N97O188P26	
1442.190286	6	176740995.89	RNA+2DEPC+H2O-CO-2Eth-H2O	4.9	0.06	C257H316N102O189P26	
1438.022684	6	321411506.6715154	RNA+2DEPC+H2O-CO-A	-0.34	0.06	C256H325N97O192P26	
1439.021248	6	24665739.895612124	RNA+2DEPC+H2O-CO-C-H2O	-1.42	0.1	C257H323N99O190P26	
1452.859424	6	9328238161.680004	RNA+2DEPC+H2O-CO-Eth	0.55	0.05	C259H324N102O191P26	
1430.349801	6	429617131.2340745	RNA+2DEPC+H2O-CO-Eth-A	0.19	0.06	C254H319N97O191P26	
1434.349961	6	80549015.40730856	RNA+2DEPC+H2O-CO-Eth-C	-1.01	0.08	C255H319N99O190P26	
1431.352893	6	21595377.65205524	RNA+2DEPC+H2O-CO-Eth-C-H2O	2.27	0.57	C255H317N99O189P26	
1427.685369	6	1228176188.3371594	RNA+2DEPC+H2O-CO-Eth-G	1.16	0.05	C254H319N97O190P26	
1424.683023	6	60410472.319422126	RNA+2DEPC+H2O-CO-Eth-G-H2O	0.75	0.15	C254H317N97O189P26	
1449.859964	6	269916945.6927383	RNA+2DEPC+H2O-CO-Eth-H2O	2.14	0.08	C259H322N102O190P26	
1435.356728	6	1325398419.3737395	RNA+2DEPC+H2O-CO-G	-0.44	0.04	C256H325N97O191P26	
1432.356989	6	60518964.51946923	RNA+2DEPC+H2O-CO-G-H2O	0.97	0.09	C256H323N97O190P26	
1457.530214	6	436072118.02056265	RNA+2DEPC+H2O-CO-H2O	-0.2	0.07	C261H328N102O191P26	
1450.195191	6	161583280.07078618	RNA+DEPC	1.65	0.16	C259H324N102O190P26	
1448.528305	6	136193680.2160992	RNA+DEPC+H2O-CO	-0.3	0.21	C258H326N102O190P26	
1426.021209	6	18421066.27055433	RNA+DEPC+H2O-CO-A	1.09	0.45	C253H321N97O190P26	
1423.013244	6	5684430.583151773	RNA+DEPC+H2O-CO-A-H2O	-3.27	0.17	C253H319N97O189P26	
1716.226454	5	8823372.19	RNA+DEPC+H2O-CO-C	-0.49	0.53	C254H321N99O189P26	
1423.349806	6	5306981.73517668	RNA+DEPC+H2O-CO-G	-2.83	0.34	C253H321N97O189P26	
1445.519767	6	154471687.9287649	RNA+DEPC+H2O-CO-H2O	-4.99	0.21	C258H324N102O189P26	
1428.685224	6	45849213.826051876	RNA+DEPC-C-H2O	0.98	0.23	C255H317N99O188P26	
1425.017492	6	78691307.5836782	RNA+DEPC-G	-0.28	0.12	C254H319N97O189P26	
1422.011201	6	17724913.026162345	RNA+DEPC-G-H2O	-3.47	0.28	C254H317N97O188P26	
1447.186491	6	19987022.39675856	RNA+DEPC-H2O	-3.14	0.33	C259H322N102O189P26	
1415.679316	6	172893018.99200234	RNA-A	-0.62	0.08	C251H315N97O188P26	
1413.013882	6	79166181.31702259	RNA-G	-0.35	0.16	C251H315N97O187P26	
1108.15695	1	10974826.07	a04-G	-3.27	0.31	C34H42N13O24P3	
1031.633997	2	16144176.01	a07-A	0.33	0.2	C62H77N23O46P6	
1348.680622	2	9947530.197203398	a09-A	0.04	0.27	C81H101N31O59P8	
1407.839689	3	7970284.0116781145	a14-A	-2.19	0.44	C126H159N44O96P13	
1402.509824	3	66463566.68	a14-G	-0.93	0.24	C126H159N44O95P13	
1517.526347	3	22765624.22	a15-G	-0.39	0.32	C136H171N49O102P14	
1632.544316	3	23955798.72	a16-G	0.95	0.25	C146H183N54O109P15	
1347.931546	4	6383584.075064291	a17+2DEPC+H2O-CO-A	0.91	0.39	C161H205N59O121P16	
1473.183596	4	7593284.959742475	a19-G	-1.15	0.47	C175H218N66O131P18	
1559.44851	4	15052844.3	a20-A	0.87	0.35	C185H230N71O138P19	
