spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1959.952269	3	10354980.5	c18+CMCT-G	-1.75	0.53	C179H232N64O128P18	
1530.940311	4	55244795.02	c19	0.71	0.11	C180H224N71O135P19	
1593.740912	4	191619661.7	c19+CMCT	1.09	0.07	C194H249N74O136P19	
1555.978977	4	57151639.35	c19+CMCT-G	1.39	0.15	C189H244N69O135P19	
1613.208245	4	19066984.28	c20	3.65	0.34	C190H236N76O141P20	
1676.002593	4	167412589.05406716	c20+CMCT	0.18	0.06	C204H261N79O142P20	
1638.241144	4	28045896.276471794	c20+CMCT-G	0.73	0.31	C199H256N74O141P20	
1695.46525	4	25079007.84	c21	-0.14	0.33	C200H248N81O147P21	
1758.266548	4	214826176.62	c21+CMCT	0.64	0.03	C214H273N84O148P21	
1720.507338	4	53892120.96	c21+CMCT-G	2.48	0.11	C209H268N79O147P21	
1844.524457	4	96072340.77	c22+CMCT	-1.53	0.07	C224H285N89O155P22	
1475.414616	5	40656491.5	c22+CMCT	-3.9	0.13	C224H285N89O155P22	
1806.765835	4	38697587.22	c22+CMCT-G	0.5	0.19	C219H280N84O154P22	
1486.390294	5	27270351.71	c23	3.24	0.34	C219H271N88O162P23	
1536.62482	5	78682930.27	c23+CMCT	-0.4	0.09	C233H296N91O163P23	
1456.181105	5	21820217.89	c23-G	3.78	0.39	C214H266N83O161P23	
1597.63194	5	392525954.29	c24+CMCT	-1.1	0.03	C242H308N94O170P24	
1567.423299	5	66494799.86	c24+CMCT-G	-0.33	0.09	C237H303N89O169P24	
1666.641181	5	147131768.73	c25+CMCT	-1.2	0.03	C252H320N99O177P25	
1636.431535	5	31633664.26	c25+CMCT-G	-1.08	0.18	C247H315N94O176P25	
1439.540347	6	200894452.68	c26+CMCT	-0.91	0.1	C261H332N102O184P26	
1414.366211	6	51905106.23	c26+CMCT-G	-0.38	0.12	C256H327N97O183P26	
627.086203	1	22642200.21	w02	0.54	0.04	C18H26N6O15P2	
972.13293	1	12814435.1	w03	-0.38	0.27	C28H38N11O22P3	
791.097016	2	32630777.83	w05	0.9	0.14	C46H61N16O37P5	
963.619868	2	29700204.48	w06	-0.16	0.06	C56H73N21O44P6	
1128.144877	2	36190090.71	w07	-1.25	0.04	C66H85N26O50P7	
1193.485757	3	30997313.39	w11	-0.2	0.16	C105H132N43O78P11	
1277.218011	3	20064982.32	w11+CMCT	-0.97	0.24	C119H157N46O79P11	
1308.501328	3	30154070.36	w12	-0.36	0.19	C115H144N48O85P12	
1392.229991	3	13355096.29	w12+CMCT	-3.64	0.49	C129H169N51O86P12	
1525.197305	3	26515807.26	w14	-0.49	0.31	C134H168N56O99P14	
1511.97762	4	52740489.34670152	w18+CMCT	-1.54	0.12	C184H239N69O130P18	
