spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_1x_134_7.csv
limit_error:	6.5	2020-03-26
noise_limit:	1870000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1726.024029	5	7775506.782215413	RNA	-2.64	0.37	C256H320N102O188P26	1.7
1251.738629	7	30248446152.0	RNA+2DEPC+H2O-CO	-1.81	0.04	C261H330N102O192P26	241.3
1238.586178	7	871635358.0	RNA+2DEPC+H2O-CO-2Eth	0.08	0.03	C257H318N102O190P26	6.3
1219.295085	7	35038244.879272655	RNA+2DEPC+H2O-CO-2Eth-A	2.05	0.1	C252H313N97O190P26	0.5
1216.721596	7	60055887.152952254	RNA+2DEPC+H2O-CO-2Eth-A-H2O	1.61	0.23	C252H311N97O189P26	3.2
1222.725188	7	46081930.97168772	RNA+2DEPC+H2O-CO-2Eth-C	1.99	0.18	C253H313N99O189P26	1.5
1220.151787	7	12878120.0	RNA+2DEPC+H2O-CO-2Eth-C-H2O	1.61	0.44	C253H311N99O188P26	5.6
1217.00716	7	81033134.451459	RNA+2DEPC+H2O-CO-2Eth-G	-0.36	0.08	C252H313N97O189P26	1.0
1214.439928	7	81777099.46010646	RNA+2DEPC+H2O-CO-2Eth-G-H2O	4.34	0.1	C252H311N97O188P26	1.2
1236.019078	7	180782381.58738658	RNA+2DEPC+H2O-CO-2Eth-H2O	4.8	0.08	C257H316N102O189P26	2.2
1725.823507	5	5786085.598591802	RNA+2DEPC+H2O-CO-A	-3.34	0.45	C256H325N97O192P26	2.8
1232.446642	7	911524121.6786182	RNA+2DEPC+H2O-CO-A	-0.61	0.04	C256H325N97O192P26	7.3
1235.875695	7	360255129.57390296	RNA+2DEPC+H2O-CO-C	-1.52	0.05	C257H325N99O191P26	3.2
1233.303345	7	87888721.12595664	RNA+2DEPC+H2O-CO-C-H2O	-1.05	0.09	C257H323N99O190P26	1.2
1245.162269	7	14450706934.0	RNA+2DEPC+H2O-CO-Eth	-0.98	0.03	C259H324N102O191P26	104.3
1225.870439	7	647909812.675042	RNA+2DEPC+H2O-CO-Eth-A	0.37	0.04	C254H319N97O191P26	5.2
1229.299998	7	852898218.3138098	RNA+2DEPC+H2O-CO-Eth-C	-0.14	0.54	C255H319N99O190P26	1009.8
1226.728853	7	33936895.7753851	RNA+2DEPC+H2O-CO-Eth-C-H2O	1.32	0.36	C255H317N99O189P26	6.6
1223.584554	7	1710826557.243729	RNA+2DEPC+H2O-CO-Eth-G	-0.37	0.02	C254H319N97O190P26	11.2
1221.012955	7	98869423.85845035	RNA+2DEPC+H2O-CO-Eth-G-H2O	0.73	0.12	C254H317N97O189P26	1.8
1242.59028	7	610968683.7967556	RNA+2DEPC+H2O-CO-Eth-H2O	-0.22	0.06	C259H322N102O190P26	6.0
1722.625117	5	8658899.0	RNA+2DEPC+H2O-CO-G	-3.0	0.46	C256H325N97O191P26	4.6
1230.161797	7	1939841448.492691	RNA+2DEPC+H2O-CO-G	-0.5	0.04	C256H325N97O191P26	15.5
1227.590078	7	258968723.08243307	RNA+2DEPC+H2O-CO-G-H2O	0.49	0.03	C256H323N97O190P26	1.9
1249.166971	7	771930694.0	RNA+2DEPC+H2O-CO-H2O	-0.79	0.05	C261H328N102O191P26	6.8
1241.455542	7	66773984.0	RNA+DEPC+H2O-CO	2.72	0.11	C258H326N102O190P26	1.1
1222.162395	7	80195227.95570381	RNA+DEPC+H2O-CO-A	3.05	0.07	C253H321N97O190P26	0.9
1219.584779	7	41451620.1015036	RNA+DEPC+H2O-CO-A-H2O	-0.78	0.11	C253H319N97O189P26	0.7
1225.584784	7	48868543.6660914	RNA+DEPC+H2O-CO-C	-3.31	0.27	C254H321N99O189P26	3.9
