spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0602_2x_134.csv
limit_error:	6
noise_limit:	1850000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.186728	6	197205010.0876094	RNA	-1.77	0.09	C256H320N102O188P26	2.6
1460.527717	6	17596120371.29	RNA+2DEPC+H2O-CO	-3.11	0.04	C261H330N102O192P26	141.9
1445.189337	6	633370393.5288806	RNA+2DEPC+H2O-CO-2Eth	3.02	0.04	C257H318N102O190P26	5.1
1422.676352	6	55516235.78208864	RNA+2DEPC+H2O-CO-2Eth-A	0.32	0.09	C252H313N97O190P26	0.7
1426.675651	6	27036376.592230335	RNA+2DEPC+H2O-CO-2Eth-C	-1.48	0.25	C253H313N99O189P26	1.8
1420.008651	6	195870659.59	RNA+2DEPC+H2O-CO-2Eth-G	-1.0	0.03	C252H313N97O189P26	1.4
1417.011232	6	39289892.06377348	RNA+2DEPC+H2O-CO-2Eth-G-H2O	2.06	0.14	C252H311N97O188P26	0.9
1442.189813	6	72380268.61318009	RNA+2DEPC+H2O-CO-2Eth-H2O	4.58	0.08	C257H316N102O189P26	0.9
1438.020614	6	283079464.4477145	RNA+2DEPC+H2O-CO-A	-1.78	0.05	C256H325N97O192P26	2.5
1442.022076	6	77941775.82256144	RNA+2DEPC+H2O-CO-C	-2.06	0.09	C257H325N99O191P26	1.0
2159.041131	4	15401578.94	RNA+2DEPC+H2O-CO-C-H2O	1.18	0.45	C257H323N99O190P26	7.5
1439.01872	6	15006487.141607406	RNA+2DEPC+H2O-CO-C-H2O	-3.18	0.33	C257H323N99O190P26	2.2
1452.865071	6	8020701358.7	RNA+2DEPC+H2O-CO-Eth	4.44	0.03	C259H324N102O191P26	58.5
1430.353871	6	383977801.0411845	RNA+2DEPC+H2O-CO-Eth-A	3.03	0.05	C254H319N97O191P26	3.4
1431.354895	6	40690155.962472424	RNA+2DEPC+H2O-CO-Eth-C-H2O	3.67	0.37	C255H317N99O189P26	8.9
1427.690885	6	1126449112.651271	RNA+2DEPC+H2O-CO-Eth-G	5.02	0.04	C254H319N97O190P26	9.1
1424.686948	6	68663847.7398622	RNA+2DEPC+H2O-CO-Eth-G-H2O	3.5	0.12	C254H317N97O189P26	1.2
1449.865089	6	245425329.3995006	RNA+2DEPC+H2O-CO-Eth-H2O	5.68	0.09	C259H322N102O190P26	3.3
1435.357923	6	1160237014.18	RNA+2DEPC+H2O-CO-G	0.39	0.04	C256H325N97O191P26	9.4
1432.360184	6	127698711.87436517	RNA+2DEPC+H2O-CO-G-H2O	3.2	0.06	C256H323N97O190P26	1.3
1457.532296	6	392500039.4900235	RNA+2DEPC+H2O-CO-H2O	1.23	0.06	C261H328N102O191P26	3.9
1450.198042	6	142796235.84430555	RNA+DEPC	3.62	0.2	C259H324N102O190P26	5.7
1448.529968	6	65126532.1306608	RNA+DEPC+H2O-CO	0.85	0.15	C258H326N102O190P26	1.6
1423.011167	6	16692885.311737819	RNA+DEPC+H2O-CO-A-H2O	-4.73	0.23	C253H319N97O189P26	0.9
1423.346025	6	4089466.8394238814	RNA+DEPC+H2O-CO-G	-5.49	0.42	C253H321N97O189P26	1.5
1425.021564	6	42240488.438609935	RNA+DEPC-G	2.57	0.19	C254H319N97O189P26	1.5
1422.007436	6	19122804.090046573	RNA+DEPC-G-H2O	-6.12	0.18	C254H317N97O188P26	0.6
1447.192555	6	35700315.61512744	RNA+DEPC-H2O	1.05	0.13	C259H322N102O189P26	0.7
1415.677565	6	191458284.14860103	RNA-A	-1.86	0.06	C251H315N97O188P26	1.9
1413.014708	6	64818259.76496372	RNA-G	0.24	0.15	C251H315N97O187P26	1.6
1108.15942	1	12439409.77	a04-G	-1.04	0.31	C34H42N13O24P3	1.5
1414.18376	1	3415406.306852967	a05-G	-1.5	0.37	C43H53N15O32P4	0.7
1031.634232	2	13246938.63	a07-A	0.55	0.2	C62H77N23O46P6	0.5
1348.684296	2	15558188.708143076	a09-A	2.77	0.14	C81H101N31O59P8	0.3
1407.841579	3	4783092.302752839	a14-A	-0.85	0.23	C126H159N44O96P13	0.3
1402.510076	3	69513634.06	a14-G	-0.75	0.12	C126H159N44O95P13	1.2
1522.860814	3	11651941.783476397	a15-A	1.46	0.56	C136H171N49O103P14	17.0
1517.527926	3	42675001.93	a15-G	0.65	0.26	C136H171N49O102P14	3.1
1682.555323	3	10564418.35	a16+2DEPC+H2O-CO-A	-3.0	0.4	C151H193N54O114P15	3.1
1632.539834	3	26062218.912285052	a16-G	-1.79	0.15	C146H183N54O109P15	0.6
1747.558147	3	11822750.72	a17-G	-0.24	0.38	C156H195N59O116P16	2.9
1854.898632	3	9507387.24	a18-A	-0.0	0.48	C165H206N61O125P17	6.2
1473.189316	4	28719703.23	a19-G	2.73	0.16	C175H218N66O131P18	0.8
1577.454081	4	50356060.44	a20+2DEPC+H2O-CO-Eth-G	1.05	0.08	C188H234N71O140P19	0.6
1555.440801	4	6436730.384518508	a20-G	-4.9	0.5	C185H230N71O137P19	5.2
1659.718195	4	35157472.6	a21+2DEPC+H2O-CO-Eth-G	1.59	0.1	C198H246N76O146P20	0.5
1504.393305	5	9333902.49	a24-A	2.48	0.58	C223H277N86O166P23	16.7
1634.405701	5	13342680.213558435	a26-A	-0.99	0.25	C242H301N94O180P25	0.9
689.08855	1	10385513.55	c02	1.39	0.21	C20H24N10O14P2	0.5
994.129776	1	87025145.07	c03	0.9	0.04	C29H36N13O21P3	0.7
1056.16306	1	4711408.89	c03+DEPC+H2O-CO	-2.46	0.29	C31H42N13O23P3	0.5
843.07962	1	4974423.52	c03-G	0.18	0.23	C24H31N8O20P3	0.3
1339.17296	1	9951875.05	c04	-2.5	0.35	C39H48N18O28P4	1.8
669.085318	2	10257613.72	c04	1.19	0.11	C39H48N18O28P4	0.2
822.09687	2	32040970.78	c05	-0.36	0.05	C48H59N20O36P5	0.3
974.618978	2	76709973.09	c06	1.19	0.01	C57H71N23O43P6	0.5
966.12482	2	4296603.74	c06+2DEPC+H2O-CO-G	2.85	0.46	C57H76N18O46P6	2.3
899.09519	2	7387862.63	c06-G	2.32	0.19	C52H66N18O42P6	0.3
