spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6_new.csv
limit_error:	6.5	2020-04-06
noise_limit:	2020000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1984.945643	3	70597987.0	c18+CMCT	-0.56	0.09	C182H233N61O133P18	0.9
1488.45483	4	191395988.0	c18+CMCT	-2.3	0.04	C182H233N61O133P18	1.4
1934.605507	3	9750817.0	c18+CMCT-G	4.42	0.45	C177H228N56O132P18	4.3
1450.696068	4	15356940.0	c18+CMCT-G	0.12	0.3	C177H228N56O132P18	1.5
2099.957948	3	19656663.0	c19+CMCT	-2.2	0.31	C192H245N66O140P19	2.2
1574.718825	4	386098138.0	c19+CMCT	-0.82	0.03	C192H245N66O140P19	2.6
1536.955619	4	49930811.0	c19+CMCT-G	-1.39	0.15	C187H240N61O139P19	1.1
1474.156842	4	10677131.0	c19-G	-0.66	0.38	C173H215N58O138P19	2.4
1660.980063	4	169435259.0	c20+CMCT	-1.15	0.04	C202H257N71O147P20	1.3
1623.217864	4	32584348.0	c20+CMCT-G	-1.08	0.21	C197H252N66O146P20	1.3
1737.489115	4	185262690.0	c21+CMCT	0.47	0.04	C211H268N73O155P21	1.4
1699.723372	4	33028213.0	c21+CMCT-G	-1.51	0.11	C206H263N68O154P21	0.5
1813.750437	4	179569085.0	c22+CMCT	1.0	0.03	C220H280N76O162P22	1.2
1450.796036	5	32078627.0	c22+CMCT	-0.97	0.13	C220H280N76O162P22	0.6
1775.989377	4	38249631.0	c22+CMCT-G	1.75	0.14	C215H275N71O161P22	0.8
1461.570243	5	63586877.0	c23	3.08	0.14	C215H267N76O168P23	1.3
1890.00631	4	77336343.0	c23+CMCT	-1.39	0.1	C229H292N79O169P23	1.0
1511.802397	5	230026293.0	c23+CMCT	-2.18	0.05	C229H292N79O169P23	1.9
1481.594031	5	26914515.0	c23+CMCT-G	-1.2	0.16	C224H287N74O168P23	0.7
1431.364028	5	14082987.0	c23-G	5.71	0.37	C210H262N71O167P23	2.8
1577.616374	5	311033747.0	c24+CMCT	0.11	0.03	C239H304N84O175P24	2.1
1547.404864	5	49382559.0	c24+CMCT-G	-0.94	0.11	C234H299N79O174P24	0.7
1646.628057	5	213267418.0	c25+CMCT	1.44	0.03	C249H316N89O182P25	1.4
1616.418735	5	33023179.0	c25+CMCT-G	1.81	0.13	C244H311N84O181P25	0.6
1423.024767	6	129817383.0	c26+CMCT	0.25	0.06	C258H327N91O190P26	1.2
628.06933	1	8301917.0	w02	-0.87	0.18	C18H25N5O16P2	0.2
973.118098	1	23405948.0	w03	0.81	0.07	C28H37N10O23P3	0.2
803.10131	2	4523467.0	w05	-0.76	0.4	C47H61N18O36P5	1.2
1456.17246	1	6027975.0	w05-G	7.38	0.36	C42H56N13O35P5	1.1
1108.634197	2	40186081.0	w07	-0.92	0.08	C65H84N23O51P7	0.4
1281.163783	2	29461870.0	w08	3.79	0.15	C75H96N28O58P8	0.7
1070.797005	3	20882987.0	w10	2.39	0.12	C94H119N35O73P10	0.3
1180.476322	3	30914072.0	w11	-1.94	0.17	C104H131N40O79P11	0.8
1527.571136	3	10519185.0	w14+CMCT-G	5.26	0.44	C141H185N47O101P14	4.2
1425.91959	4	11411299.0	w18	2.36	0.44	C168H211N59O131P18	4.6
1934.9432	3	6960963.0	w18+CMCT-G	1.22	0.47	C177H231N57O131P18	3.8
2100.294938	3	9001540.0	w19+CMCT	-5.48	0.43	C192H248N67O139P19	3.3
1651.485953	4	10011902.0	w20+CMCT	0.97	0.47	C201H259N69O147P20	5.4
1727.994075	4	19686008.0	w21+CMCT	1.97	0.18	C210H270N71O155P21	0.6
1804.24441	4	32884172.0	w22+CMCT	-3.65	0.27	C219H282N74O162P22	2.4
1461.97259	5	64387835.0	w23	2.54	0.13	C215H269N76O168P23	1.2
1431.765633	5	4976028.0	w23-G	4.64	0.58	C210H264N71O167P23	8.1
1573.414655	5	24248845.0	w24+CMCT	0.49	0.25	C238H305N81O177P24	1.5
1285.83567	6	10155588.0	w24+CMCT-G	0.17	0.38	C233H300N76O176P24	2.2
1634.414659	5	36614910.0	w25+CMCT	-4.58	0.1	C247H317N84O184P25	0.5
1419.355938	6	119249986.0	w26+CMCT	-1.79	0.23	C257H329N89O191P26	5.9
1394.178875	6	9858585.0	w26+CMCT-G	-3.37	0.53	C252H324N84O190P26	9.8
548.103219	1	22569117.0	y02	-0.6	0.04	C18H24N5O13P1	0.2
893.1513	1	129842702.0	y03	0.36	0.06	C28H36N10O20P2	1.2
1222.203633	1	99554839.0	y04	0.11	0.03	C38H48N15O26P3	0.7
610.597748	2	26237346.0	y04	-0.6	0.1	C38H48N15O26P3	0.4
763.11953	2	83381627.0	y05	1.01	0.06	C47H60N18O33P4	0.8
915.63903	2	112312995.0	y06	-0.4	0.04	C56H72N21O40P5	0.8
1068.65267	2	117720651.0	y07	0.58	0.03	C65H83N23O48P6	0.8
1241.175553	2	278353995.0	y08	-0.17	0.04	C75H95N28O55P7	2.1
827.113241	3	23717361.0	y08	-1.83	0.1	C75H95N28O55P7	0.3
1413.696968	2	126052844.0	y09	-1.78	0.03	C85H107N33O62P8	0.8
942.129832	3	77455404.0	y09	-0.78	0.06	C85H107N33O62P8	0.7
1566.706855	2	32901263.0	y10	-3.37	0.15	C94H118N35O70P9	0.7
1044.139198	3	107469437.0	y10	0.19	0.05	C94H118N35O70P9	0.9
1692.310474	2	17768606.0	y10+CMCT	-0.91	0.29	C108H143N38O71P9	1.6
1153.824127	3	170578759.0	y11	0.83	0.04	C104H130N40O76P10	1.3
1237.559185	3	12528197.0	y11+CMCT	2.23	0.31	C118H155N43O77P10	1.4
1263.507011	3	200699192.0	y12	-0.26	0.04	C114H142N45O82P11	1.5
1347.241494	3	27986801.0	y12+CMCT	0.66	0.2	C128H167N48O83P11	1.0
1365.517036	3	133036823.0	y13	0.92	0.03	C123H153N47O90P12	0.9
1449.250478	3	45918311.0	y13+CMCT	1.0	0.13	C137H178N50O91P12	0.8
1467.524102	3	75538668.0	y14	-0.08	0.04	C132H164N49O98P13	0.6
1551.258152	3	79220353.0	y14+CMCT	0.44	0.06	C146H189N52O99P13	0.7
1569.525916	3	57765611.0	y15	-4.29	0.05	C141H175N51O106P14	0.5
1176.897932	4	50975660.0	y15	0.23	0.07	C141H175N51O106P14	0.5
1653.269437	3	124997700.0	y15+CMCT	2.14	0.04	C155H200N54O107P14	0.9
1671.206249	3	49971702.0	y16	-4.09	0.07	C150H187N54O113P15	0.5
1253.15769	4	52393617.0	y16	-0.24	0.09	C150H187N54O113P15	0.6
1754.941328	3	85514766.0	y16+CMCT	-2.85	0.05	C164H212N57O114P15	0.7
1704.592486	3	11475466.0	y16+CMCT-G	-2.37	0.56	C159H207N52O113P15	15.4
1329.41933	4	58482484.0	y17	0.77	0.13	C159H199N57O120P16	1.1
