spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/test.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1594.244535	4	121550810.81	w19+CMCT	0.91	0.21	C194H251N74O136P19	
1670.501183	4	52080323.72	w20+CMCT	-1.33	0.19	C203H263N77O143P20	
1752.761943	4	23107654.54	w21+CMCT	-2.62	0.32	C213H275N82O149P21	
1473.984206	5	24180918.03	w23	-0.63	0.45	C217H273N84O163P23	
1524.227306	5	59191346.5	w23+CMCT	1.46	0.03	C231H298N87O164P23	
1654.240963	5	40594226.03	w25+CMCT	-1.13	0.18	C250H322N95O178P25	
1435.8727	6	173914882.72	w26+CMCT	-2.1	0.31	C260H334N100O185P26	
547.11974	1	24390091.8	y02	0.38	0.18	C18H25N6O12P1	
892.167549	1	202588781.43	y03	0.65	0.03	C28H37N11O19P2	
1197.20869	1	64912182.31	y04	0.37	0.11	C37H49N14O26P3	
598.101085	2	12661843.09	y04	1.0	0.11	C37H49N14O26P3	
1503.229515	1	12622075.68	y05	-2.69	0.14	C46H60N16O34P4	
751.113323	2	80572150.13	y05	0.24	0.05	C46H60N16O34P4	
1352.17886	1	9755518.29	y05-G	-3.91	0.12	C41H55N11O33P4	
923.637228	2	188705249.86	y06	0.4	0.04	C56H72N21O41P5	
1049.236626	2	21280229.06	y06+CMCT	-0.11	0.09	C70H97N24O42P5	
1088.16237	2	136693273.89	y07	-0.69	0.05	C66H84N26O47P6	
1213.764245	2	31361099.13	y07+CMCT	1.03	0.12	C80H109N29O48P6	
1012.637675	2	10878682.33	y07-G	-0.73	0.22	C61H79N21O46P6	
1252.690552	2	158909394.67	y08	0.94	0.03	C76H96N31O53P7	
834.790369	3	31623789.94	y08	-0.15	0.06	C76H96N31O53P7	
1378.288648	2	46391440.23	y08+CMCT	-0.44	0.09	C90H121N34O54P7	
1425.213932	2	92055419.11	y09	0.59	0.05	C86H108N36O60P8	
949.806282	3	107916819.84	y09	-0.02	0.03	C86H108N36O60P8	
1550.816646	2	23267394.35	y09+CMCT	2.37	0.37	C100H133N39O61P8	
899.456296	3	13141249.0	y09-G	-0.23	0.28	C81H103N31O59P8	
1051.814515	3	108946825.92	y10	-0.21	0.03	C95H119N38O68P9	
1703.826242	2	24794423.47	y10+CMCT	0.36	0.32	C109H144N41O69P9	
1135.549316	3	17170411.02	y10+CMCT	1.17	0.33	C109H144N41O69P9	
1750.74182	2	12781793.99	y11	-4.37	0.35	C105H131N43O75P10	
1166.830261	3	193596476.55	y11	-0.25	0.04	C105H131N43O75P10	
1876.357333	2	36180914.83	y11+CMCT	4.26	0.19	C119H156N46O76P10	
1250.564075	3	56842299.38	y11+CMCT	0.22	0.1	C119H156N46O76P10	
1116.478822	3	29085312.29	y11-G	-1.72	0.16	C100H126N38O74P10	
1281.847205	3	187629488.24	y12	0.66	0.02	C115H143N48O82P11	
1365.58122	3	114326127.2	y12+CMCT	1.18	0.05	C129H168N51O83P11	
1231.495313	3	25657174.4	y12-G	-1.01	0.22	C110H138N43O81P11	
1396.860879	3	194237204.11	y13	-0.93	0.03	C125H155N53O89P12	
1430.247745	3	14583339.35	y13+CMCT-G	1.48	0.51	C134H175N51O89P12	
1346.514199	3	45170114.05	y13-G	1.36	0.11	C120H150N48O88P12	
1498.545949	3	80000190.94	y14	2.23	0.03	C134H167N56O96P13	
898.721183	5	12361585.45	y14	-1.63	0.46	C134H167N56O96P13	
1582.279566	3	59787533.35	y14+CMCT	2.34	0.15	C148H192N59O97P13	
1600.545965	3	22251067.22	y15	-3.17	0.34	C143H178N58O104P14	
1684.289542	3	56393610.84	y15+CMCT	3.12	0.16	C157H203N61O105P14	
1786.293589	3	87228317.13	y16+CMCT	0.48	0.04	C166H214N63O113P15	
1735.944571	3	21433300.31	y16+CMCT-G	0.95	0.54	C161H209N58O112P15	
1352.928411	4	36387296.13	y17	0.23	0.23	C161H201N63O119P16	
1887.975072	3	76329027.15	y17+CMCT	1.02	0.08	C175H226N66O120P16	
1415.731344	4	30511501.2	y17+CMCT	2.33	0.22	C175H226N66O120P16	
1429.18339	4	17218447.0	y18	-3.52	0.36	C170H213N66O126P17	
1989.660889	3	35035204.0	y18+CMCT	3.67	0.18	C184H238N69O127P17	
1491.984789	4	40006704.45	y18+CMCT	-2.4	0.23	C184H238N69O127P17	
1511.446481	4	44572617.58	y19	-3.36	0.2	C180H225N71O132P18	
2099.341011	3	13628983.89	y19+CMCT	1.55	0.46	C194H250N74O133P18	
1574.252944	4	146538996.51	y19+CMCT	0.92	0.05	C194H250N74O133P18	
1473.690922	4	45308603.26	y19-G	1.17	0.09	C175H220N66O131P18	
1587.716129	4	28166474.39	y20	2.68	0.26	C189H237N74O139P19	
1650.51425	4	106761796.79	y20+CMCT	1.47	0.05	C203H262N77O140P19	
1612.751737	4	15456535.91	y20+CMCT-G	1.41	0.35	C198H257N72O139P19	
1669.97023	4	31970046.44	y21	-2.86	0.18	C199H249N79O145P20	
1732.780327	4	214521054.65	y21+CMCT	3.1	0.04	C213H274N82O146P20	
1695.017554	4	27476577.19	y21+CMCT-G	2.92	0.36	C208H269N77O145P20	
1746.2335	4	17216439.57	y22	-1.05	0.43	C208H261N82O152P21	
1809.037309	4	110369554.73	y22+CMCT	1.13	0.07	C222H286N85O153P21	
1771.277118	4	18333409.88	y22+CMCT-G	2.37	0.38	C217H281N80O152P21	
1138.642308	6	55332751.26	y22-G	-3.44	0.66	C203H256N77O151P21	
1885.545174	4	91245540.2	y23+CMCT	1.9	0.08	C231H297N87O161P22	
1508.234037	5	42660508.73	y23+CMCT	1.47	0.1	C231H297N87O161P22	
1847.780309	4	32259083.05	y23+CMCT-G	0.58	0.19	C226H292N82O160P22	
1478.028776	5	89752296.6	y23+CMCT-G	4.63	0.16	C226H292N82O160P22	
1527.00021	5	18717995.22	y24	-0.75	0.42	C227H284N89O167P23	
1577.243728	5	403711759.36	y24+CMCT	1.53	0.02	C241H309N92O168P23	
1547.031767	5	71657639.86	y24+CMCT-G	0.22	0.09	C236H304N87O167P23	
1638.249661	5	156579107.58	y25+CMCT	0.06	0.05	C250H321N95O175P24	
1608.038737	5	26977360.24	y25+CMCT-G	-0.59	0.32	C245H316N90O174P24	
1707.257873	5	307747561.97	y26+CMCT	-0.69	0.04	C260H333N100O182P25	
1422.550304	6	21286095.53	y26+CMCT	1.62	0.27	C260H333N100O182P25	
1677.050175	5	56167781.78	y26+CMCT-G	0.6	0.14	C255H328N95O181P25	

 
 



Overlaps:
m/z 	z 	Int 	fragment 	error 	used?
861.44276	3	7133615.584951704	c08	0.39	1	
861.44276	3	7362135.5703836605	w08	-3.69	1	
861.77516	3	3189067.6770248665	c08	-1.63	0	
861.77516	3	7171707.173070658	w08	-5.8	1	
862.11135	3	1168006.5014250576	c08	0.77	0	
862.11135	3	4304482.94138898	w08	-3.43	1	
899.11906	3	6219094.766659551	a09-A	0.23	1	
899.11906	5	3061174.579976521	y14	-5.15	1	
899.45764	3	3904221.520546722	a09-A	5.14	0	
899.45764	3	4180921.0693353373	y09-G	1.27	1	
899.78919	3	1821921.9303466787	a09-A	2.25	0	
899.78919	3	4308278.82243197	y09-G	-1.72	1	
1116.81283	3	8973340.449925814	y11-G	-1.93	1	
1116.81283	6	2718264.9876261274	a21	-1.01	1	
1117.1475	3	6732865.35119636	y11-G	-1.49	1	
1117.1475	6	3736680.825314104	a21	-0.57	1	
1117.48355	3	3724975.0611796714	y11-G	0.21	1	
1117.48355	6	1919671.04815347	a21	1.12	1	
1139.14386	2	31854589.07459514	c07	-0.19	1	
1139.14386	6	11323143.601876892	y22-G	-3.23	1	
1139.64462	2	27420353.37538732	c07	-0.69	1	
1139.64462	6	3461657.998876681	y22-G	-3.65	1	
1174.1539	3	34031300.35010685	c11	0.5	1	
1174.1539	6	2906726.9681942714	a22	-0.72	0	
1174.48774	3	26471398.40458344	c11	0.22	1	
1174.48774	6	11383211.59775761	a22	-1.04	1	
1174.82205	3	15136770.215285841	c11	0.36	1	
1174.82205	6	9596001.850978604	a22	-0.92	1	
1175.15703	3	7011473.941479301	c11	1.08	1	
1175.15703	6	3887338.23489261	a22	-0.21	1	
1276.15887	3	20395674.360212687	c12	-2.26	1	
1276.15887	6	6349918.816892249	a24	-5.82	1	
1276.49381	3	17033908.137426805	c12	-1.66	1	
1276.49381	6	11055663.715753347	a24	-5.23	1	
1276.82838	3	10429227.08157398	c12	-1.34	1	
1276.82838	6	7080755.486231917	a24	-4.91	1	
1277.16121	3	5162382.410765108	c12	-2.36	0	
1277.16121	6	2526473.274836525	a24	-5.94	1	
1292.66848	2	19037548.00247532	w08	-3.14	1	
1292.66848	2	24328818.047663335	c08	0.93	1	
1293.17297	2	10876146.370949652	c08	3.47	1	
1293.17297	2	18545124.340859458	w08	-0.7	1	
1293.67551	2	3983424.2977154246	c08	4.52	1	
1293.67551	2	11130846.456045143	w08	0.31	1	
1308.50106	3	5830965.47364638	w12	-0.57	1	
1308.50106	6	2976222.5898223375	a25-G	1.34	1	
1308.83631	3	8616952.121259842	w12	0.22	1	
1308.83631	6	5385650.049729157	a25-G	2.15	1	
1309.16922	3	7342516.915867089	w12	-0.74	1	
1309.16922	6	3583608.8023009524	a25-G	1.19	1	
1348.6855	2	6816660.614562815	a09-A	3.66	1	
1348.6855	4	3619239.2420062097	a17	3.5	1	
1349.18042	2	7022725.942733249	a09-A	-1.11	1	
1349.18042	4	1941623.7310911315	a17	-1.18	1	
1353.17801	1	2793598.462840291	y05-G	-6.68	0	
1353.17801	4	7593561.687654425	y17	-0.57	1	
1418.26469	2	9027771.177200153	w08+CMCT	-5.45	1	
