spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1545.382183	5	109217419.1	c24+DEPC+H2O	-0.26	0.05	C228H285N81O177P24	
1515.169299	5	29696512.55	c24+DEPC+H2O-G	-2.25	0.16	C223H280N76O176P24	
1657.59017	5	69377091.19	c26	-0.38	0.05	C244H302N88O189P26	
1381.155866	6	52595691.02	c26	-1.39	0.15	C244H302N88O189P26	
1396.160475	6	128323854.76	c26+DEPC+H2O	-1.85	0.19	C247H308N88O192P26	
1388.493663	6	61878606.95	c26+DEPC+H2O-Eth	3.06	0.38	C245H302N88O191P26	
1370.989743	6	10602610.55	c26+DEPC+H2O-G	1.15	0.39	C242H303N83O191P26	
1355.976825	6	7048674.453286185	c26-G	-4.47	0.38	C239H297N83O188P26	
628.06961	1	9221123.55	w02	-0.43	0.18	C18H25N5O16P2	
973.11685	1	17573899.66	w03	-0.47	0.02	C28H37N10O23P3	
955.622113	2	9267356.91	w06	-0.47	0.17	C56H73N21O43P6	
1108.634661	2	34780419.97	w07	-0.5	0.09	C65H84N23O51P7	
1281.162367	2	28502405.46	w08	2.68	0.13	C75H96N28O58P8	
1606.689663	2	23591568.49134797	w10	-3.51	0.09	C94H119N35O73P10	
1180.479232	3	34047082.66	w11	0.52	0.13	C104H131N40O79P11	
1392.169743	3	6933297.59	w13	-1.06	0.49	C123H154N47O93P13	
1406.833435	3	12638215.372892762	w13+DEPC+H2O-Eth	-0.76	0.27	C124H154N47O95P13	
1508.841124	3	5214711.135912719	w14+DEPC+H2O-Eth	-1.2	0.31	C133H165N49O103P14	
1829.557144	3	23912208.6	w17+DEPC+H2O	-1.3	0.1	C162H206N57O126P17	
1371.913898	4	15551634.487759452	w17+DEPC+H2O	-2.86	0.14	C162H206N57O126P17	
1425.921272	4	43468880.93	w18	3.54	0.24	C168H211N59O131P18	
1741.447692	4	11893768.9	w22	-1.93	0.46	C205H257N71O161P22	
1461.962766	5	8456197.32	w23	-4.18	0.36	C215H269N76O168P23	
1584.183851	5	35581961.35	w25	1.05	0.19	C233H292N81O183P25	
1392.494434	6	19818277.106055424	w26+DEPC+H2O	-1.94	0.4	C246H310N86O193P26	
1384.822522	6	7941284.34	w26+DEPC+H2O-Eth	-0.7	0.53	C244H304N86O192P26	
548.103704	1	13147290.33	y02	0.29	0.04	C18H24N5O13P1	
893.151086	1	68708392.32	y03	0.12	0.02	C28H36N10O20P2	
1222.202725	1	63957719.12	y04	-0.64	0.04	C38H48N15O26P3	
610.598487	2	8058375.32	y04	0.61	0.12	C38H48N15O26P3	
763.118897	2	35088444.24	y05	0.19	0.04	C47H60N18O33P4	
915.639115	2	57563195.09	y06	-0.31	0.03	C56H72N21O40P5	
1068.653087	2	63503811.76	y07	0.97	0.05	C65H83N23O48P6	
1241.176673	2	153352622.67	y08	0.73	0.02	C75H95N28O55P7	
1165.651994	2	13293184.41	y08-G	0.8	0.13	C70H90N23O54P7	
942.12979	3	20357617.38	y09	-0.82	0.12	C85H107N33O62P8	
1338.178123	2	11820750.44	y09-G	2.5	0.13	C80H102N28O61P8	
1566.711971	2	27996302.62	y10	-0.11	0.07	C94H118N35O70P9	
1731.244674	2	20552860.54	y11	3.63	0.13	C104H130N40O76P10	
1153.823916	3	79067539.4	y11	0.64	0.05	C104H130N40O76P10	
1263.506982	3	80036823.15	y12	-0.29	0.02	C114H142N45O82P11	
1293.522892	3	7586974.36	y12+DEPC+H2O	3.85	0.41	C117H148N45O85P11	
1365.517841	3	55816983.0	y13	1.51	0.06	C123H153N47O90P12	
1315.167777	3	12300464.82	y13-G	1.37	0.24	C118H148N42O89P12	
1467.523683	3	53894409.89	y14	-0.36	0.07	C132H164N49O98P13	
1417.17061	3	15669553.97	y14-G	-2.68	0.09	C127H159N44O97P13	
1569.530705	3	64432919.58677153	y15	-1.24	0.04	C141H175N51O106P14	
1599.539588	3	7131148.54	y15+DEPC+H2O	-2.27	0.44	C144H181N51O109P14	
1519.184772	3	20164869.72	y15-G	1.27	0.14	C136H170N46O105P14	
1671.212625	3	58377341.82	y16	-0.27	0.07	C150H187N54O113P15	
1620.870157	3	7855431.64	y16-G	4.25	0.47	C145H182N49O112P15	
1772.900983	3	43516728.13	y17	4.22	0.19	C159H199N57O120P16	
1329.421561	4	10896244.66	y17	2.45	0.41	C159H199N57O120P16	
1874.908458	3	15845206.72	y18	3.48	0.23	C168H210N59O128P17	
1405.926337	4	19670213.289032545	y18	1.21	0.28	C168H210N59O128P17	
1390.66312	4	6647806.308149661	y18+DEPC+H2O-G	-5.1	0.38	C166H211N54O130P17	
1492.187169	4	69900403.83	y19	0.45	0.05	C178H222N64O135P18	
1514.697402	4	5862771.76	y19+DEPC+H2O	1.97	0.58	C181H228N64O138P18	
1476.926486	4	8665422.483246036	y19+DEPC+H2O-G	-3.78	0.4	C176H223N59O137P18	
1454.431274	4	8700925.07	y19-G	4.9	0.36	C173H217N59O134P18	
1568.690334	4	35214231.8	y20	-1.58	0.31	C187H233N66O143P19	
1591.210127	4	6924891.26	y20+DEPC+H2O	5.9	0.45	C190H239N66O146P19	
1530.93754	4	12813050.27	y20-G	4.62	0.31	C182H228N61O142P19	
1645.20103	4	84898358.64	y21	1.15	0.06	C196H244N68O151P20	
1607.435197	4	9320152.998486646	y21-G	-0.99	0.35	C191H239N63O150P20	
1721.462258	4	44958978.01	y22	1.62	0.09	C205H256N71O158P21	
1807.719399	4	33824895.73	y23	-1.07	0.19	C215H268N76O165P22	
1445.979468	5	14846521.9	y23	2.67	0.24	C215H268N76O165P22	
1769.964623	4	16941813.76	y23-G	3.19	0.3	C210H263N71O164P22	
1507.180656	5	58980032.6295509	y24	-0.01	0.06	C224H279N78O173P23	
1525.187939	5	17705485.28	y24+DEPC+H2O	0.61	0.24	C227H285N78O176P23	
1476.969404	5	16971146.512519605	y24-G	-0.93	0.34	C219H274N73O172P23	
1568.186759	5	56074891.8	y25	-1.38	0.14	C233H291N81O180P24	
1537.980593	5	7713657.77	y25-G	1.01	0.55	C228H286N76O179P24	
1637.195173	5	76491125.94	y26	-1.98	0.08	C243H303N86O187P25	
1655.209622	5	13931370.95	y26+DEPC+H2O	2.94	0.35	C246H309N86O190P25	
1371.491779	6	6980349.26841581	y26+DEPC+H2O-Eth	-2.91	0.43	C244H303N86O189P25	

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 
(974.61884, 2, 18770438.41, 'c06', 1.05, 0.17, 'C57H71N23O43P6')	
(1304.82251, 3, 17866834.07, 'w12+DEPC+H2O-Eth', -2.72, 0.25, 'C115H143N45O87P12')	
(1355.478956, 3, 11263371.42, 'c13+DEPC+H2O-G', -1.23, 0.25, 'C119H152N37O98P13')	
(1355.976825, 6, 9283219.11, 'c26-G', -4.47, 0.38, 'C239H297N83O188P26')	
(1371.491779, 6, 25890193.61, 'y26+DEPC+H2O-Eth', -2.91, 0.43, 'C244H303N86O189P25')	
(1371.659489, 4, 37150491.98, 'c17+DEPC+H2O', -0.3, 0.16, 'C162H203N56O127P17')	
(1371.913898, 4, 27662902.62, 'w17+DEPC+H2O', -2.86, 0.14, 'C162H206N57O126P17')	
(1390.66312, 4, 10342827.9, 'y18+DEPC+H2O-G', -5.1, 0.38, 'C166H211N54O130P17')	
(1390.412649, 4, 13673006.69, 'a18+DEPC+H2O-G', 0.25, 0.33, 'C166H208N53O131P17')	
(1392.494434, 6, 21502504.79, 'w26+DEPC+H2O', -1.94, 0.4, 'C246H310N86O193P26')	
(1405.832805, 3, 81154484.21, 'c13+DEPC+H2O', 1.7, 0.07, 'C124H157N42O99P13')	
(1405.926337, 4, 24738911.33, 'y18', 1.21, 0.28, 'C168H210N59O128P17')	
(1406.833435, 3, 27328410.93, 'w13+DEPC+H2O-Eth', -0.76, 0.27, 'C124H154N47O95P13')	
(1430.835835, 3, 40371259.55, 'a14+DEPC+H2O-G', 1.56, 0.24, 'C128H162N39O103P13')	
(1431.667389, 6, 16185560.51, 'RNA', 3.73, 0.24, 'C253H312N91O196P27')	
(1448.418123, 4, 73391058.54, 'w18+DEPC+H2O', -4.16, 0.1, 'C171H217N59O134P18')	
(1476.926486, 4, 16057529.35, 'y19+DEPC+H2O-G', -3.78, 0.4, 'C176H223N59O137P18')	
(1476.675826, 4, 16879035.02, 'a19+DEPC+H2O-G', 1.13, 0.35, 'C176H220N58O138P18')	
(1476.969404, 5, 22999120.81, 'y24-G', -0.93, 0.34, 'C219H274N73O172P23')	
