spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2805_rev15.csv
limit_error:	6.5	2020-06-04
noise_limit:	3200000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1069.064326	8	31470478.0	a17+rev+CMCT-A	1.7	0.4	C290H430N124O151P16	5.4
1067.065109	8	47388469.0	a17+rev+CMCT-G	1.85	0.1	C290H430N124O150P16	0.4
1062.534041	5	29589323.0	a17-A	2.46	0.21	C157H195N61O118P16	0.8
721.71539	8	20449270.0	a18	-3.33	0.43	C172H212N71O124P17	4.7
1076.792658	8	17036825.0	a18+rev-G	-1.93	0.42	C286H417N126O155P17	3.6
871.97628	7	47108997.0	a19	5.22	0.26	C182H224N76O130P18	2.0
762.852325	8	432627484.0	a19	3.89	0.17	C182H224N76O130P18	7.4
1059.333399	6	820733980.0	a19+CMCT	-1.38	0.37	C196H249N79O131P18	103.7
794.251761	8	81797508.0	a19+CMCT	3.07	0.26	C196H249N79O131P18	3.4
1516.071807	6	32175714.0	a19+rev	-4.78	0.39	C301H434N136O162P18	5.0
1299.355302	7	480041031.0	a19+rev	2.2	0.12	C301H434N136O162P18	5.0
1335.241388	7	175014251.0	a19+rev+CMCT	2.45	0.12	C315H459N139O163P18	1.8
1038.294698	9	63462304.0	a19+rev+CMCT	-0.0	0.2	C315H459N139O163P18	1.5
1535.431111	6	28961628.0	a19+rev+CMCT-A	-3.58	0.27	C310H454N134O163P18	1.3
1280.058064	7	38810804.0	a19+rev-A	-0.68	0.21	C296H429N131O162P18	1.0
812.764521	11	15948506.0	a19+rev-G	2.37	0.4	C296H429N131O161P18	2.7
852.67667	7	42239192.0	a19-A	-1.83	0.2	C177H219N71O130P18	1.0
745.969655	8	42541852.0	a19-A	2.83	0.16	C177H219N71O130P18	0.7
1068.468918	6	26726485.0	a20	-3.3	0.34	C191H235N78O138P19	2.5
832.505224	8	25992206.0	a20+CMCT	3.29	0.24	C205H260N81O139P19	0.9
1044.386807	9	46282199.0	a20+rev	0.37	0.32	C310H445N138O170P19	3.5
1072.300166	9	44710158.0	a20+rev+CMCT	2.48	0.11	C324H470N141O171P19	0.4
1029.38169	9	28237498.0	a20+rev-A	1.28	0.32	C305H440N133O170P19	2.2
842.037373	11	32072191.0	a20+rev-A	0.25	0.34	C305H440N133O170P19	3.0
1045.962634	6	162235110.0	a20-A	-0.7	0.5	C186H230N73O138P19	75.2
1125.979613	6	35790341.0	a21	-0.66	0.3	C201H247N83O145P20	2.2
1082.727046	9	24803619.0	a21+rev	1.86	0.33	C320H457N143O177P20	2.1
1373.078463	7	49865229.0	a21+rev-A	6.65	0.27	C315H452N138O177P20	2.3
1067.721193	9	41531382.0	a21+rev-A	2.08	0.24	C315H452N138O177P20	1.4
1065.943003	9	37246125.0	a21+rev-G	1.16	0.2	C315H452N138O176P20	0.9
1103.471218	6	24901846.0	a21-A	-0.05	0.31	C196H242N78O145P20	1.7
899.882971	8	61345716.0	a22+CMCT-A	-0.22	0.09	C220H279N86O152P21	0.5
1455.958712	7	32825728.0	a22+rev+CMCT-A	-2.61	0.27	C339H489N146O184P21	1.5
1273.840068	8	29053766.0	a22+rev+CMCT-A	-0.96	0.36	C339H489N146O184P21	3.3
1132.195875	9	25568062.0	a22+rev+CMCT-A	3.91	0.44	C339H489N146O184P21	6.5
1130.411227	9	16619593.0	a22+rev+CMCT-G	-2.66	0.44	C339H489N146O183P21	4.2
1104.279539	9	43728078.0	a22+rev-A	-0.75	0.19	C325H464N143O183P21	0.9
1102.501633	9	35359171.0	a22+rev-G	-1.38	0.28	C325H464N143O182P21	1.8
868.483163	8	39766938.0	a22-A	-0.04	0.2	C206H254N83O151P21	0.9
1091.446043	7	17438600.0	a23+CMCT	-6.04	0.38	C234H296N94O159P22	2.4
1037.758033	10	186974779.0	a23+rev	-3.03	0.29	C339H481N151O190P22	10.6
1062.884321	10	49337893.0	a23+rev+CMCT	2.98	0.27	C353H506N154O191P22	2.3
1166.084933	9	23345025.0	a23+rev+CMCT-A	0.01	0.36	C348H501N149O191P22	2.7
1049.377286	10	129818975.0	a23+rev+CMCT-A	1.51	0.35	C348H501N149O191P22	13.4
1119.162281	7	42193588.0	a24+CMCT-G	-3.89	0.26	C239H303N94O165P23	1.8
1072.266769	10	46770623.0	a24+rev	0.79	0.19	C349H493N156O197P23	1.0
1083.87847	10	58523089.0	a24+rev+CMCT-A	-1.83	0.24	C358H513N154O198P23	2.0
1512.94363	7	25892164.0	a24+rev-A	-2.0	0.37	C344H488N151O197P23	3.3
1057.162171	10	6785393973.0	a24+rev-G	1.12	0.35	C344H488N151O196P23	702.2
1083.278913	7	69640588.0	a24-G	-1.88	0.28	C225H278N91O164P23	3.6
1162.736467	7	18274779.0	a25+CMCT-G	-6.45	0.37	C248H315N97O172P24	2.3
1102.768056	10	43482037.0	a25+rev	-1.81	0.19	C358H505N159O204P24	0.9
1253.324688	9	39805057.0	a25+rev+CMCT	1.3	0.27	C372H530N162O205P24	1.9
1012.987779	11	31151667.0	a25+rev+CMCT-A	2.43	0.33	C367H525N157O205P24	2.6
1074.407261	8	33952967.0	a26+CMCT	-1.99	0.19	C262H331N104O181P25	0.7
1259.410078	9	20824042.0	a26+rev	-3.74	0.4	C367H516N161O212P25	3.6
755.246699	15	13725055.0	a26+rev	0.98	0.47	C367H516N161O212P25	4.7
1053.084866	11	410150004.0	a26+rev+CMCT	1.31	0.2	C381H541N164O213P25	9.5
1040.805374	11	80733182.0	a26+rev+CMCT-A	-0.41	0.16	C376H536N159O213P25	1.2
1039.35024	11	138258538.0	a26+rev+CMCT-G	-1.42	0.34	C376H536N159O212P25	12.9
1118.265936	10	44429541.0	a26+rev-G	-1.52	0.22	C362H511N156O211P25	1.3
1016.513746	11	17311261.0	a26+rev-G	-1.6	0.49	C362H511N156O211P25	7.3
745.997063	11	26826571.0	a26-A	-3.82	0.52	C243H301N96O180P25	15.2
1086.144487	8	25523629.0	a27	3.8	0.37	C258H318N106O187P26	3.2
