spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1610_90_6.csv
limit_error:	6
noise_limit:	2049999.9999999998
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1448.178041	6	10146923.83	RNA	-0.87	0.45	C256H317N102O190P27	
1455.510982	6	30804399.166062925	RNA+DEPC+H2O-Eth	0.03	0.2	C257.0H317.0N102.0O192.0P27.0	
1423.01045	6	47900717.4	RNA-G	4.26	0.12	C251H312N97O189P27	
1198.19109	1	7460117.24	a04+DEPC+H2O-G	-0.98	0.33	C37H48N13O27P3	
1108.161234	1	15752058.28	a04-G	0.6	0.09	C34H42N13O24P3	
1414.18203	1	5309272.237756146	a05-G	-2.72	0.37	C43H53N15O32P4	
1031.634367	2	13481786.23	a07-A	0.68	0.19	C62H77N23O46P6	
1348.684516	2	12314876.885485925	a09-A	2.93	0.43	C81H101N31O59P8	
1198.823768	3	8032912.59	a12-G	1.25	0.49	C108H136N39O80P11	
1432.523497	3	16736130.69	a14+DEPC+H2O-G	1.26	0.28	C129H165N44O98P13	
1402.511972	3	73063940.49	a14-G	0.6	0.37	C126H159N44O95P13	
1517.52246	3	20453684.8	a15-G	-2.96	0.22	C136H171N49O102P14	
1390.926283	4	13661369.529251816	a18-A	2.96	0.13	C165H206N61O125P17	
1495.696387	4	5670542.23688752	a19+DEPC+H2O-G	2.12	0.31	C178H224N66O134P18	
1581.950488	4	15760740.28	a20+DEPC+H2O-A	-2.9	0.44	C188H236N71O141P19	
689.08739	1	9093336.14	c02	-0.29	0.21	C20H24N10O14P2	
779.119579	1	12251226.37	c02+DEPC+H2O	0.38	0.07	C23H30N10O17P2	
994.129968	1	66772683.45	c03	1.09	0.04	C29H36N13O21P3	
1084.160609	1	54626237.24	c03+DEPC+H2O	0.03	0.02	C32H42N13O24P3	
843.0803	1	5384787.73	c03-G	0.98	0.23	C24H31N8O20P3	
1339.17421	1	7886176.65	c04	-1.57	0.35	C39H48N18O28P4	
669.08379	2	6247372.34	c04	-1.09	0.35	C39H48N18O28P4	
714.09955	2	8594164.58	c04+DEPC+H2O	-1.14	0.37	C42H54N18O31P4	
822.097056	2	22454041.37	c05	-0.14	0.16	C48H59N20O36P5	
867.113022	2	28442220.53	c05+DEPC+H2O	0.01	0.1	C51H65N20O39P5	
974.618465	2	47706208.63	c06	0.67	0.06	C57H71N23O43P6	
1019.634135	2	45071586.65	c06+DEPC+H2O	0.47	0.03	C60H77N23O46P6	
944.10996	2	5138709.45	c06+DEPC+H2O-G	1.06	0.45	C55H72N18O45P6	
899.09391	2	8057867.77	c06-G	0.89	0.18	C52H66N18O42P6	
1139.143526	2	25955429.01	c07	-0.48	0.08	C67H83N28O49P7	
1184.159222	2	31063236.66	c07+DEPC+H2O	-0.59	0.09	C70H89N28O52P7	
1291.667127	2	40789091.61907686	c08	1.87	0.26	C76H95N31O56P8	
1336.681199	2	47382520.38	c08+DEPC+H2O	0.48	0.11	C79H101N31O59P8	
1456.184542	2	13206973.894141983	c09	-4.42	0.16	C86H107N36O62P9	
1501.207339	2	21508264.28	c09+DEPC+H2O	0.34	0.14	C89H113N36O65P9	
1000.46838	3	8667094.96	c09+DEPC+H2O	-0.41	0.42	C89H113N36O65P9	
1380.665867	2	20494232.01	c09-G	-0.29	0.26	C81H102N31O61P9	
1608.706069	2	7933905.870470851	c10	-3.45	0.33	C95H119N39O69P10	
1653.731284	2	16167407.58	c10+DEPC+H2O	2.31	0.31	C98H125N39O72P10	
1173.818451	3	38482161.96	c11	-0.54	0.1	C104H131N42O76P11	
1203.829884	3	46126336.81	c11+DEPC+H2O	0.2	0.11	C107H137N42O79P11	
1275.82669	3	23061390.08	c12	-0.65	0.12	C113H142N44O84P12	
1305.83459	3	21526109.59	c12+DEPC+H2O	-2.67	0.2	C116H148N44O87P12	
1377.836451	3	41264022.41	c13	0.36	0.11	C122H153N46O92P13	
1407.84735	3	56839312.77509974	c13+DEPC+H2O	0.59	0.12	C125H159N46O95P13	
1479.516435	3	97339391.32	c14	0.04	0.06	C131H165N49O99P14	
1509.526871	3	118956323.49	c14+DEPC+H2O	-0.05	0.04	C134H171N49O102P14	
1594.532101	3	64745380.21	c15	-0.06	0.07	C141H177N54O106P15	
1624.5432	3	90989878.88	c15+DEPC+H2O	0.27	0.06	C144H183N54O109P15	
1574.18968	3	16319402.13	c15+DEPC+H2O-G	-2.08	0.38	C139H178N49O108P15	
1544.183416	3	10666483.09	c15-G	0.67	0.32	C136H172N49O105P15	
1709.546449	3	49908382.52	c16	-0.91	0.09	C151H189N59O113P16	
1739.559883	3	89688374.13	c16+DEPC+H2O	0.76	0.05	C154H195N59O116P16	
1304.41592	4	13598895.87	c16+DEPC+H2O	-0.91	0.31	C154H195N59O116P16	
1689.210721	3	24476908.2444526	c16+DEPC+H2O-G	1.16	0.17	C149H190N54O115P16	
1659.199509	3	19754334.38	c16-G	0.79	0.2	C146H184N54O112P16	
1824.568417	3	21597849.29	c17	2.52	0.22	C161H201N64O120P17	
1854.577656	3	27026484.22	c17+DEPC+H2O	1.77	0.22	C164H207N64O123P17	
1390.675772	4	20090790.460869588	c17+DEPC+H2O	-2.3	0.14	C164H207N64O123P17	
1926.569177	3	10706919.1	c18	-1.6	0.44	C170H212N66O128P18	
1444.671333	4	30485233.8	c18	-4.18	0.18	C170H212N66O128P18	
1956.579717	3	20281378.58	c18+DEPC+H2O	-1.58	0.3	C173H218N66O131P18	
