spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0807_9.csv
limit_error:	6.5	2020-07-09
noise_limit:	3140000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1509.088655	8	32563369.0	a37+CMCT-G	-1.58	0.31	C364H457N147O255P36	2.3
1364.069005	9	21005688.0	a38	0.74	0.48	C364H449N152O262P37	8.1
1566.098491	8	119975443.0	a38+CMCT	-2.48	0.16	C378H474N155O263P37	1.9
1515.815526	8	29540450.0	a38-G	-3.77	0.4	C359H444N147O261P37	5.1
689.087493	1	55902635.0	c02	-0.14	0.07	C20H24N10O14P2	0.4
538.03694	1	7647066.0	c02-G	-2.31	0.16	C15H19N5O13P2	0.1
995.114529	1	113113522.0	c03	1.64	0.02	C29H35N12O22P3	0.4
1300.156052	1	53514663.0	c04	1.44	0.15	C38H47N15O29P4	0.7
649.57325	2	144094391.0	c04	-0.31	0.06	C38H47N15O29P4	0.8
802.585909	2	396107454.0	c05	-0.24	0.05	C47H58N17O37P5	2.1
975.110914	2	496394298.0	c06	1.12	0.03	C57H70N22O44P6	2.1
899.58689	2	36439647.0	c06-G	1.97	0.06	C52H65N17O43P6	0.2
1147.631821	2	289774491.0	c07	-1.5	0.05	C67H82N27O51P7	1.6
764.753335	3	56648489.0	c07	0.09	0.09	C67H82N27O51P7	0.4
1072.106761	2	25677293.0	c07-G	-1.93	0.22	C62H77N22O50P7	0.7
1320.156481	2	93312405.0	c08	-0.59	0.11	C77H94N32O58P8	0.9
879.76957	3	79928769.0	c08	0.56	0.09	C77H94N32O58P8	0.6
1445.760496	2	16346411.0	c08+CMCT	2.32	0.48	C91H119N35O59P8	6.3
829.419689	3	21263682.0	c08-G	0.5	0.23	C72H89N27O57P8	0.7
1472.680471	2	183533829.0	c09	1.75	0.1	C86H106N35O65P9	1.6
981.45046	3	442480309.0	c09	0.97	0.02	C86H106N35O65P9	1.8
1397.157246	2	32064301.0	c09-G	2.9	0.27	C81H101N30O64P9	1.5
931.100559	3	38069540.0	c09-G	0.92	0.12	C81H101N30O64P9	0.4
1645.19562	2	28475897.0	c10	-3.65	0.15	C96H118N40O72P10	0.4
1096.467072	3	277992215.0	c10	1.6	0.04	C96H118N40O72P10	1.3
1046.117387	3	65379079.0	c10-G	1.79	0.07	C91H113N35O71P10	0.4
1198.146474	3	425557504.0	c11	0.61	0.02	C105H130N43O79P11	1.7
1147.795308	3	41400269.0	c11-G	-0.55	0.05	C100H125N38O78P11	0.2
1307.827481	3	612671286.0	c12	-1.87	0.02	C115H142N48O85P12	2.4
980.620809	4	153477808.0	c12	0.19	0.02	C115H142N48O85P12	0.6
1262.810899	3	34193067.0	c12-A	-0.68	0.21	C110H137N43O85P12	0.9
946.859988	4	13227198.0	c12-A	3.16	0.33	C110H137N43O85P12	1.1
1257.480409	3	74489220.0	c12-G	0.23	0.08	C110H137N43O84P12	0.5
942.85709	4	20064149.0	c12-G	-1.25	0.19	C110H137N43O84P12	0.4
1422.837743	3	206135803.0	c13	-5.62	0.23	C125H154N53O92P13	6.8
1066.882519	4	64595234.0	c13	0.04	0.05	C125H154N53O92P13	0.3
1372.498426	3	38987899.0	c13-G	1.82	0.21	C120H149N48O91P13	1.0
1524.53033	3	470929097.0	c14	2.73	0.04	C134H166N56O99P14	2.2
1143.144193	4	496004995.0	c14	1.22	0.04	C134H166N56O99P14	2.4
1608.2646	3	44784783.0	c14+CMCT	3.22	0.18	C148H191N59O100P14	0.9
1474.180158	3	71511267.0	c14-G	2.58	0.1	C129H161N51O98P14	0.6
1105.383154	4	62451494.0	c14-G	2.45	0.03	C129H161N51O98P14	0.3
1639.534511	3	98857646.0	c15	-4.55	0.07	C144H178N61O106P15	0.6
1229.404605	4	120790777.0	c15	-0.05	0.04	C144H178N61O106P15	0.6
1191.64065	4	31458570.0	c15-G	-1.39	0.29	C139H173N56O105P15	1.8
1741.553159	3	72606262.0	c16	1.58	0.08	C153H189N63O114P16	0.5
1305.909571	4	304693925.0	c16	-1.08	0.03	C153H189N63O114P16	1.3
1044.528163	5	118085082.0	c16	0.79	0.06	C153H189N63O114P16	0.7
1368.709706	4	21491798.0	c16+CMCT	-0.89	0.44	C167H214N66O115P16	5.6
1268.152239	4	36566200.0	c16-G	2.84	0.1	C148H184N58O113P16	0.3
1014.317819	5	22647925.0	c16-G	0.36	0.21	C148H184N58O113P16	0.6
1843.225092	3	65538706.0	c17	-3.12	0.17	C162H201N66O121P17	1.1
1382.171232	4	545437881.0	c17	-0.05	0.02	C162H201N66O121P17	2.1
1105.537502	5	322943925.0	c17	1.73	0.03	C162H201N66O121P17	1.5
1444.967736	4	64746394.0	c17+CMCT	-2.43	0.04	C176H226N69O122P17	0.3
1344.408209	4	64937972.0	c17-G	-0.56	0.1	C157H196N61O120P17	0.6
1075.325481	5	47682043.0	c17-G	-0.21	0.15	C157H196N61O120P17	0.7
1464.432614	4	179188676.0	c18	-1.25	0.04	C172H213N71O127P18	0.9
1171.343904	5	402725440.0	c18	-1.87	0.02	C172H213N71O127P18	1.6
1144.338675	5	34994033.0	c18-A	3.04	0.18	C167H208N66O127P18	0.7
1141.135925	5	80224313.0	c18-G	-0.25	0.13	C167H208N66O126P18	0.9
1546.692694	4	87790641.0	c19	-3.15	0.12	C182H225N76O133P19	0.9
1237.158215	5	217270481.0	c19	1.31	0.05	C182H225N76O133P19	1.2
1030.798021	6	10444621.0	c19	2.01	0.26	C182H225N76O133P19	0.5
1210.146468	5	37778085.0	c19-A	0.63	0.14	C177H220N71O133P19	0.5
1206.943458	5	37072461.0	c19-G	-2.7	0.23	C177H220N71O132P19	1.2
1623.209772	4	76788045.0	c20	3.62	0.12	C191H236N78O141P20	0.8
1298.363113	5	557961481.0	c20	1.12	0.03	C191H236N78O141P20	2.4
1081.798312	6	49584765.0	c20	-1.72	0.12	C191H236N78O141P20	0.5
1686.008021	4	248896115.0	c20+CMCT	2.48	0.03	C205H261N81O142P20	1.1
1348.604165	5	320609216.0	c20+CMCT	1.89	0.06	C205H261N81O142P20	1.9
1318.392493	5	45807503.0	c20+CMCT-G	0.58	0.19	C200H256N76O141P20	1.0
1271.358403	5	19190235.0	c20-A	6.01	0.35	C186H231N73O141P20	2.0
1268.153642	5	87531227.0	c20-G	1.47	0.1	C186H231N73O140P20	0.7
1367.373542	5	117472993.0	c21	1.75	0.08	C201H248N83O148P21	0.8
1139.306293	6	48731682.0	c21	-1.57	0.13	C201H248N83O148P21	0.5
1772.270051	4	54063034.0	c21+CMCT	2.46	0.13	C215H273N86O149P21	0.6
1181.173901	6	34244279.0	c21+CMCT	-0.68	0.26	C215H273N86O149P21	1.5
1387.401015	5	19883991.0	c21+CMCT-G	-0.15	0.43	C210H268N81O148P21	4.7
1194.14807	6	75641087.0	c22	-1.75	0.07	C211H260N88O154P22	0.5
1483.427008	5	70691952.0	c22+CMCT	3.64	0.08	C225H285N91O155P22	0.5
1236.016051	6	89262167.0	c22+CMCT	-0.6	0.05	C225H285N91O155P22	0.5
1406.171465	5	20433761.0	c22-A	0.51	0.12	C206H255N83O154P22	0.2
1402.965127	5	25045304.0	c22-G	-4.73	0.36	C206H255N83O153P22	2.9
1244.989063	6	159922723.0	c23	-1.06	0.08	C220H272N91O161P23	1.1
1930.791805	4	84029836.0	c23+CMCT	1.38	0.08	C234H297N94O162P23	0.6
1544.424375	5	87486932.0	c23+CMCT	-3.55	0.08	C234H297N94O162P23	0.6
1286.859146	6	206599125.0	c23+CMCT	1.66	0.03	C234H297N94O162P23	0.9
1264.343236	6	14658092.0	c23+CMCT-A	-3.71	0.51	C229H292N89O162P23	7.7
1514.217983	5	68362115.0	c23+CMCT-G	-1.32	0.27	C229H292N89O161P23	3.2
1219.819251	6	19083793.0	c23-G	3.1	0.5	C215H267N86O160P23	9.0
1302.498728	6	125971787.0	c24	0.34	0.03	C230H284N96O168P24	0.5
1613.441842	5	38912197.0	c24+CMCT	1.55	0.26	C244H309N99O169P24	1.7
1344.366214	6	145096548.0	c24+CMCT	0.97	0.06	C244H309N99O169P24	0.8
1353.341723	6	154462695.0	c25	2.38	0.08	C239H296N99O175P25	1.1
1674.446077	5	23287906.0	c25+CMCT	-0.91	0.23	C253H321N102O176P25	0.8
1395.202596	6	207212154.0	c25+CMCT	-1.81	0.08	C253H321N102O176P25	1.5
1370.030577	6	27834592.0	c25+CMCT-G	0.26	0.34	C248H316N97O175P25	2.7
1328.15923	6	25991344.0	c25-G	-3.29	0.38	C234H291N94O174P25	3.7
1404.346347	6	366575000.0	c26	2.59	0.12	C248H307N101O183P26	3.8
1203.579597	7	20558519.0	c26	0.97	0.47	C248H307N101O183P26	7.2
1735.656723	5	720632319.0	c26+CMCT	2.34	0.03	C262H332N104O184P26	3.1
1446.21352	6	435984883.0	c26+CMCT	2.89	0.04	C262H332N104O184P26	2.1
1708.637538	5	10832257.0	c26+CMCT-A	-2.47	0.21	C257H327N99O184P26	0.3
1705.441337	5	104221028.0	c26+CMCT-G	-0.85	0.11	C257H327N99O183P26	1.0
1421.033821	6	173743619.0	c26+CMCT-G	-0.44	0.2	C257H327N99O183P26	4.3
1379.166827	6	32638998.0	c26-G	-0.71	0.29	C243H302N96O182P26	1.9
1461.843658	6	72451077.0	c27	-4.76	0.29	C258H319N106O190P27	4.2
1252.874653	7	47668881.0	c27	2.98	0.22	C258H319N106O190P27	1.4
1804.653029	5	20165358.0	c27+CMCT	-5.06	0.52	C272H344N109O191P27	11.6
1503.722188	6	179898958.0	c27+CMCT	3.29	0.06	C272H344N109O191P27	1.0
1481.20043	6	19889347.0	c27+CMCT-A	-5.22	0.44	C267H339N104O191P27	5.2
1233.584647	7	17711206.0	c27-A	5.86	0.37	C253H314N101O190P27	2.3
1436.674838	6	87172020.0	c27-G	-0.61	0.11	C253H314N101O189P27	0.8
1299.880314	7	64923448.0	c28	1.45	0.15	C268H331N111O196P28	0.9
1558.565653	6	119181267.0	c28+CMCT	4.05	0.11	C282H356N114O197P28	1.1
1335.760972	7	40641569.0	c28+CMCT	-2.34	0.2	C282H356N114O197P28	1.0
1567.532157	6	37705029.0	c29	-0.49	0.34	C277H343N114O203P29	3.6
1343.455166	7	207916902.0	c29	-0.44	0.05	C277H343N114O203P29	1.1
1609.398081	6	277104970.0	c29+CMCT	-0.91	0.05	C291H368N117O204P29	1.5
1379.339208	7	139326311.0	c29+CMCT	-1.61	0.28	C291H368N117O204P29	7.3
1584.228506	6	53735429.0	c29+CMCT-G	2.44	0.21	C286H363N112O203P29	1.4
1324.16253	7	20688347.0	c29-A	0.21	0.46	C272H338N109O203P29	6.6
1321.874304	7	16178099.0	c29-G	-2.24	0.11	C272H338N109O202P29	0.2
1392.752813	7	162789073.0	c30	3.28	0.04	C287H355N119O210P30	0.7
1666.904299	6	452410272.0	c30+CMCT	-1.89	0.08	C301H380N122O211P30	3.1
1644.396955	6	54543780.0	c30+CMCT-A	-0.86	0.2	C296H375N117O211P30	1.3
1409.337964	7	80512952.0	c30+CMCT-A	-1.74	0.1	C296H375N117O211P30	0.7
1641.731269	6	102151531.0	c30+CMCT-G	-0.78	0.08	C296H375N117O210P30	0.7
1407.05777	7	312832711.0	c30+CMCT-G	1.66	0.12	C296H375N117O210P30	3.3
1442.048074	7	87879041.0	c31	5.09	0.06	C297H367N124O217P31	0.5
1724.421068	6	69799998.0	c31+CMCT	3.31	0.16	C311H392N127O218P31	1.1
1477.932413	7	144932724.0	c31+CMCT	4.06	0.1	C311H392N127O218P31	1.2
1420.46434	7	30863180.0	c31-G	1.48	0.2	C292H362N119O216P31	0.8
1521.646532	7	330204206.0	c32+CMCT	1.46	0.06	C320H403N129O226P32	1.8
1502.351623	7	22787713.0	c32+CMCT-A	0.54	0.38	C315H398N124O226P32	3.2
1750.250764	6	9534641.0	c32+CMCT-G	3.48	0.27	C315H398N124O225P32	0.4
1500.068877	7	32068975.0	c32+CMCT-G	2.03	0.21	C315H398N124O225P32	0.9
1708.374281	6	7896563.0	c32-G	-2.21	0.21	C301H373N121O224P32	0.2
1568.650989	7	279958960.0	c33+CMCT	-0.53	0.03	C330H415N134O232P33	1.2
1549.356821	7	41929182.0	c33+CMCT-A	-0.97	0.37	C325H410N129O232P33	5.4
1547.076157	7	41751370.0	c33+CMCT-G	1.83	0.12	C325H410N129O231P33	0.4
2119.275661	5	18144375.0	c33-A	5.22	0.24	C311H385N126O231P33	0.6
1612.231216	7	474276035.0	c34+CMCT	1.29	0.04	C339H427N137O239P34	2.3
1592.935827	7	32906084.0	c34+CMCT-A	0.12	0.32	C334H422N132O239P34	2.6
1393.691675	8	30014721.0	c34+CMCT-A	-0.79	0.04	C334H422N132O239P34	0.1
1590.658002	7	52631872.0	c34+CMCT-G	4.62	0.04	C334H422N132O238P34	0.2
1420.302994	8	233394072.0	c35	-2.25	0.2	C335H414N139O244P35	5.8
1659.238554	7	150948324.0	c35+CMCT	1.15	0.12	C349H439N142O245P35	1.6
1451.707897	8	211553572.0	c35+CMCT	1.2	0.07	C349H439N142O245P35	1.4
1434.821369	8	53348192.0	c35+CMCT-A	-2.07	0.22	C344H434N137O245P35	1.5
1604.048802	7	21268898.0	c35-A	-5.4	0.39	C330H409N134O244P35	3.3
1672.639767	7	16530046.0	c36	-2.2	0.51	C345H426N144O251P36	8.6
1494.836872	8	581471254.0	c36+CMCT	-0.14	0.03	C359H451N147O252P36	2.5
1477.965059	8	55166182.0	c36+CMCT-A	6.62	0.1	C354H446N142O252P36	0.5
1475.960146	8	87316635.0	c36+CMCT-G	2.87	0.07	C354H446N142O251P36	0.6
1446.55361	8	57381264.0	c36-A	-1.17	0.04	C340H421N139O251P36	0.3
1537.968206	8	221559340.0	c37+CMCT	0.13	0.08	C369H463N152O259P37	1.5
1400.8643	9	523277942.0	c38+CMCT	0.05	0.05	C378H475N155O266P38	2.8
1384.087035	9	78773720.0	c38+CMCT-G	4.38	0.1	C373H470N150O265P38	0.7
627.08473	1	10020423.0	w02	-1.8	0.19	C18H26N6O15P2	0.2
