spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2911_72_6_3.csv
limit_error:	6
noise_limit:	1970000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1664.525296	3	9634726.94	c16-A	-2.73	0.54	C146H184N54O113P16	10.8
1659.202676	3	10942143.15	c16-G	2.7	0.33	C146H184N54O112P16	1.5
1824.571229	3	23665986.3	c17	4.06	0.22	C161H201N64O120P17	1.1
1926.572243	3	22643765.22	c18	-0.0	0.22	C170H212N66O128P18	1.0
1462.680031	4	29195846.47	c18+DEPC	-1.79	0.25	C173H216N66O130P18	1.8
1530.941678	4	69700369.0171838	c19	1.6	0.12	C180H224N71O135P19	1.2
1548.94582	4	47446258.66	c19+DEPC	0.85	0.1	C183H228N71O137P19	0.7
1613.206212	4	29985251.17	c20	2.39	0.17	C190H236N76O141P20	0.8
1631.204441	4	40524659.20201919	c20+DEPC	-1.96	0.1	C193H240N76O143P20	0.6
1713.47239	4	88460463.98	c21+DEPC	0.95	0.08	C203H252N81O149P21	1.0
1799.73189	4	25566013.56	c22+DEPC	-0.41	0.1	C213H264N86O156P22	0.4
1500.791009	5	28889934.66	c23+DEPC	0.87	0.18	C222H275N88O164P23	0.9
1561.798413	5	155256916.46	c24+DEPC	0.29	0.1	C231H287N91O171P24	2.1
1616.400786	5	13415051.88	c25	-1.51	0.43	C238H295N96O176P25	5.0
1630.804407	5	48436400.5426391	c25+DEPC	-1.87	0.11	C241H299N96O178P25	0.7
1677.412003	5	100609956.89410235	c26	0.31	0.23	C247H307N99O183P26	5.1
1397.673249	6	27977337.94	c26	-1.27	0.24	C247H307N99O183P26	1.6
1409.679276	6	84443407.42	c26+DEPC	0.52	0.09	C250H311N99O185P26	1.1
1402.009882	6	50199827.95060101	c26+DEPC-Eth	3.55	0.34	C248H305N99O184P26	7.6
1647.201683	5	26237187.29	c26-G	0.05	0.24	C242H302N94O182P26	1.5
627.08614	1	6964402.44	w02	0.44	0.05	C18H26N6O15P2	0.1
