spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_1x_134.csv
limit_error:	6
noise_limit:	1850000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1675.224757	4	15135990.733352823	a21+2DEPC+H2O-CO-A	-0.0	0.35	C200H252N76O148P20	
1659.715349	4	96540278.13	a21+2DEPC+H2O-CO-Eth-G	-0.13	0.07	C198H246N76O146P20	
1671.223551	4	29970209.02	a21+2DEPC+H2O-CO-G	-1.48	0.19	C200H252N76O147P20	
1745.97682	4	22197276.66	a22+2DEPC+H2O-CO-Eth-G	-0.34	0.27	C208H258N81O153P21	
1727.966957	4	36382324.731877446	a22-A	-3.0	0.3	C205H254N81O151P21	
1804.478754	4	19417871.092275515	a23-A	0.16	0.32	C214H265N83O159P22	
1518.799403	5	15633953.494925307	a24+2DEPC+H2O-CO-Eth-G	3.69	0.32	C226H281N86O168P23	
1273.165447	6	7716980.831542124	a24+2DEPC+H2O-CO-G	-1.43	0.39	C228H287N86O169P23	
1504.387667	5	15785335.432674155	a24-A	-1.27	0.21	C223H277N86O166P23	
1587.804769	5	18230055.175686542	a25+2DEPC+H2O-CO-Eth-G	0.93	0.25	C236H293N91O175P24	
1573.392409	5	30662864.55612124	a25-A	-4.23	0.29	C233H289N91O173P24	
1658.016244	5	18785202.45819431	a26+2DEPC+H2O-CO-G	-2.22	0.32	C247H311N94O183P25	
1634.400245	5	11057226.697203297	a26-A	-4.33	0.14	C242H301N94O180P25	
1631.209093	5	17319331.62	a26-G	0.46	0.33	C242H301N94O179P25	
344.03917	1	3698931.93	c01	-2.87	0.12	C10H12N5O7P1	
689.087418	1	30098344.88	c02	-0.25	0.07	C20H24N10O14P2	
538.03732	1	6665933.43	c02-G	-1.6	0.16	C15H19N5O13P2	
994.129998	1	229220399.59	c03	1.12	0.04	C29H36N13O21P3	
977.13332	1	5278504.46	c03+2DEPC+H2O-CO-G	-4.15	0.27	C29H41N8O24P3	
1056.16454	1	7421964.4	c03+DEPC+H2O-CO	-1.06	0.29	C31H42N13O23P3	
843.08013	1	11733469.16	c03-G	0.78	0.23	C24H31N8O20P3	
1339.174956	1	23633700.460311983	c04	-1.01	0.1	C39H48N18O28P4	
669.084543	2	31594119.66	c04	0.04	0.05	C39H48N18O28P4	
1401.20999	1	5217477.15	c04+DEPC+H2O-CO	-2.22	0.36	C41H54N18O30P4	
1188.12765	1	6840639.92	c04-G	0.63	0.13	C34H43N13O27P4	
593.55881	2	3554995.39	c04-G	-1.69	0.31	C34H43N13O27P4	
822.097213	2	87483198.39	c05	0.05	0.09	C48H59N20O36P5	
746.572392	2	9929678.88	c05-G	-0.1	0.13	C43H54N15O35P5	
974.61852	2	186348539.41	c06	0.73	0.02	C57H71N23O43P6	
899.093421	2	20336292.86	c06-G	0.35	0.16	C52H66N18O42P6	
1139.142488	2	91617795.87	c07	-1.39	0.03	C67H83N28O49P7	
1063.619731	2	12774325.6	c07-G	0.34	0.2	C62H78N23O48P7	
1291.665035	2	147786281.95	c08	0.25	0.02	C76H95N31O56P8	
860.772757	3	14740838.34	c08	-1.5	0.07	C76H95N31O56P8	
1327.674768	2	14697911.54	c08+DEPC	-0.39	0.28	C79H99N31O58P8	
1216.139332	2	23006067.09	c08-G	-0.56	0.13	C71H90N26O55P8	
1456.18893	2	160711541.3730661	c09	-1.41	0.23	C86H107N36O62P9	
970.458694	3	47272994.57	c09	0.48	0.07	C86H107N36O62P9	
1500.190887	2	12752532.396791222	c09+2DEPC+H2O-CO-Eth	-5.41	0.18	C89H111N36O65P9	
1492.197017	2	9548854.83872677	c09+DEPC	-3.03	0.33	C89H111N36O64P9	
1380.667294	2	25236199.61	c09-G	0.74	0.14	C81H102N31O61P9	
1608.712276	2	44969174.91090949	c10	0.41	0.21	C95H119N39O69P10	
1072.138094	3	85488876.82	c10	-0.52	0.03	C95H119N39O69P10	
1629.692998	2	16411007.577838443	c10+2DEPC+H2O-CO-2Eth	-3.5	0.33	C96H117N39O71P10	
1761.230994	2	34416121.0	c11	-0.72	0.09	C104H131N42O76P11	
1173.819019	3	123064979.88	c11	-0.06	0.04	C104H131N42O76P11	
1123.469591	3	9216733.79	c11-G	0.28	0.48	C99H126N37O75P11	
1275.825522	3	80300312.26	c12	-1.56	0.07	C113H142N44O84P12	
1225.476544	3	13310810.5	c12-G	-0.96	0.35	C108H137N39O83P12	
1377.833818	3	129871765.02	c13	-1.55	0.04	C122H153N46O92P13	
1407.174665	3	32369795.52226768	c13+2DEPC+H2O-CO-Eth	0.02	0.16	C125H157N46O95P13	
1356.826678	3	8947274.09	c13+2DEPC+H2O-CO-Eth-G	1.36	0.46	C120H152N41O94P13	
1372.166759	3	10065791.33	c13+2DEPC+H2O-CO-G	-3.91	0.49	C122H158N41O95P13	
2103.272185	2	8077662.98	c13+DEPC	1.93	0.45	C125H157N46O94P13	
1479.516964	3	363781465.46	c14	0.39	0.02	C131H165N49O99P14	
1508.857459	3	36142174.95	c14+2DEPC+H2O-CO-Eth	1.59	0.31	C134H169N49O102P14	
1473.849924	3	20541137.14	c14+2DEPC+H2O-CO-G	-1.78	0.2	C131H170N44O102P14	
1503.525992	3	10380330.02	c14+DEPC	1.71	0.44	C134H169N49O101P14	
1500.192131	3	11294530.970881337	c14+DEPC+H2O-CO	-2.12	0.38	C133H171N49O101P14	
1429.161367	3	41753043.74	c14-G	-3.65	0.22	C126H160N44O98P14	
1594.532414	3	266924168.48	c15	0.14	0.04	C141H177N54O106P15	
1623.869926	3	36634104.16485463	c15+2DEPC+H2O-CO-Eth	-0.58	0.21	C144H181N54O109P15	
1588.867361	3	25042230.910482712	c15+2DEPC+H2O-CO-G	-0.63	0.29	C141H182N49O109P15	
1544.183108	3	51844511.66	c15-G	0.47	0.21	C136H172N49O105P15	
1709.542831	3	264062220.28	c16	-3.03	0.03	C151H189N59O113P16	
1281.911919	4	21237916.79	c16	2.13	0.32	C151H189N59O113P16	
1738.890313	3	27367113.05	c16+2DEPC+H2O-CO-Eth	2.09	0.32	C154H193N59O116P16	
1733.548013	3	12577937.93	c16+DEPC	-4.06	0.35	C154H193N59O115P16	
1659.195206	3	68833459.43015781	c16-G	-1.81	0.08	C146H184N54O112P16	
1824.568366	3	132937374.31	c17	2.49	0.02	C161H201N64O120P17	
1368.172688	4	33790600.96	c17	1.2	0.14	C161H201N64O120P17	
1818.898605	3	17058237.04	c17+2DEPC+H2O-CO-G	-0.76	0.3	C161H206N59O123P17	
1774.217134	3	49875988.98	c17-G	1.76	0.13	C156H196N59O119P17	
1926.571069	3	84633921.1	c18	-0.61	0.07	C170H212N66O128P18	
1444.676958	4	76221298.54201211	c18	-0.28	0.06	C170H212N66O128P18	
1466.680321	4	11237004.03	c18+2DEPC+H2O-CO-Eth	-0.72	0.54	C173H216N66O131P18	
1462.685735	4	42719545.27	c18+DEPC	2.11	0.44	C173H216N66O130P18	
1876.222905	3	38554439.51	c18-G	0.24	0.09	C165H207N61O127P18	
1406.915735	4	23351087.777282696	c18-G	0.51	0.17	C165H207N61O127P18	
2041.581337	3	15402542.077342506	c19	-3.29	0.22	C180H224N71O135P19	
1530.941089	4	206076527.05	c19	1.22	0.06	C180H224N71O135P19	
1541.424725	4	11505298.54	c19+2DEPC+H2O-CO-2Eth	-5.22	0.4	C181H222N71O137P19	
1552.947245	4	34662685.95	c19+2DEPC+H2O-CO-Eth	2.58	0.21	C183H228N71O138P19	
1548.940456	4	20805403.87	c19+DEPC	-2.62	0.18	C183H228N71O137P19	
1991.234851	3	16628556.63	c19-G	-1.71	0.23	C175H219N66O134P19	
1493.176761	4	59353995.17	c19-G	-0.08	0.07	C175H219N66O134P19	
1613.205014	4	98534534.10736772	c20	1.65	0.07	C190H236N76O141P20	
1646.718415	4	46924975.97	c20+2DEPC+H2O-CO	0.96	0.13	C195H246N76O145P20	
1623.695576	4	11525401.175419107	c20+2DEPC+H2O-CO-2Eth	-0.2	0.36	C191H234N76O143P20	
1635.202302	4	65960559.89293401	c20+2DEPC+H2O-CO-Eth	-2.49	0.14	C193H240N76O144P20	
1597.444061	4	34443490.52561659	c20+2DEPC+H2O-CO-Eth-G	0.03	0.13	C188H235N71O143P20	
1575.439888	4	18583227.88	c20-G	-0.07	0.25	C185H231N71O140P20	
1728.982364	4	98920465.58685768	c21+2DEPC+H2O-CO	1.39	0.12	C205H258N81O151P21	
1705.955634	4	12393890.18	c21+2DEPC+H2O-CO-2Eth	-1.99	0.46	C201H246N81O149P21	
1717.466441	4	126795154.81854707	c21+2DEPC+H2O-CO-Eth	-1.78	0.07	C203H252N81O150P21	
1679.70675	4	70294684.22	c21+2DEPC+H2O-CO-Eth-G	-0.24	0.07	C198H247N76O149P21	
1657.708077	4	14696764.885337705	c21-G	2.98	0.36	C195H243N76O146P21	
1815.240114	4	36574329.18	c22+2DEPC+H2O-CO	-0.94	0.22	C215H270N86O158P22	
1803.728495	4	29930996.89000833	c22+2DEPC+H2O-CO-Eth	-1.59	0.26	C213H264N86O157P22	
1765.970766	4	10502257.019845517	c22+2DEPC+H2O-CO-Eth-G	1.0	0.23	C208H259N81O156P22	
1777.477086	4	20635462.947997894	c22+2DEPC+H2O-CO-G	-1.34	0.2	C210H265N81O157P22	
1513.191419	5	37204333.41	c23+2DEPC+H2O-CO	-3.73	0.07	C224H281N88O166P23	
1503.989209	5	35996117.95181517	c23+2DEPC+H2O-CO-Eth	0.34	0.1	C222H275N88O165P23	
