spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0503_2x_134_7.csv
limit_error:	6.5	2020-03-26
noise_limit:	1890000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1066.15061	1	4119088.0	c03+DEPC	0.56	0.3	C32H40N13O23P3	0.4
1056.16541	1	5637216.0	c03+DEPC+H2O-CO	-0.24	0.29	C31H42N13O23P3	0.5
843.07881	1	5171819.0	c03-G	-0.78	0.23	C24H31N8O20P3	0.3
669.084858	2	26069562.0	c04	0.51	0.11	C39H48N18O28P4	0.4
1188.1279	1	6587646.0	c04-G	0.84	0.31	C34H43N13O27P4	0.8
822.097376	2	71507344.0	c05	0.25	0.06	C48H59N20O36P5	0.7
858.11027	2	4384346.0	c05+DEPC	2.95	0.43	C51H63N20O38P5	1.7
974.618289	2	119426584.0	c06	0.49	0.06	C57H71N23O43P6	1.2
899.09033	2	4503394.0	c06-G	-3.09	0.43	C52H66N18O42P6	1.8
1139.143649	2	59292124.0	c07	-0.37	0.08	C67H83N28O49P7	0.7
1175.15342	2	6141953.0	c07+DEPC	-1.04	0.24	C70H87N28O51P7	0.4
1291.664398	2	111096705.0	c08	-0.25	0.1	C76H95N31O56P8	1.6
860.774071	3	25567617.0	c08	0.02	0.12	C76H95N31O56P8	0.4
1456.192364	2	36165607.0	c09	0.95	0.08	C86H107N36O62P9	0.4
970.458229	3	82824030.0	c09	0.0	0.04	C86H107N36O62P9	0.7
1477.182059	2	11837600.0	c09+2DEPC+H2O-CO-2Eth	2.7	0.29	C87H105N36O64P9	1.1
1608.719223	2	30138808.0	c10	4.73	0.1	C95H119N39O69P10	0.4
1072.138867	3	63828113.0	c10	0.2	0.07	C95H119N39O69P10	0.7
1644.724219	2	9065980.0	c10+DEPC	1.24	0.36	C98H123N39O71P10	1.8
1173.818967	3	101048108.0	c11	-0.1	0.05	C104H131N42O76P11	0.9
1203.15427	3	10576238.0	c11+2DEPC+H2O-CO-Eth	-2.91	0.37	C107H135N42O79P11	2.3
1275.826826	3	110358126.0	c12	-0.54	0.06	C113H142N44O84P12	1.1
956.619212	4	8576281.0	c12	0.41	0.4	C113H142N44O84P12	2.5
1305.162559	3	31929797.0	c12+2DEPC+H2O-CO-Eth	-2.79	0.3	C116H146N44O87P12	3.4
1377.835639	3	92400421.0	c13	-0.23	0.02	C122H153N46O92P13	0.6
1033.1242	4	51281401.0	c13	-0.91	0.07	C122H153N46O92P13	0.5
1422.526039	3	12179323.0	c13+2DEPC+H2O-CO	2.89	0.31	C127H163N46O96P13	1.4
1407.182232	3	8190892.0	c13+2DEPC+H2O-CO-Eth	5.4	0.15	C125H157N46O95P13	0.2
1398.509386	3	15740481.0	c13+DEPC+H2O-CO	-3.93	0.22	C124H159N46O94P13	0.8
1479.517629	3	239239996.0	c14	0.84	0.04	C131H165N49O99P14	1.9
1109.38485	4	105626030.0	c14	-0.56	0.07	C131H165N49O99P14	1.1
1524.204576	3	11779426.0	c14+2DEPC+H2O-CO	1.46	0.44	C136H175N49O103P14	5.1
1508.857029	3	19533203.0	c14+2DEPC+H2O-CO-Eth	1.3	0.34	C134H169N49O102P14	3.1
1131.388019	4	9874443.0	c14+2DEPC+H2O-CO-Eth	-1.29	0.46	C134H169N49O102P14	5.2
1594.531903	3	143183194.0	c15	-0.18	0.03	C141H177N54O106P15	1.0
1195.646132	4	242703135.0	c15	-1.0	0.03	C141H177N54O106P15	1.7
1623.877802	3	18490832.0	c15+2DEPC+H2O-CO-Eth	4.27	0.29	C144H181N54O109P15	1.8
1217.648634	4	9761761.0	c15+2DEPC+H2O-CO-Eth	-2.22	0.36	C144H181N54O109P15	1.9
1544.182063	3	14359353.0	c15-G	-0.21	0.42	C136H172N49O105P15	5.1
1157.883461	4	44770111.0	c15-G	-1.31	0.04	C136H172N49O105P15	0.4
1709.545301	3	62159071.0	c16	-1.58	0.07	C151H189N59O113P16	0.7
1281.910251	4	144842738.0	c16	0.83	0.04	C151H189N59O113P16	1.1
1303.910243	4	19296646.0	c16+2DEPC+H2O-CO-Eth	-2.26	0.38	C154H193N59O116P16	4.6
