spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1610_134_6n.csv
limit_error:	6
noise_limit:	1700000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1438.189835	6	334549334.27	RNA	0.39	0.09	C256H320N102O188P26	
1460.528866	6	14593574206.99	RNA+2DEPC+H2O-CO	-2.32	0.09	C261H330N102O192P26	
1445.184761	6	805898871.9	RNA+2DEPC+H2O-CO-2Eth	-0.15	0.05	C257H318N102O190P26	
1435.019122	6	782687996.25	RNA+2DEPC+H2O-CO-A-H2O	-1.6	0.28	C256H323N97O191P26	
1452.858657	6	7390350684.35	RNA+2DEPC+H2O-CO-Eth	0.03	0.05	C259H324N102O191P26	
1435.356642	6	849615539.53	RNA+2DEPC+H2O-CO-G	-0.5	0.11	C256H325N97O191P26	
1432.356564	6	63989086.08	RNA+2DEPC+H2O-CO-G-H2O	0.67	0.14	C256H323N97O190P26	
1450.194461	6	349750458.21	RNA+DEPC	1.15	0.18	C259H324N102O190P26	
1448.529977	6	23971534.74	RNA+DEPC+H2O-CO	0.85	0.27	C258H326N102O190P26	
1412.677416	6	122451632.82	RNA-A-H2O	-0.72	0.11	C251H313N97O187P26	
1413.012343	6	93582363.14	RNA-G	-1.44	0.28	C251H315N97O187P26	
1410.014039	6	93040738.5	RNA-G-H2O	1.01	0.2	C251H313N97O186P26	
1108.160005	1	20948742.08	a04-G	-0.51	0.12	C34H42N13O24P3	
1414.18259	1	11915725.59	a05-G	-2.32	0.37	C43H53N15O32P4	
926.14445	2	5265352.6	a06+2DEPC+H2O-CO-G	6.0	0.46	C57H75N18O43P5	
1031.63316	2	24047889.23	a07-A	-0.48	0.11	C62H77N23O46P6	
1184.158419	2	8122663.35	a08-A	3.48	0.23	C71H89N26O53P7	
1348.681578	2	25244525.34	a09-A	0.75	0.16	C81H101N31O59P8	
898.784378	3	10908218.34	a09-A	-0.27	0.14	C81H101N31O59P8	
975.370638	4	26941537.02	a13-G	-0.59	0.47	C117H147N41O88P12	
1452.524185	3	2918011337.16	a14+2DEPC+H2O-CO-A	-3.14	0.47	C131H169N44O100P13	
867.915165	5	9969419.29	a14+2DEPC+H2O-CO-G	-0.21	0.32	C131H169N44O99P13	
1402.510234	3	94894697.45	a14-G	-0.64	0.15	C126H159N44O95P13	
1522.85167	3	11358395.82	a15-A	-4.54	0.45	C136H171N49O103P14	
1517.524308	3	35472299.99	a15-G	-1.74	0.23	C136H171N49O102P14	
1632.537268	3	31901484.98	a16-G	-3.36	0.06	C146H183N54O109P15	
1747.551341	3	10550071.31	a17-G	-4.14	0.39	C156H195N59O116P16	
1424.431053	4	34038510.87	a18+2DEPC+H2O-CO-A	-3.92	0.57	C170H216N61O129P17	
1390.925807	4	15743583.92	a18-A	2.62	0.46	C165H206N61O125P17	
1473.183467	4	30601461.78	a19-G	-1.24	0.16	C175H218N66O131P18	
1559.447278	4	29888439.21	a20-A	0.08	0.12	C185H230N71O138P19	
1671.222288	4	15638139.24	a21+2DEPC+H2O-CO-G	-2.24	0.32	C200H252N76O147P20	
1173.987743	6	70453755.03	a22+2DEPC+H2O-CO-A	-0.77	0.35	C210H264N81O155P21	
1275.825853	6	37948099.81	a24+2DEPC+H2O-CO-A	-5.67	0.41	C228H287N86O170P23	
1504.392989	5	23561349.19	a24-A	2.27	0.25	C223H277N86O166P23	
1634.401775	5	38733469.95	a26-A	-3.39	0.13	C242H301N94O180P25	
344.03878	1	4236937.04	c01	-4.01	0.12	C10H12N5O7P1	
689.087738	1	21028014.39	c02	0.21	0.05	C20H24N10O14P2	
994.129968	1	147562283.13	c03	1.09	0.05	C29H36N13O21P3	
1056.16678	1	5322836.78	c03+DEPC+H2O-CO	1.06	0.08	C31H42N13O23P3	
843.07935	1	7575378.09	c03-G	-0.14	0.23	C24H31N8O20P3	
1339.174213	1	15659796.75	c04	-1.57	0.12	C39H48N18O28P4	
669.084528	2	28693661.04	c04	0.01	0.06	C39H48N18O28P4	
822.096997	2	52133908.37	c05	-0.21	0.02	C48H59N20O36P5	
843.07935	2	8102306.67	c05+2DEPC+H2O-CO-2Eth	-5.82	0.42	C49H57N20O38P5	
746.57156	2	3718436.42	c05-G	-1.21	0.37	C43H54N15O35P5	
