spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_3x_134.csv
limit_error:	6
noise_limit:	1980000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1460.528835	6	48080974033.19	RNA+2DEPC+H2O-CO	-2.35	0.04	C261H330N102O192P26	
1445.187494	6	1340350802.7964637	RNA+2DEPC+H2O-CO-2Eth	1.74	0.02	C257H318N102O190P26	
1422.679308	6	135966146.24433976	RNA+2DEPC+H2O-CO-2Eth-A	2.4	0.09	C252H313N97O190P26	
1426.679071	6	88183097.2899918	RNA+2DEPC+H2O-CO-2Eth-C	0.92	0.13	C253H313N99O189P26	
1420.011263	6	554978222.43	RNA+2DEPC+H2O-CO-2Eth-G	0.84	0.02	C252H313N97O189P26	
1417.012446	6	126313595.38087925	RNA+2DEPC+H2O-CO-2Eth-G-H2O	2.92	0.09	C252H311N97O188P26	
1438.022487	6	1166339324.0073175	RNA+2DEPC+H2O-CO-A	-0.48	0.03	C256H325N97O192P26	
1442.021839	6	342983491.76	RNA+2DEPC+H2O-CO-C	-2.23	0.07	C257H325N99O191P26	
1439.021585	6	86415812.7713089	RNA+2DEPC+H2O-CO-C-H2O	-1.19	0.11	C257H323N99O190P26	
1452.859356	6	20616229205.349968	RNA+2DEPC+H2O-CO-Eth	0.51	0.03	C259H324N102O191P26	
1430.350615	6	1118813180.9000041	RNA+2DEPC+H2O-CO-Eth-A	0.76	0.03	C254H319N97O191P26	
1431.352298	6	85589016.96434146	RNA+2DEPC+H2O-CO-Eth-C-H2O	1.85	0.43	C255H317N99O189P26	
1427.685685	6	3448650243.2319584	RNA+2DEPC+H2O-CO-Eth-G	1.38	0.01	C254H319N97O190P26	
1424.683742	6	310874860.95582134	RNA+2DEPC+H2O-CO-Eth-G-H2O	1.25	0.06	C254H317N97O189P26	
1449.859581	6	753217072.2939495	RNA+2DEPC+H2O-CO-Eth-H2O	1.88	0.07	C259H322N102O190P26	
1435.356666	6	2717276847.96	RNA+2DEPC+H2O-CO-G	-0.48	0.03	C256H325N97O191P26	
1432.355837	6	345837722.02866656	RNA+2DEPC+H2O-CO-G-H2O	0.17	0.14	C256H323N97O190P26	
1457.529838	6	1042769407.02	RNA+2DEPC+H2O-CO-H2O	-0.45	0.06	C261H328N102O191P26	
1450.195254	6	246863564.60795718	RNA+DEPC	1.69	0.13	C259H324N102O190P26	
1448.525679	6	79158416.6662548	RNA+DEPC+H2O-CO	-2.11	0.11	C258H326N102O190P26	
1426.02048	6	42963409.20130588	RNA+DEPC+H2O-CO-A	0.58	0.46	C253H321N97O190P26	
1423.015535	6	40482535.2827859	RNA+DEPC+H2O-CO-A-H2O	-1.66	0.17	C253H319N97O189P26	
1430.018044	6	110536990.84348416	RNA+DEPC+H2O-CO-C	-2.44	0.26	C254H321N99O189P26	
1423.351531	6	24174550.47496027	RNA+DEPC+H2O-CO-G	-1.62	0.18	C253H321N97O189P26	
1445.521857	6	96611347.65580225	RNA+DEPC+H2O-CO-H2O	-3.54	0.24	C258H324N102O189P26	
1428.689603	6	41512857.594807535	RNA+DEPC-C-H2O	4.04	0.24	C255H317N99O188P26	
