spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2905_revUnmod.csv
limit_error:	6.5	2020-06-12
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1297.461966	8	17849442.0	a23+rev	6.68	0.23	C339H481N151O190P22	0.9
1518.833366	7	9697145.0	a23+rev+CMCT	0.02	0.51	C353H506N154O191P22	8.0
1705.100312	6	10371058.0	a23+rev-G	1.02	0.29	C334H476N146O189P22	0.9
1083.279377	7	9534758.0	a24-G	-1.46	0.39	C225H278N91O164P23	2.4
1378.717541	8	18752710.0	a25+rev	2.29	0.39	C358H505N159O204P24	4.6
1102.771138	10	30686288.0	a25+rev	0.99	0.02	C358H505N159O204P24	0.2
1359.834811	8	26520426.0	a25+rev-G	1.18	0.17	C353H500N154O203P24	0.7
1208.629461	9	12968162.0	a25+rev-G	0.62	0.06	C353H500N154O203P24	0.1
658.249135	12	7553163.0	a25-A	2.93	0.52	C234H290N94O172P24	6.8
1126.860147	7	9163110.0	a25-G	1.66	0.25	C234H290N94O171P24	0.5
834.203121	10	28804832.0	a26	-3.55	0.45	C248H306N101O180P25	13.0
1208.746759	7	6842081.0	a26+CMCT-A	-0.07	0.06	C257H326N99O181P25	0.1
1297.758668	9	38246669.0	a27+rev	4.07	0.23	C377H528N166O219P26	1.9
1069.258127	8	30066227.0	a27-A	-0.39	0.16	C253H313N101O187P26	0.7
1141.79168	8	17373091.0	a28+CMCT-A	1.4	0.21	C277H350N109O194P27	0.7
1515.750223	8	28461238.0	a28+rev+CMCT-A	1.34	0.03	C396H560N169O226P27	0.2
1513.751598	8	7253965.0	a28+rev+CMCT-G	1.83	0.08	C396H560N169O225P27	0.1
1319.307859	9	64474590.0	a28+rev-A	-0.66	0.07	C382H535N166O225P27	0.6
1119.259157	11	21981514.0	a29+rev	-0.74	0.12	C396H552N174O232P28	0.4
1128.367404	11	11607049.0	a29+rev+CMCT-G	2.52	0.2	C405H572N172O232P28	0.4
868.413932	14	7709255.0	a29+rev-G	0.53	0.11	C391H547N169O231P28	0.1
1173.463024	11	22170281.0	a30+rev+CMCT	-1.06	0.25	C420H589N182O240P29	1.4
