spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_2_7.csv
limit_error:	6.5	2020-04-16
noise_limit:	2600000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1254.318427	7	33299220154.0	RNA+CMCT	0.49	0.03	C267H340N94O195P26	172.9
1235.024434	7	2153913907.0	RNA+CMCT-A	0.1	0.02	C262H335N89O195P26	10.1
1238.454782	7	1430358699.16	RNA+CMCT-C	0.24	0.02	C263H335N91O194P26	6.7
1235.882913	7	79803994.0	RNA+CMCT-C-H2O	1.1	0.08	C263H333N91O193P26	0.7
1232.739373	7	2409662199.0	RNA+CMCT-G	0.04	0.02	C262H335N89O194P26	11.3
1230.165126	7	182000254.0	RNA+CMCT-G-H2O	-1.03	0.06	C262H333N89O193P26	1.3
1251.746061	7	1652295686.15	RNA+CMCT-H2O	0.95	0.01	C267H338N94O194P26	7.0
1215.857893	7	49580275.52	RNA-H2O	-1.07	0.23	C253H313N91O193P26	1.9
458.07208	1	5412202.08	a02-G	0.5	0.16	C15H18N5O10P1	0.1
914.16225	1	7466766.79	a03	-0.33	0.28	C29H35N13O18P2	0.5
1069.13531	1	9999403.6	a04-G	-2.93	0.3	C33H41N10O25P3	0.8
706.589503	2	24237653.58	a05-G	0.29	0.12	C43H53N15O32P4	0.3
934.63483	2	9087700.4	a06	0.19	0.26	C57H70N23O40P5	0.5
1463.25497	2	24257191.62	a09+CMCT-G	-2.65	0.13	C94H124N30O63P8	0.3
1337.651649	2	17101250.89	a09-G	-5.47	0.26	C80H99N27O62P8	0.9
1330.892535	3	25721234.47	a12+CMCT	2.48	0.24	C126H164N43O86P11	1.1
1227.441405	4	13632998.0	a15+CMCT	5.97	0.4	C153H197N49O110P14	2.9
1275.932287	4	13180601.38	a16+CMCT-A	-1.02	0.43	C158H204N49O116P15	3.7
1329.165966	4	48649000.0	a17	4.19	0.18	C159H196N56O121P16	1.1
1391.96744	4	10067786.0	a17+CMCT	5.1	0.29	C173H221N59O122P16	0.7
1405.674779	4	15388735.0	a18	5.73	0.36	C168H207N58O129P17	2.2
1174.579363	5	9536843.0	a18+CMCT	6.37	0.29	C182H232N61O130P17	0.7
1491.93635	4	34126461.0	a19	5.2	0.12	C178H219N63O136P18	0.4
1454.168784	4	7615542.0	a19-G	1.75	0.55	C173H214N58O135P18	7.2
1163.137282	5	18766625.0	a19-G	4.94	0.19	C173H214N58O135P18	0.5
1445.576872	5	17143112.0	a23	3.04	0.34	C215H266N76O165P22	2.0
1246.343543	6	21482344.0	a23+CMCT	0.86	0.2	C229H291N79O166P22	0.6
1415.362268	5	10869724.0	a23-G	-0.23	0.42	C210H261N71O164P22	2.8
1259.31622	6	30975592.06	a24	-1.36	0.28	C225H278N81O171P23	2.0
1278.676463	6	69091649.77	a24+CMCT-A	0.77	0.1	C234H298N79O172P23	0.7
1236.809641	6	127477728.27	a24-A	0.64	0.37	C220H273N76O171P23	19.8
1333.518375	6	23322936.24	a25+CMCT-G	0.6	0.34	C244H310N84O178P24	2.7
344.0404	1	9910799.82	c01	0.7	0.12	C10H12N5O7P1	0.1
689.087793	1	59684722.64	c02	0.29	0.05	C20H24N10O14P2	0.4
538.03834	1	13547775.48	c02-G	0.29	0.16	C15H19N5O13P2	0.3
994.129771	1	110182872.0	c03	0.9	0.1	C29H36N13O21P3	1.2
649.573726	2	76682264.0	c04	0.42	0.07	C38H47N15O29P4	0.6
1149.10101	1	9801333.95	c04-G	-3.27	0.3	C33H42N10O28P4	0.8
822.097103	2	128991413.92	c05	-0.08	0.07	C48H59N20O36P5	1.0
746.570938	2	13498575.88	c05-G	-2.05	0.13	C43H54N15O35P5	0.2
974.618349	2	206356920.0	c06	0.55	0.05	C57H71N23O43P6	1.3
899.09254	2	11200335.32	c06-G	-0.63	0.23	C52H66N18O42P6	0.4
1127.630346	2	107974769.19	c07	-0.11	0.04	C66H82N25O51P7	0.6
1253.233888	2	145692709.41	c07+CMCT	2.83	0.25	C80H107N28O52P7	6.8
1052.106413	2	11560644.73	c07-G	0.62	0.22	C61H77N20O50P7	0.4
1280.641493	2	84381871.39	c08	-1.27	0.05	C75H93N27O59P8	0.5
1406.245416	2	199323786.19	c08+CMCT	1.72	0.03	C89H118N30O60P8	1.0
1205.11674	2	20122777.34	c08-G	-1.39	0.28	C70H88N22O58P8	1.3
1453.168414	2	20225008.12	c09	1.09	0.18	C85H105N32O66P9	0.5
968.442441	3	27807337.89	c09	0.32	0.16	C85H105N32O66P9	0.5
1578.772571	2	41373800.44	c09+CMCT	3.71	0.09	C99H130N35O67P9	0.4
1070.448107	3	47068922.36	c10	-2.3	0.07	C94H116N34O74P10	0.4
1731.782182	2	26650374.82	c10+CMCT	1.63	0.17	C108H141N37O75P10	0.6
1154.18502	3	66432820.98	c10+CMCT	1.04	0.08	C108H141N37O75P10	0.6
1172.130581	3	59861090.16	c11	-0.35	0.08	C103H128N37O81P11	0.5
1273.812722	3	66754355.73	c12	1.02	0.09	C112H140N40O88P12	0.6
1357.544537	3	145526606.52	c12+CMCT	-0.1	0.03	C126H165N43O89P12	0.8
1375.817232	3	27138649.45	c13	-1.91	0.23	C121H151N42O96P13	1.0
1459.55197	3	129881814.05	c13+CMCT	-0.78	0.06	C135H176N45O97P13	0.9
1409.203318	3	22651350.44	c13+CMCT-G	0.01	0.24	C130H171N40O96P13	1.0
1108.118617	4	18790062.02	c14	-0.71	0.42	C130H162N44O104P14	4.8
1561.562348	3	168372231.38	c14+CMCT	0.52	0.06	C144H187N47O105P14	1.2
1184.627061	4	34650018.11	c15	1.13	0.13	C139H173N46O112P15	0.5
1663.570197	3	93817829.36	c15+CMCT	0.13	0.04	C153H198N49O113P15	0.5
1247.424726	4	162475568.0	c15+CMCT	-0.75	0.06	C153H198N49O113P15	1.1
1613.225316	3	20983590.58	c15+CMCT-G	3.19	0.41	C148H193N44O112P15	4.9
1266.890132	4	28957752.93	c16	1.01	0.21	C149H185N51O118P16	0.9
1329.691283	4	231209450.84	c16+CMCT	1.87	0.02	C163H210N54O119P16	1.1
1295.923587	4	21878710.89	c16+CMCT-A	-1.22	0.2	C158H205N49O119P16	0.6
1411.951438	4	201697378.0	c17+CMCT	-0.34	0.03	C173H222N59O125P17	1.0
1378.188329	4	26864807.63	c17+CMCT-A	0.02	0.28	C168H217N54O125P17	1.7
1374.187533	4	39045296.99	c17+CMCT-G	-1.48	0.24	C168H217N54O124P17	1.7
1311.392109	4	7939041.0	c17-G	1.89	0.39	C154H192N51O123P17	1.5
1425.654441	4	19195421.0	c18	-2.71	0.29	C168H208N58O132P18	1.3
1488.458243	4	299729391.35	c18+CMCT	-0.0	0.03	C182H233N61O133P18	1.6
1190.565082	5	156426158.84	c18+CMCT	-0.05	0.04	C182H233N61O133P18	0.9
1454.700578	4	17916670.43	c18+CMCT-A	4.09	0.43	C177H228N56O133P18	5.1
1450.697827	4	40284071.0	c18+CMCT-G	1.33	0.33	C177H228N56O132P18	4.2
1160.355303	5	10122642.0	c18+CMCT-G	0.03	0.36	C177H228N56O132P18	1.4
1574.722394	4	27219759.0	c19+CMCT	1.45	0.13	C192H245N66O140P19	0.4
1259.572354	5	170956612.0	c19+CMCT	-1.81	0.04	C192H245N66O140P19	1.0
1229.361514	5	29515466.0	c19+CMCT-G	-2.63	0.27	C187H240N61O139P19	1.7
1474.160757	4	12375560.31	c19-G	2.0	0.45	C173H215N58O138P19	4.3
1328.58606	5	101505276.16	c20+CMCT	1.46	0.1	C202H257N71O147P20	1.1
1298.374676	5	41853796.91	c20+CMCT-G	0.34	0.17	C197H252N66O146P20	0.9
1389.789389	5	228432200.19	c21+CMCT	0.15	0.03	C211H268N73O155P21	1.2
1362.776621	5	23904790.23	c21+CMCT-A	-1.22	0.32	C206H263N68O155P21	2.3
1359.580101	5	68030567.24	c21+CMCT-G	0.59	0.1	C206H263N68O154P21	0.7
1450.798812	5	147914992.0	c22+CMCT	0.95	0.07	C220H280N76O162P22	1.1
1420.588535	5	40186958.4	c22+CMCT-G	0.69	0.24	C215H275N71O161P22	1.7
1511.80789	5	40821471.5	c23+CMCT	1.45	0.18	C229H292N79O169P23	0.9
1259.670372	6	176859279.0	c23+CMCT	0.14	0.05	C229H292N79O169P23	1.1
1484.793964	5	14249925.74	c23+CMCT-A	-0.56	0.43	C224H287N74O169P23	4.0
1314.514746	6	277726582.66	c24+CMCT	1.87	0.04	C239H304N84O175P24	1.6
1292.004402	6	85780669.81	c24+CMCT-A	0.93	0.09	C234H299N79O175P24	0.8
1289.336348	6	36325171.81	c24+CMCT-G	-0.8	0.16	C234H299N79O174P24	0.7
1250.131998	6	29569438.59	c24-A	-3.66	0.2	C220H274N76O174P24	0.8
1372.019663	6	681108127.57	c25+CMCT	-0.39	0.02	C249H316N89O182P25	3.2
1349.51139	6	51694403.82	c25+CMCT-A	0.21	0.13	C244H311N84O182P25	0.7
1346.846945	6	138223440.65	c25+CMCT-G	1.23	0.07	C244H311N84O181P25	1.1
1219.589748	7	146956053.88	c26+CMCT	-1.28	0.1	C258H327N91O190P26	1.5
1200.293699	7	23830967.68	c26+CMCT-A	-3.43	0.28	C253H322N86O190P26	1.5
628.0699	1	30304144.15	w02	0.04	0.06	C18H25N5O16P2	0.2
973.117409	1	55290818.0	w03	0.1	0.03	C28H37N10O23P3	0.3
650.581631	2	21731296.0	w04	0.54	0.13	C38H49N15O29P4	0.3
803.102249	2	37382574.85	w05	0.41	0.12	C47H61N18O36P5	0.5
1108.634274	2	58986074.15	w07	-0.85	0.1	C65H84N23O51P7	0.6
738.754627	3	18763191.54	w07	0.33	0.26	C65H84N23O51P7	1.0
1281.163511	2	35849265.84	w08	3.57	0.22	C75H96N28O58P8	1.2
853.770106	3	30554971.68	w08	-0.11	0.13	C75H96N28O58P8	0.4
1205.63317	2	12943787.49	w08-G	-0.88	0.34	C70H91N23O57P8	1.5
1070.795614	3	30505995.14	w10	1.09	0.15	C94H119N35O73P10	0.5
1180.477682	3	42580826.34	w11	-0.79	0.1	C104H131N40O79P11	0.4
885.107435	4	24717514.81	w11	0.33	0.18	C104H131N40O79P11	0.6
1196.890937	4	43053170.4	w15	1.41	0.11	C141H176N51O109P15	0.5
957.309785	5	9965761.1	w15	-0.17	0.44	C141H176N51O109P15	3.1
1311.642765	4	10072739.0	w17-G	-3.64	0.34	C154H195N52O122P17	1.2
1425.908467	4	10788549.0	w18	-5.44	0.37	C168H211N59O131P18	1.7
1140.529296	5	36832233.9	w18	-1.95	0.09	C168H211N59O131P18	0.3
1160.555836	5	9078523.0	w18+CMCT-G	-4.96	0.38	C177H231N57O131P18	1.6
1574.974625	4	24530092.0	w19+CMCT	-2.15	0.17	C192H248N67O139P19	0.5
1382.185873	5	13139567.14	w21+CMCT	-3.77	0.43	C210H270N71O155P21	3.7
1202.497071	6	11512752.06	w22+CMCT	-0.97	0.48	C219H282N74O162P22	5.4
1311.005759	6	23677275.89	w24+CMCT	-3.51	0.34	C238H305N81O177P24	2.7
1216.447436	7	150727324.4	w26+CMCT	-1.35	0.29	C257H329N89O191P26	10.5
548.103719	1	168652171.47	y02	0.31	0.05	C18H24N5O13P1	1.1
893.151745	1	283612310.88	y03	0.85	0.04	C28H36N10O20P2	1.6
742.10218	1	5513739.95	y03-G	0.82	0.22	C23H31N5O19P2	0.2
1222.205961	1	178062280.55	y04	2.01	0.04	C38H48N15O26P3	1.0
610.598302	2	40032462.17	y04	0.31	0.12	C38H48N15O26P3	0.5
763.119053	2	195864999.99	y05	0.39	0.09	C47H60N18O33P4	1.9
915.639367	2	349522432.65	y06	-0.03	0.05	C56H72N21O40P5	2.2
1068.652394	2	228788935.44	y07	0.32	0.03	C65H83N23O48P6	1.2
1241.176041	2	294145207.87	y08	0.22	0.04	C75H95N28O55P7	1.7
827.114728	3	48874271.86	y08	-0.03	0.12	C75H95N28O55P7	0.6
1366.779239	2	13098919.19	y08+CMCT	2.63	0.42	C89H120N31O56P7	3.4
1173.649755	2	9726716.64	y08-A	1.05	0.58	C70H90N23O55P7	12.4
1165.652154	2	17354519.68	y08-G	0.94	0.23	C70H90N23O54P7	0.7
1413.700592	2	162846454.0	y09	0.78	0.03	C85H107N33O62P8	0.8
942.130369	3	343252545.0	y09	-0.21	0.03	C85H107N33O62P8	1.8
1338.175718	2	22926500.17	y09-G	0.7	0.27	C80H102N28O61P8	1.3
891.780655	3	10380582.93	y09-G	-0.12	0.45	C80H102N28O61P8	3.6
1566.711706	2	30838866.64	y10	-0.27	0.11	C94H118N35O70P9	0.4
1044.139665	3	284559689.37	y10	0.64	0.04	C94H118N35O70P9	1.6
1127.870565	3	15300104.98	y10+CMCT	-1.5	0.33	C108H143N38O71P9	1.6
993.787829	3	24677623.0	y10-G	-1.37	0.18	C89H113N30O69P9	0.6
1153.824084	3	331795262.92	y11	0.79	0.04	C104H130N40O76P10	1.9
865.114695	4	18026295.67	y11	-1.0	0.19	C104H130N40O76P10	0.5
1237.561349	3	25027314.49	y11+CMCT	3.98	0.32	C118H155N43O77P10	2.4
1103.473104	3	26928692.41	y11-G	-0.24	0.15	C99H125N35O75P10	0.5
1263.509074	3	284734064.91	y12	1.37	0.04	C114H142N45O82P11	1.6
947.378389	4	195359904.7	y12	-0.32	0.04	C114H142N45O82P11	1.1
1347.244331	3	29112905.43	y12+CMCT	2.77	0.14	C128H167N48O83P11	0.5
1218.492029	3	32219646.82	y12-A	2.34	0.11	C109H137N40O82P11	0.4
1213.158642	3	35643114.14	y12-G	0.91	0.18	C109H137N40O81P11	0.8
909.615152	4	15833360.08	y12-G	-1.3	0.19	C109H137N40O81P11	0.4
1365.517386	3	99110419.39	y13	1.18	0.13	C123H153N47O90P12	1.4
1023.884386	4	245344697.95	y13	-0.62	0.03	C123H153N47O90P12	1.3
1086.684888	4	19031597.73	y13+CMCT	-0.06	0.22	C137H178N50O91P12	0.7
986.12213	4	12176582.97	y13-G	-0.54	0.41	C118H148N42O89P12	2.8
1467.524534	3	44504871.48	y14	0.22	0.13	C132H164N49O98P13	0.6
1100.390878	4	136217356.16	y14	-0.42	0.06	C132H164N49O98P13	1.0
1163.193182	4	34359122.0	y14+CMCT	1.63	0.18	C146H189N52O99P13	0.8
1129.428292	4	11459590.18	y14+CMCT-A	0.56	0.44	C141H184N47O99P13	3.6
1066.626443	4	12628035.35	y14-A	-1.19	0.32	C127H159N44O98P13	1.2
1062.626925	4	17524198.0	y14-G	-1.94	0.24	C127H159N44O97P13	0.7
1569.533192	3	25569798.76	y15	0.35	0.25	C141H175N51O106P14	1.2
1176.898649	4	153686059.26	y15	0.83	0.07	C141H175N51O106P14	1.2
1239.699269	4	33297642.97	y15+CMCT	1.34	0.25	C155H200N54O107P14	1.6
1524.512757	3	35844429.87	y15-A	-1.13	0.19	C136H170N46O106P14	0.9
1143.135302	4	18471156.37	y15-A	1.1	0.36	C136H170N46O106P14	2.6
1139.133023	4	13833961.39	y15-G	-2.01	0.45	C136H170N46O105P14	4.8
1253.161442	4	98294703.19	y16	2.76	0.2	C150H187N54O113P15	2.8
1002.324791	5	47444599.65	y16	-0.14	0.08	C150H187N54O113P15	0.4
1315.959891	4	33790595.0	y16+CMCT	1.49	0.12	C164H212N57O114P15	0.4
1329.417369	4	43596522.0	y17	-0.71	0.18	C159H199N57O120P16	1.0
1063.332611	5	70711427.0	y17	-0.55	0.09	C159H199N57O120P16	0.7
1392.218095	4	17509580.0	y17+CMCT	-0.11	0.21	C173H224N60O121P16	0.5
1405.927216	4	25765741.0	y18	1.84	0.3	C168H210N59O128P17	2.0
1124.538414	5	88035174.14	y18	0.14	0.07	C168H210N59O128P17	0.7
1174.77989	5	14492147.0	y18+CMCT	1.43	0.23	C182H235N62O129P17	0.6
1492.187	4	37143492.0	y19	0.34	0.11	C178H222N64O135P18	0.4
1193.546658	5	202907681.35	y19	-0.91	0.05	C178H222N64O135P18	1.3
1243.787634	5	73280686.12	y19+CMCT	-0.05	0.08	C192H247N67O136P18	0.6
1166.538609	5	27890628.38	y19-A	1.52	0.24	C173H217N59O135P18	1.2
1454.41943	4	14139487.0	y19-G	-3.24	0.36	C173H217N59O134P18	2.0
1163.339378	5	16557153.0	y19-G	1.31	0.13	C173H217N59O134P18	0.2
1254.752217	5	1091932479.0	y20	-0.47	0.31	C187H233N66O143P19	93.2
1631.497982	4	11464005.92	y20+CMCT	3.2	0.46	C201H258N69O144P19	4.4
1304.991051	5	82910767.41	y20+CMCT	-1.3	0.09	C201H258N69O144P19	0.8
1227.742789	5	181375496.0	y20-A	0.72	0.05	C182H228N61O143P19	1.2
1224.544216	5	227074195.16	y20-G	1.06	0.06	C182H228N61O142P19	1.6
1315.959645	5	21701061.0	y21	1.36	0.34	C196H244N68O151P20	2.5
1366.200486	5	177478495.77	y21+CMCT	1.96	0.06	C210H269N71O152P20	1.2
1427.208314	5	110049571.95	y22+CMCT	1.57	0.09	C219H281N74O159P21	1.0
1445.977901	5	19777002.0	y23	1.59	0.31	C215H268N76O165P22	1.7
1496.21826	5	98250244.11	y23+CMCT	1.81	0.06	C229H293N79O166P22	0.7
1246.680096	6	59784947.0	y23+CMCT	1.35	0.08	C229H293N79O166P22	0.5
1182.308928	6	20656984.02	y23-A	5.26	0.4	C210H263N71O165P22	4.3
1415.763311	5	8382681.0	y23-G	-1.7	0.5	C210H263N71O164P22	4.8
1255.814995	6	3201958944.77	y24	-0.81	0.14	C224H279N78O173P23	49.9
1297.68468	6	211631802.5	y24+CMCT	1.58	0.04	C238H304N81O174P23	1.2
1233.3096	6	210137730.0	y24-A	2.17	0.19	C219H274N73O173P23	5.4
1846.455478	4	15645201.17	y24-G	-5.32	0.36	C219H274N73O172P23	2.2
1230.641034	6	280720001.0	y24-G	-0.06	0.14	C219H274N73O172P23	4.4
1348.525584	6	142228480.83	y25+CMCT	2.03	0.07	C247H316N84O181P24	1.1
1406.033191	6	245893878.94	y26+CMCT	1.73	0.04	C257H328N89O188P25	1.4
1383.524778	6	40822448.5	y26+CMCT-A	2.24	0.17	C252H323N84O188P25	0.9
1380.858007	6	38139892.98	y26+CMCT-G	1.56	0.17	C252H323N84O187P25	0.8

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 
649.573726	2	76715376.76	c04	0.42	0.07	C38H47N15O29P4	
650.581631	2	32309105.18	w04	0.54	0.13	C38H49N15O29P4	
973.117409	1	56171075.78	w03	0.1	0.03	C28H37N10O23P3	
974.618349	2	210309917.43	c06	0.55	0.05	C57H71N23O43P6	
