spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_134_6n.csv
limit_error:	6
noise_limit:	1800000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1216.138655	2	19891168.19	c08-G	-1.12	0.23	C71H90N26O55P8	
1456.186107	2	51686697.75	c09	-3.34	0.03	C86H107N36O62P9	
970.45825	3	48085000.31	c09	0.02	0.05	C86H107N36O62P9	
1447.688876	2	21073643.91	c09+2DEPC+H2O-CO-G	-4.39	0.33	C86H112N31O65P9	
1380.665962	2	18117393.94	c09-G	-0.22	0.15	C81H102N31O61P9	
1608.712591	2	79184073.67	c10	0.6	0.2	C95H119N39O69P10	
1072.137772	3	87880539.17	c10	-0.82	0.06	C95H119N39O69P10	
1761.232255	2	23865494.3	c11	-0.0	0.11	C104H131N42O76P11	
1173.819173	3	123143581.1	c11	0.08	0.06	C104H131N42O76P11	
1685.708993	2	11358409.41	c11-G	0.85	0.4	C99H126N37O75P11	
1275.825885	3	74401498.59	c12	-1.28	0.04	C113H142N44O84P12	
1270.158806	3	10719742.25	c12+2DEPC+H2O-CO-G	-3.84	0.39	C113H147N39O87P12	
974.618552	4	140490468.1	c12+DEPC	-5.69	0.49	C116H146N44O86P12	
1296.506261	3	13879144.18	c12+DEPC+H2O-CO	-0.14	0.44	C115H148N44O86P12	
1377.83525	3	129792676.86	c13	-0.51	0.05	C122H153N46O92P13	
1401.840288	3	24745525.46	c13+DEPC	-1.93	0.04	C125H157N46O94P13	
1327.487953	3	10934265.38	c13-G	1.36	0.34	C117H148N41O91P13	
1479.517126	3	355848804.74	c14	0.5	0.04	C131H165N49O99P14	
1493.507007	3	24612944.67	c14+2DEPC+H2O-CO-2Eth	-0.51	0.19	C132H163N49O101P14	
1508.850597	3	17052057.21	c14+2DEPC+H2O-CO-Eth	-2.96	0.32	C134H169N49O102P14	
1473.849789	3	37868770.68	c14+2DEPC+H2O-CO-G	-1.87	0.18	C131H170N44O102P14	
1503.524981	3	24478713.44	c14+DEPC	1.04	0.18	C134H169N49O101P14	
1500.194401	3	12495657.31	c14+DEPC+H2O-CO	-0.6	0.39	C133H171N49O101P14	
1429.161323	3	15507601.5	c14-G	-3.68	0.33	C126H160N44O98P14	
1594.529867	3	294984208.16	c15	-1.46	0.05	C141H177N54O106P15	
1588.864188	3	19216757.2	c15+2DEPC+H2O-CO-G	-2.63	0.28	C141H182N49O109P15	
1618.541868	3	18921425.83	c15+DEPC	1.63	0.43	C144H181N54O108P15	
1544.182823	3	34018203.77	c15-G	0.28	0.22	C136H172N49O105P15	
1709.544877	3	233653471.05	c16	-1.83	0.07	C151H189N59O113P16	
1281.90972	4	21836691.31	c16	0.42	0.35	C151H189N59O113P16	
1733.555919	3	10298430.92	c16+DEPC	0.5	0.43	C154H193N59O115P16	
1659.198236	3	53976388.33	c16-G	0.02	0.14	C146H184N54O112P16	
1824.568664	3	108274726.73	c17	2.66	0.06	C161H201N64O120P17	
1368.172311	4	36210315.66	c17	0.93	0.14	C161H201N64O120P17	
1774.219641	3	36201003.98	c17-G	3.17	0.1	C156H196N59O119P17	
1926.575956	3	66851553.85	c18	1.92	0.13	C170H212N66O128P18	
1444.678454	4	115400001.65	c18	0.75	0.03	C170H212N66O128P18	
1462.690035	4	21074265.27	c18+DEPC	5.05	0.55	C173H216N66O130P18	
974.785829	6	89394821.5	c18+DEPC	-0.18	0.54	C173H216N66O130P18	
1460.187265	4	2304018422.1	c18+DEPC+H2O-CO	0.48	0.46	C172H218N66O130P18	
1876.221979	3	26186493.5	c18-G	-0.25	0.12	C165H207N61O127P18	
1406.912582	4	17201703.3	c18-G	-1.73	0.39	C165H207N61O127P18	
1530.941712	4	184799539.97	c19	1.62	0.06	C180H224N71O135P19	
1552.949419	4	24254797.83	c19+2DEPC+H2O-CO-Eth	3.98	0.21	C183H228N71O138P19	
1526.689408	4	18664244.55	c19+2DEPC+H2O-CO-G	-1.27	0.4	C180H229N66O138P19	
1493.176061	4	55944148.05	c19-G	-0.54	0.11	C175H219N66O134P19	
1613.202891	4	46575478.55	c20	0.33	0.16	C190H236N76O141P20	
1646.7217	4	68681879.33	c20+2DEPC+H2O-CO	2.96	0.04	C195H246N76O145P20	
1623.696345	4	19878400.18	c20+2DEPC+H2O-CO-2Eth	0.27	0.38	C191H234N76O143P20	
1635.20274	4	95198603.21	c20+2DEPC+H2O-CO-Eth	-2.22	0.12	C193H240N76O144P20	
1608.962613	4	70687166.91	c20+2DEPC+H2O-CO-G	5.05	0.32	C190H241N71O144P20	
1072.304786	6	62672495.12	c20+2DEPC+H2O-CO-G	3.94	0.42	C190H241N71O144P20	
1631.203345	4	20281240.66	c20+DEPC	-2.63	0.33	C193H240N76O143P20	
1728.984455	4	94121841.18	c21+2DEPC+H2O-CO	2.6	0.09	C205H258N81O151P21	
1705.954613	4	21846364.24	c21+2DEPC+H2O-CO-2Eth	-2.59	0.24	C201H246N81O149P21	
1717.466542	4	116701569.15	c21+2DEPC+H2O-CO-Eth	-1.72	0.06	C203H252N81O150P21	
1815.245573	4	33563812.24	c22+2DEPC+H2O-CO	2.07	0.12	C215H270N86O158P22	
1433.570222	5	15289125.59	c22+2DEPC+H2O-CO-2Eth	-3.51	0.35	C211H258N86O156P22	
1803.730753	4	38069259.96	c22+2DEPC+H2O-CO-Eth	-0.33	0.13	C213H264N86O157P22	
1513.19394	5	31998510.59	c23+2DEPC+H2O-CO	-2.06	0.17	C224H281N88O166P23	
1260.833049	6	21883355.5	c23+2DEPC+H2O-CO	2.68	0.4	C224H281N88O166P23	
1503.990406	5	37600676.87	c23+2DEPC+H2O-CO-Eth	1.14	0.24	C222H275N88O165P23	
1456.177731	5	22904360.71	c23-G	1.46	0.3	C214H266N83O161P23	
1574.20218	5	154707528.23	c24+2DEPC+H2O-CO	-2.0	0.09	C233H293N91O173P24	
1555.791728	5	22287434.44	c24+2DEPC+H2O-CO-2Eth	2.03	0.24	C229H281N91O171P24	
1564.9965	5	155449856.0	c24+2DEPC+H2O-CO-Eth	-0.29	0.05	C231H287N91O172P24	
1543.99734	5	112623364.15	c24+2DEPC+H2O-CO-G	1.23	0.47	C228H288N86O172P24	
1643.214696	5	45195925.17	c25+2DEPC+H2O-CO	-0.07	0.22	C243H305N96O180P25	
1634.00316	5	62480361.15	c25+2DEPC+H2O-CO-Eth	-2.0	0.14	C241H299N96O179P25	
1685.805791	5	10992112.0	c26+2DEPC+H2O-CO-2Eth	-0.31	0.43	C248H305N99O185P26	
1404.672894	6	100575200.59	c26+2DEPC+H2O-CO-2Eth	1.55	0.49	C248H305N99O185P26	
1412.343016	6	154032714.01	c26+2DEPC+H2O-CO-Eth	-0.95	0.2	C250H311N99O186P26	
1394.836511	6	31681763.24	c26+2DEPC+H2O-CO-G	-4.73	0.45	C247H312N94O186P26	
1409.680724	6	134217607.36	c26+DEPC	1.55	0.27	C250H311N99O185P26	
1408.012249	6	37094937.3	c26+DEPC+H2O-CO	-1.59	0.11	C249H313N99O185P26	
627.086088	1	25852262.1	w02	0.36	0.04	C18H26N6O15P2	
972.133109	1	17568813.48	w03	-0.19	0.08	C28H38N11O22P3	
1060.15497	1	5504206.98	w03+2DEPC+H2O-CO-Eth	5.31	0.29	C31H42N11O25P3	
1044.15184	1	5723930.03	w03+DEPC	-2.48	0.29	C31H42N11O24P3	
638.08435	2	3774898.66	w04	1.09	0.33	C37H50N14O29P4	
669.09943	2	3902556.8	w04+DEPC+H2O-CO	-3.91	0.34	C39H56N14O31P4	
791.096488	2	64311257.69	w05	0.23	0.03	C46H61N16O37P5	
963.620587	2	246397897.04	w06	0.59	0.02	C56H73N21O44P6	
999.632219	2	9639787.13	w06+DEPC	1.63	0.23	C59H77N21O46P6	
1128.145123	2	626912466.32	w07	-1.03	0.02	C66H85N26O50P7	
751.761571	3	28647621.63	w07	-0.25	0.08	C66H85N26O50P7	
1172.15707	2	5301088.89	w07+2DEPC+H2O-CO-Eth	2.36	0.55	C69H89N26O53P7	
1164.15685	2	24189502.11	w07+DEPC	0.0	0.12	C69H89N26O52P7	
1292.667453	2	65608687.48	w08	-3.94	0.3	C76H97N31O56P8	
1336.680622	2	26502329.39	w08+2DEPC+H2O-CO-Eth	0.04	0.11	C79H101N31O59P8	
890.784504	3	9682657.7	w08+2DEPC+H2O-CO-Eth	-0.13	0.28	C79H101N31O59P8	
1618.209997	2	9731128.82	w10	0.67	0.41	C95H120N38O71P10	
1078.469608	3	18708740.28	w10	-0.53	0.09	C95H120N38O71P10	
1685.244857	2	12894466.34	w10+2DEPC+H2O-CO	4.15	0.49	C100H130N38O75P10	
1107.809103	3	12498682.54	w10+2DEPC+H2O-CO-Eth	0.22	0.5	C98H124N38O74P10	
1654.223295	2	20581764.71	w10+DEPC	2.31	0.21	C98H124N38O73P10	
1193.483723	3	19996803.97	w11	-1.9	0.09	C105H132N43O78P11	
1222.823712	3	26039647.02	w11+2DEPC+H2O-CO-Eth	-0.79	0.12	C108H136N43O81P11	
1308.501473	3	16414520.48	w12	-0.25	0.26	C115H144N48O85P12	
1337.837483	3	28163466.9	w12+2DEPC+H2O-CO-Eth	-2.24	0.08	C118H148N48O88P12	
1423.512041	3	53528692.27	w13	-3.92	0.34	C125H156N53O92P13	
1437.512539	3	125653924.11	w13+2DEPC+H2O-CO-2Eth	2.46	0.15	C126H154N53O94P13	
1452.860203	3	6755120166.71	w13+2DEPC+H2O-CO-Eth	2.69	0.2	C128H160N53O95P13	
1447.522745	3	41458731.31	w13+DEPC	-1.32	0.29	C128H160N53O94P13	
1525.196135	3	13659707.46	w14	-1.25	0.49	C134H168N56O99P14	
1743.210787	3	9601881.7	w16+2DEPC+H2O-CO-2Eth	2.57	0.44	C153H188N60O117P16	
1406.435011	4	30712464.02	w17+2DEPC+H2O-CO	0.6	0.42	C166H212N63O126P17	
1449.179157	4	29658714.56	w18	-0.59	0.21	C170H214N66O129P18	
1471.187723	4	22263758.74	w18+2DEPC+H2O-CO-Eth	2.52	0.22	C173H218N66O132P18	
1464.684147	4	20565325.6	w18+DEPC+H2O-CO	-3.45	0.36	C172H220N66O131P18	
1531.441925	4	108525515.48	w19	-0.79	0.09	C180H226N71O135P19	
1553.451614	4	13963316.54	w19+2DEPC+H2O-CO-Eth	2.87	0.41	C183H230N71O138P19	
1607.703315	4	94782310.96	w20	-0.09	0.11	C189H238N74O142P20	
1629.701884	4	15243033.24	w20+2DEPC+H2O-CO-Eth	-3.43	0.46	C192H242N74O145P20	
1625.702678	4	23051257.86	w20+DEPC	-3.73	0.34	C192H242N74O144P20	
1766.223779	4	23193165.12	w22	-1.77	0.18	C208H262N82O155P22	
