spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0707_10sb.csv
limit_error:	6.5	2020-07-21
noise_limit:	4580000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
344.03944	1	8281125.0	c01	-2.09	0.12	C10H12N5O7P1	0.1
689.088172	1	66892412.0	c02	0.84	0.08	C20H24N10O14P2	0.3
995.113135	1	118351085.0	c03	0.24	0.07	C29H35N12O22P3	0.5
844.0631	1	9914703.0	c03-G	-0.46	0.23	C24H30N7O21P3	0.2
649.573983	2	212097364.0	c04	0.82	0.08	C38H47N15O29P4	1.0
802.586578	2	585154574.0	c05	0.59	0.06	C47H58N17O37P5	2.3
852.66682	2	9957276.0	c05+CMCT-G	6.5	0.45	C56H78N15O37P5	2.0
975.111022	2	554260650.0	c06	1.23	0.03	C57H70N22O44P6	1.6
649.73783	3	16273424.0	c06	0.58	0.26	C57H70N22O44P6	0.5
899.586428	2	42619908.0	c06-G	1.46	0.08	C52H65N17O43P6	0.2
1147.631898	2	294932004.0	c07	-1.43	0.06	C67H82N27O51P7	1.2
764.752732	3	101259787.0	c07	-0.7	0.11	C67H82N27O51P7	0.7
1320.155531	2	86538776.0	c08	-1.31	0.09	C77H94N32O58P8	0.5
879.769166	3	90916809.0	c08	0.1	0.06	C77H94N32O58P8	0.4
829.418629	3	26756746.0	c08-G	-0.78	0.13	C72H89N27O57P8	0.2
1472.680297	2	226628704.0	c09	1.63	0.04	C86H106N35O65P9	0.7
981.450336	3	450825865.0	c09	0.84	0.03	C86H106N35O65P9	1.3
931.09984	3	33521840.0	c09-G	0.15	0.16	C81H101N30O64P9	0.4
1096.465697	3	317208216.0	c10	0.34	0.05	C96H118N40O72P10	1.1
822.096421	4	42396297.0	c10	-0.91	0.23	C96H118N40O72P10	0.9
1046.11654	3	64725147.0	c10-G	0.98	0.12	C91H113N35O71P10	0.5
1198.14707	3	464214869.0	c11	1.1	0.03	C105H130N43O79P11	1.4
898.357636	4	25293286.0	c11	0.16	0.37	C105H130N43O79P11	2.2
1281.87826	3	214112821.0	c11+CMCT	-0.58	0.41	C119H155N46O80P11	28.2
1147.794964	3	17478746.0	c11-G	-0.85	0.06	C100H125N38O78P11	0.1
1307.82731	3	560286559.0	c12	-2.0	0.03	C115H142N48O85P12	1.7
980.620686	4	529773172.0	c12	0.07	0.03	C115H142N48O85P12	1.5
946.857452	4	44697958.0	c12-A	0.48	0.11	C110H137N43O85P12	0.3
1257.476841	3	86224485.0	c12-G	-2.61	0.08	C110H137N43O84P12	0.4
942.857811	4	54074160.0	c12-G	-0.49	0.12	C110H137N43O84P12	0.4
1422.843926	3	163853078.0	c13	-1.27	0.07	C125H154N53O92P13	0.7
1066.880082	4	101440037.0	c13	-2.25	0.06	C125H154N53O92P13	0.4
1456.23213	3	28472511.0	c13+CMCT-G	2.02	0.31	C134H174N51O92P13	1.4
1029.123876	4	23035662.0	c13-G	3.64	0.31	C120H149N48O91P13	1.1
1524.53023	3	834990776.0	c14	2.67	0.02	C134H166N56O99P14	2.3
1143.143735	4	333871286.0	c14	0.82	0.04	C134H166N56O99P14	1.1
914.313204	5	86379645.0	c14	0.46	0.12	C134H166N56O99P14	0.6
1608.257612	3	74514160.0	c14+CMCT	-1.12	0.17	C148H191N59O100P14	0.9
1474.180777	3	132966290.0	c14-G	3.0	0.04	C129H161N51O98P14	0.4
1105.379887	4	55810502.0	c14-G	-0.51	0.05	C129H161N51O98P14	0.2
1639.535311	3	61760728.0	c15	-4.06	0.17	C144H178N61O106P15	0.7
1229.402746	4	114920109.0	c15	-1.56	0.12	C144H178N61O106P15	0.8
983.32225	5	68389900.0	c15	-0.02	0.1	C144H178N61O106P15	0.4
1741.548895	3	82961036.0	c16	-0.87	0.17	C153H189N63O114P16	1.0
1305.907372	4	296951665.0	c16	-2.77	0.04	C153H189N63O114P16	1.0
1044.528361	5	236913300.0	c16	0.98	0.04	C153H189N63O114P16	0.8
1368.714689	4	28070862.0	c16+CMCT	2.75	0.38	C167H214N66O115P16	2.7
1014.318004	5	28890111.0	c16-G	0.54	0.44	C148H184N58O113P16	5.1
1843.228029	3	25473164.0	c17	-1.52	0.36	C162H201N66O121P17	2.0
1382.17091	4	421089522.0	c17	-0.29	0.03	C162H201N66O121P17	1.2
1105.536157	5	320413014.0	c17	0.51	0.05	C162H201N66O121P17	1.1
921.109685	6	54931880.0	c17	-2.27	0.18	C162H201N66O121P17	0.7
1444.968433	4	74055556.0	c17+CMCT	-1.95	0.06	C176H226N69O122P17	0.3
1344.40633	4	70279849.0	c17-G	-1.95	0.22	C157H196N61O120P17	1.4
1075.324339	5	62995583.0	c17-G	-1.27	0.09	C157H196N61O120P17	0.3
1464.428205	4	234458610.0	c18	-4.26	0.04	C172H213N71O127P18	0.7
1171.343672	5	147062944.0	c18	-2.07	0.09	C172H213N71O127P18	0.8
975.954177	6	99511265.0	c18	0.32	0.13	C172H213N71O127P18	0.8
1907.898453	3	23166783.0	c18-A	0.84	0.36	C167H208N66O127P18	1.9
1430.673431	4	22607706.0	c18-A	1.83	0.03	C167H208N66O127P18	0.1
1426.674908	4	41097565.0	c18-G	1.98	0.07	C167H208N66O126P18	0.2
1546.69596	4	91563062.0	c19	-1.04	0.11	C182H225N76O133P19	0.6
1237.157088	5	76255935.0	c19	0.39	0.08	C182H225N76O133P19	0.4
1030.796214	6	94913623.0	c19	0.25	0.16	C182H225N76O133P19	1.1
1609.49964	4	38281044.0	c19+CMCT	1.32	0.24	C196H250N79O134P19	0.9
1206.944286	5	22808910.0	c19-G	-2.01	0.19	C177H220N71O132P19	0.3
1623.205159	4	87007078.0	c20	0.78	0.13	C191H236N78O141P20	0.7
1298.363636	5	472635636.0	c20	1.52	0.04	C191H236N78O141P20	1.5
1081.797859	6	548178881.0	c20	-2.14	0.02	C191H236N78O141P20	1.5
1686.007017	4	316200290.0	c20+CMCT	1.89	0.04	C205H261N81O142P20	1.0
1348.605446	5	146598836.0	c20+CMCT	2.84	0.2	C205H261N81O142P20	2.4
1123.668248	6	176333102.0	c20+CMCT	1.29	0.1	C205H261N81O142P20	1.0
1321.587944	5	25613471.0	c20+CMCT-A	-2.1	0.13	C200H256N76O142P20	0.2
