spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_2CMCT_6.csv
limit_error:	6
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1793.281792	3	68089800.58	c16+1CMCT	0.3	0.08	C165H214N62O114P16	
1344.709336	4	24527939.98	c16+1CMCT	0.16	0.32	C165H214N62O114P16	
1877.021692	3	59062169.97183167	c16+2CMCT	3.83	0.11	C179H239N65O115P16	
1430.973224	4	35151805.96	c17+1CMCT	1.57	0.11	C175H226N67O121P17	
1992.037558	3	32253549.69	c17+2CMCT	3.63	0.1	C189H251N70O122P17	
1507.47415	4	57370061.31	c18+1CMCT	-2.1	0.07	C184H237N69O129P18	
2094.041231	3	30130446.85	c18+2CMCT	1.18	0.14	C198H262N72O130P18	
1570.276321	4	35154753.67	c18+2CMCT	-0.59	0.12	C198H262N72O130P18	
1593.739989	4	34442557.75209168	c19+1CMCT	0.52	0.14	C194H249N74O136P19	
1656.544124	4	90713048.37	c19+2CMCT	3.03	0.06	C208H274N77O137P19	
1675.998849	4	33020424.22	c20+1CMCT	-2.06	0.11	C204H261N79O142P20	
1738.804608	4	63487478.23	c20+2CMCT	1.36	0.12	C218H286N82O143P20	
1758.263641	4	25422718.36	c21+1CMCT	-1.02	0.24	C214H273N84O148P21	
1821.069974	4	111138393.84	c21+2CMCT	2.53	0.05	C228H298N87O149P21	
1783.304423	4	23616802.39	c21+2CMCT-G	0.79	0.18	C223H293N82O148P21	
1907.325044	4	44943448.66	c22+2CMCT	-1.14	0.11	C238H310N92O156P22	
1536.624531	5	5512148.995251133	c23+1CMCT	-0.59	0.38	C233H296N91O163P23	
1586.865234	5	57539944.98	c23+2CMCT	-0.1	0.08	C247H321N94O164P23	
1647.876831	5	204988851.63	c24+2CMCT	1.93	0.05	C256H333N97O171P24	
1617.667629	5	38872748.56	c24+2CMCT-G	2.39	0.16	C251H328N92O170P24	
1716.882502	5	80155131.73333508	c25+2CMCT	-0.37	0.09	C266H345N102O178P25	
1686.674983	5	23550413.07	c25+2CMCT-G	1.03	0.29	C261H340N97O177P25	
1481.409641	6	107578884.52	c26+2CMCT	0.92	0.1	C275H357N105O185P26	
1747.688341	5	10081659.53	c26+2CMCT-G	3.91	0.53	C270H352N100O184P26	
1456.231161	6	20789550.04549807	c26+2CMCT-G	-1.52	0.27	C270H352N100O184P26	
627.0858	1	16819639.16	w02	-0.1	0.19	C18H26N6O15P2	
972.134758	1	12830030.56	w03	1.5	0.08	C28H38N11O22P3	
1474.5374	1	6128989.64	w03+2CMCT	3.11	0.45	C56H88N17O24P3	
791.096621	2	22465019.75	w05	0.4	0.14	C46H61N16O37P5	
963.619618	2	16834115.31	w06	-0.42	0.17	C56H73N21O44P6	
1128.147416	2	11720290.66	w07	1.01	0.21	C66H85N26O50P7	
1253.748793	2	15722401.36	w07+1CMCT	2.1	0.14	C80H110N29O51P7	
861.442184	3	6340583.385664639	w08	-4.36	0.26	C76H97N31O56P8	
1743.815838	2	12009683.48	w10+1CMCT	4.04	0.33	C109H145N41O72P10	
1162.20037	3	10195338.74	w10+1CMCT	-2.64	0.37	C109H145N41O72P10	
1392.234729	3	24951122.59	w12+1CMCT	-0.24	0.12	C129H169N51O86P12	
1456.899688	3	13413269.202720819	w13+1CMCT-G	-0.95	0.28	C134H176N51O92P13	
1594.24131	4	16358319.26050163	w19+1CMCT	-1.11	0.2	C194H251N74O136P19	
1733.311148	4	12867687.459347086	w20+2CMCT	4.5	0.41	C217H288N80O144P20	
1643.479503	5	12779085.83	w24+2CMCT	3.03	0.39	C255H335N95O172P24	
1477.744923	6	55907160.16	w26+2CMCT	1.74	0.14	C274H359N103O186P26	
1452.568248	6	13080877.25	w26+2CMCT-G	0.55	0.43	C269H354N98O185P26	
547.120271	1	20264897.75	y02	1.35	0.05	C18H25N6O12P1	
892.167715	1	120874625.7	y03	0.84	0.03	C28H37N11O19P2	
1197.208109	1	43598713.74	y04	-0.12	0.07	C37H49N14O26P3	
598.10058	2	9198800.5	y04	0.15	0.33	C37H49N14O26P3	
