spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1492.68644	4	73334689.52346405	y19	-0.94	1	
1492.93754	4	42316611.497048855	a19	4.24	1	
1492.93754	4	65482558.72656309	y19	-0.63	1	
1493.18816	4	25382007.66095714	a19	4.24	1	
1493.18816	4	46596491.848485656	y19	-0.63	1	
1493.44003	4	13275418.196851952	a19	5.08	1	
1493.44003	4	27931415.220137093	y19	0.2	1	
1493.68389	4	6196118.823103238	a19	0.57	1	
1493.68389	4	14596389.769169966	y19	-4.32	1	
1493.93058	4	2624190.0072917375	a19	-2.05	1	
1493.93058	4	6805915.576451793	y19	-6.94	1	
1496.41776	5	11316776.543398887	y23+CMCT	1.1	1	
1496.41776	5	13328846.983953241	a23+CMCT	2.49	1	
1496.61822	5	11577648.21462565	a23+CMCT	2.45	1	
1496.61822	5	17587605.446645793	y23+CMCT	1.05	1	
1496.81917	5	8410541.090515492	a23+CMCT	2.75	1	
1496.81917	5	19357104.94237643	y23+CMCT	1.34	1	
1497.02169	5	5296184.542093477	a23+CMCT	4.1	1	
1497.02169	5	16814808.77815808	y23+CMCT	2.68	1	
1497.22338	5	2961921.4247604683	a23+CMCT	4.89	1	
1497.22338	5	12215702.483449053	y23+CMCT	3.47	1	
1512.20378	3	4380659.38920392	c14+CMCT-G	-7.05	0	
1512.20378	5	8849316.650290465	w23+CMCT	-3.34	0	
1512.20378	5	65212992.33122971	c23+CMCT	-1.99	1	
1512.40459	5	25511327.050445065	w23+CMCT	-3.17	0	
1512.40459	5	71953049.38940875	c23+CMCT	-1.8	1	
1512.60557	5	39717006.257244155	w23+CMCT	-2.87	1	
1512.60557	5	62695739.343487784	c23+CMCT	-1.49	1	
1512.80582	5	43824483.98410883	w23+CMCT	-3.05	1	
1512.80582	5	45708262.38106951	c23+CMCT	-1.66	1	
1513.00613	5	28896660.19611567	c23+CMCT	-1.78	1	
1513.00613	5	38188411.78255639	w23+CMCT	-3.18	1	
1513.20982	5	16229333.631578807	c23+CMCT	0.33	1	
1513.20982	5	27842681.593887392	w23+CMCT	-1.08	1	
1513.41588	5	8239697.135982739	c23+CMCT	4.01	1	
1513.41588	5	17602972.161141206	w23+CMCT	2.59	1	
1517.21819	4	5110182.942551173	y19+CMCT-G	-3.88	1	
1517.21819	4	13263253.778048046	a19+CMCT-G	0.87	1	
1517.46785	4	11978369.258009505	y19+CMCT-G	-4.57	1	
1517.46785	4	17037212.230829712	a19+CMCT-G	0.2	1	
1517.71808	4	15395740.82196883	y19+CMCT-G	-4.86	1	
1517.71808	4	15657356.509019317	a19+CMCT-G	-0.08	1	
1517.9708	4	11438824.012801355	a19+CMCT-G	1.29	1	
1517.9708	4	14149676.542043483	y19+CMCT-G	-3.49	1	
1518.21753	4	7026914.878872862	a19+CMCT-G	-1.27	1	
1518.21753	4	10334264.38220074	y19+CMCT-G	-6.06	1	
1537.20626	4	6036558.878715352	w19+CMCT-G	-6.12	0	
1537.20626	4	17279417.702431448	c19+CMCT-G	-1.43	1	
1537.45935	4	14157457.383053193	w19+CMCT-G	-4.56	1	
1537.45935	4	22251422.206604168	c19+CMCT-G	0.14	1	
1537.71182	4	18241711.20226969	w19+CMCT-G	-3.39	1	
1537.71182	4	20521836.381722257	c19+CMCT-G	1.33	1	
1537.96286	4	15057018.93491057	c19+CMCT-G	1.59	1	
1537.96286	4	16824841.55453251	w19+CMCT-G	-3.14	1	
1538.21603	4	9294456.132660843	c19+CMCT-G	3.24	1	
1538.21603	4	12340856.123411393	w19+CMCT-G	-1.49	1	
1538.77604	2	2914307.6335412255	a09+CMCT	-4.88	1	
1538.77604	5	1708021.9627040906	y25-G	-3.34	1	
1554.97978	4	5160855.5552789485	y19+CMCT	-4.28	1	
1554.97978	4	9447562.957691865	a19+CMCT	0.36	1	
1555.24007	4	12457749.060737489	a19+CMCT	6.55	1	
1555.24007	4	12477630.523873657	y19+CMCT	1.89	1	
1555.49121	4	11721077.111223767	a19+CMCT	6.86	1	
1555.49121	4	16463203.108067133	y19+CMCT	2.2	1	
1555.74206	4	8750341.262586266	a19+CMCT	7.0	1	
1555.74206	4	15491029.229586512	y19+CMCT	2.33	1	
1570.1969	3	38296209.63674413	y15	-2.67	0	
1570.1969	4	8775220.997194454	y20	0.14	0	
1574.96707	4	37713252.56345303	w19+CMCT	-6.95	1	
1574.96707	4	98436398.41782069	c19+CMCT	-2.37	1	
1575.21909	4	91228369.0303698	w19+CMCT	-6.11	1	
1575.21909	4	130107798.56172332	c19+CMCT	-1.51	1	
1575.46998	4	120652744.4240341	w19+CMCT	-5.96	1	
1575.46998	4	122830897.31479144	c19+CMCT	-1.36	1	
1575.72207	4	92077970.17786908	c19+CMCT	-0.43	1	
1575.72207	4	113914924.34808093	w19+CMCT	-5.04	1	
1575.9719	4	57990547.51331597	c19+CMCT	-0.94	1	
1575.9719	4	85371888.33470368	w19+CMCT	-5.55	1	
1576.22277	4	31772918.743104495	c19+CMCT	-0.78	1	
1576.22277	4	53738318.587925665	w19+CMCT	-5.4	1	
1576.47622	4	15505914.799987828	c19+CMCT	1.02	1	
1576.47622	4	29421591.630618542	w19+CMCT	-3.6	1	
1606.69143	2	3015772.2188892807	w10	-2.41	1	
1606.69143	2	3391806.1742960666	c10	6.58	1	
1607.18618	2	2434879.370979721	c10	2.53	1	
1607.18618	2	3600683.124888717	w10	-6.53	1	
1732.28848	2	14149046.418500543	w10+CMCT	-3.87	1	
1732.28848	2	23723868.99374047	c10+CMCT	4.46	1	
1732.78919	2	18672496.012566805	c10+CMCT	4.12	1	
1732.78919	2	19253372.744824782	w10+CMCT	-4.26	1	
1733.29378	2	10775895.206595004	c10+CMCT	6.04	1	
1733.29378	2	15154045.790260851	w10+CMCT	-2.35	1	
1832.75409	4	2129464.2704118574	y23+CMCT-G	-2.63	1	
1832.75409	4	6519624.385292218	a23+CMCT-G	-1.25	1	
1832.92407	3	1731386.2541871443	w17+CMCT-G	-4.54	1	
1832.92407	3	7468008.083196324	c17+CMCT-G	0.7	1	
1833.26227	3	3643271.5285370154	w17+CMCT-G	-2.4	0	
1833.26227	3	8711767.810278466	c17+CMCT-G	2.87	1	
1833.26227	4	5993174.200269803	a23+CMCT-G	2.51	1	
1833.26227	4	9086212.863781555	y23+CMCT-G	1.08	1	
1833.51742	4	4277525.976034805	a23+CMCT-G	4.97	1	
1833.51742	4	9799074.319210583	y23+CMCT-G	3.53	1	
1833.59354	3	4252330.947678315	w17+CMCT-G	-4.01	1	
1833.59354	3	7315527.122288731	c17+CMCT-G	1.27	1	
1833.76061	4	2648924.7083358825	a23+CMCT-G	0.91	1	
1833.76061	4	8353529.358431004	y23+CMCT-G	-0.53	1	
1834.01534	4	1457975.2213056704	a23+CMCT-G	3.15	1	
1834.01534	4	5962531.203734358	y23+CMCT-G	1.7	1	
1834.26415	3	2392584.891974272	w17+CMCT-G	-2.79	1	
1834.26415	3	2773129.3065426173	c17+CMCT-G	2.5	1	
1834.26415	4	3692564.7282383516	y23+CMCT-G	0.71	1	
1856.62723	3	3486053.5639426545	y17+CMCT	0.25	1	
1856.62723	3	8507476.10383947	a17+CMCT	5.43	1	
1856.95284	3	7588135.782054046	y17+CMCT	-4.4	1	
1856.95284	3	10182236.339296147	a17+CMCT	0.8	1	
1857.28401	3	8735147.358287724	a17+CMCT	-0.83	1	
1857.28401	3	9087071.547366243	y17+CMCT	-6.04	1	
1857.62291	3	5964855.769852602	a17+CMCT	1.71	1	
1857.62291	3	7795510.452687316	y17+CMCT	-3.51	1	
1870.52961	4	7560882.343845568	y23+CMCT	4.46	1	
1870.52961	4	25802835.447373997	a23+CMCT	5.82	1	
1870.77346	4	21787453.038266376	y23+CMCT	0.8	1	
1870.77346	4	28397092.340887196	a23+CMCT	2.19	1	
1871.02804	4	24666165.48579516	a23+CMCT	4.29	1	
1871.02804	4	33860271.62901512	y23+CMCT	2.89	1	
1871.27682	4	17918647.59733012	a23+CMCT	3.3	1	
1871.27682	4	37266973.795185864	y23+CMCT	1.89	1	
1871.53022	4	11283514.746419678	a23+CMCT	4.78	1	
1871.53022	4	32372456.520336844	y23+CMCT	3.36	1	
1871.77899	4	6310370.00474506	a23+CMCT	3.79	1	
1871.77899	4	23518096.621146575	y23+CMCT	2.37	1	
1872.03188	4	3189513.0049715894	a23+CMCT	5.01	1	
1872.03188	4	14810293.707155926	y23+CMCT	3.58	1	
1883.2814	3	13129534.004741695	w17+CMCT	-0.43	1	
1883.2814	3	32225777.115859803	c17+CMCT	4.68	1	
1883.61305	3	28595854.686893232	w17+CMCT	-1.81	1	
1883.61305	3	38679132.355094634	c17+CMCT	3.32	1	
1883.95041	3	33315919.32860831	c17+CMCT	5.0	1	
1883.95041	3	34341702.351642706	w17+CMCT	-0.14	1	
1884.27745	3	22860820.522594023	c17+CMCT	1.21	1	
1884.27745	3	29579522.039835215	w17+CMCT	-3.94	1	
1884.61849	3	13210703.659337003	c17+CMCT	4.86	1	
1884.61849	3	20288360.96757162	w17+CMCT	-0.29	1	
1884.95351	3	6653850.741747665	c17+CMCT	5.31	1	
1884.95351	3	11715874.479688369	w17+CMCT	0.16	1	
1890.5124	4	3187071.4288933235	w23+CMCT	-0.24	0	
1890.5124	4	22448535.182027813	c23+CMCT	1.11	1	
1890.76296	4	9187875.71613884	w23+CMCT	-0.31	0	
1890.76296	4	24768692.601440527	c23+CMCT	1.06	1	
1891.01604	4	14304035.089476135	w23+CMCT	0.97	1	
1891.01604	4	21582010.88621923	c23+CMCT	2.35	1	
1891.26542	4	15734342.183826124	c23+CMCT	1.69	1	
1891.26542	4	15783338.568539279	w23+CMCT	0.29	1	
1891.51909	4	9947215.575706018	c23+CMCT	3.3	1	
1891.51909	4	13753513.51033458	w23+CMCT	1.9	1	
1891.76209	4	5586689.921524937	c23+CMCT	-0.73	1	
1891.76209	4	10027510.43028163	w23+CMCT	-2.14	1	
1935.27267	3	4312031.035375076	w18+CMCT-G	-1.26	1	
1935.27267	3	6945049.511625811	c18+CMCT-G	3.73	1	
1935.94678	3	4273663.961632238	c18+CMCT-G	6.68	1	
1935.94678	3	4634965.175409104	w18+CMCT-G	1.68	1	
1936.28038	3	2522492.5351580353	c18+CMCT-G	6.38	1	
1936.28038	3	3245255.166703895	w18+CMCT-G	1.38	1	
1958.96315	3	3455517.4717187267	a18+CMCT	1.71	1	
1958.96315	3	4429951.188076954	y18+CMCT	-3.22	1	
1959.63831	3	2209903.703815093	a18+CMCT	5.17	1	
1959.63831	3	4982863.164529084	y18+CMCT	0.22	1	
1959.97107	3	1325153.5495882626	a18+CMCT	4.45	1	
1959.97107	3	3551883.5498931822	y18+CMCT	-0.5	1	
1985.278	3	6677974.025807478	w18+CMCT	-6.37	1	
1985.278	3	15971739.703335274	c18+CMCT	-1.52	1	
1985.61354	3	15277121.800057588	w18+CMCT	-5.72	1	
1985.61354	3	20070523.166754343	c18+CMCT	-0.86	1	
1985.95103	3	18067670.02137414	c18+CMCT	0.8	1	
1985.95103	3	19208838.114394486	w18+CMCT	-4.07	1	
1986.2865	3	12941382.329132156	c18+CMCT	1.45	1	
1986.2865	3	17292610.350123797	w18+CMCT	-3.43	1	
1986.61671	3	7799581.774780394	c18+CMCT	-0.54	1	
1986.61671	3	12382015.547688315	w18+CMCT	-5.43	1	
1986.95364	3	4094236.5900420644	c18+CMCT	0.85	1	
1986.95364	3	7457776.650985411	w18+CMCT	-4.04	1	
1987.28996	3	1916195.0880773056	c18+CMCT	1.94	1	
1987.28996	3	3911591.275292445	w18+CMCT	-2.95	1	
2100.97529	3	3199178.2198152803	w19+CMCT	0.18	1	
2100.97529	3	3622390.745095823	c19+CMCT	4.78	1	
2101.63071	3	1710192.038057994	c19+CMCT	-1.37	1	
2101.63071	3	2263685.6463455674	w19+CMCT	-5.99	1	

 
 
peak list: 
m/z 	z 	Int 	fragment 	error	used?
344.03979	1	5793212.998706994	c01	-1.07	1	
345.04268153	1	760727.279941167	c01	0.0	1	
346.04466253	1	129541.63884863365	c01	0.0	1	
347.04699953	1	12631.347888973376	c01	0.0	1	
689.08758	1	38478468.73571202	c02	-0.02	1	
690.09093	1	10105490.720597336	c02	1.18	1	
691.09224853	1	2384278.68085666	c02	0.0	1	
692.09454153	1	393779.85978429415	c02	0.0	1	
538.03804	1	8600921.560614135	c02-G	-0.27	1	
539.0409835300001	1	1624730.1625267528	c02-G	0.0	1	
540.04294053	1	374986.1097222275	c02-G	0.0	1	
541.04542453	1	51477.042495057474	c02-G	0.0	1	
994.12897	1	96831560.76145013	c03	0.09	1	
995.13351	1	36382743.00688974	c03	2.03	1	
996.13605	1	10833189.39609965	c03	2.35	1	
997.13765	1	2357909.4740150976	c03	1.62	1	
998.13826053	1	440785.6693697216	c03	0.0	1	
843.08124	1	4149992.2155567915	c03-G	2.1	1	
844.0822695300001	1	1253329.8979692163	c03-G	0.0	1	
845.08440453	1	353461.0809388939	c03-G	0.0	1	
846.08683653	1	68619.21629130913	c03-G	0.0	1	
1300.1551	1	37021049.28511162	c04	0.71	1	
1301.15757	1	17971793.113924403	c04	0.53	1	
1302.1661	1	6478293.364339755	c04	5.32	0	
1303.16153853	1	1732941.5642604937	c04	0.0	1	
1304.16381953	1	393094.76035928435	c04	0.0	1	
649.573	2	54188682.54046286	c04	-0.7	1	
650.07539	2	26305785.776984345	c04	0.91	1	
650.57512	2	9482448.20995315	c04	-1.27	1	
651.07713103	2	2536552.0994201032	c04	0.0	1	
651.57827153	2	575383.1290242522	c04	0.0	1	
1149.10041	1	2832200.5195518406	c04-G	-3.8	1	
1150.1076225299998	1	1166085.102037028	c04-G	0.0	1	
1151.10986753	1	397064.54506527097	c04-G	0.0	1	
1152.1123105299998	1	97569.4916377189	c04-G	0.0	1	
1153.11458453	1	20874.828719378595	c04-G	0.0	1	
822.09725	2	72047327.68527833	c05	0.1	1	
822.59845	2	44436000.96180387	c05	-0.06	1	
823.09948	2	18811249.482471067	c05	-0.23	1	
823.60155	2	5967205.696340888	c05	0.85	1	
824.10200403	2	1581252.9082708184	c05	0.0	1	
824.60315103	2	361531.58926753735	c05	0.0	1	
581.10964	3	1935197.197394285	c05+CMCT-G	-4.87	1	
581.44674653	3	1373684.6497844085	c05+CMCT-G	0.0	1	
581.78091153	3	623746.1410705408	c05+CMCT-G	0.0	1	
582.1150671966667	3	212033.40841408703	c05+CMCT-G	0.0	1	
582.4492025300001	3	59427.113710513455	c05+CMCT-G	0.0	1	
582.7833295300001	3	14321.617741105621	c05+CMCT-G	0.0	1	
746.57311	2	5243561.867257422	c05-G	0.86	1	
747.07417	2	2847445.2569145383	c05-G	0.43	0	
747.5750175300001	2	1135869.8400299882	c05-G	0.0	1	
748.07622103	2	336879.97554388305	c05-G	0.0	1	
748.57737653	2	84621.34081670143	c05-G	0.0	1	
974.61801	2	104901049.77612296	c06	0.2	1	
975.11998	2	76563698.37639832	c06	0.85	0	
975.6216	2	36827016.69606388	c06	1.28	1	
976.12182	2	13282511.694721235	c06	0.29	1	
976.62259	2	3973431.301785946	c06	-0.12	1	
977.12386403	2	1024446.5204306536	c06	0.0	1	
899.094	2	4768294.3718731925	c06-G	0.99	1	
899.59624	2	3128682.7929334776	c06-G	1.94	0	
900.09669	2	1422143.9726353427	c06-G	1.11	0	
900.5969015300001	2	484092.2689555705	c06-G	0.0	1	
901.09807303	2	137974.03454051827	c06-G	0.0	1	
901.59924103	2	33946.86427655851	c06-G	0.0	1	
1127.62946	2	34856391.156129226	c07	-0.89	1	
1128.13028	2	29264794.935462266	c07	-1.37	1	
1128.63148	2	15790990.618021498	c07	-1.38	1	
1129.13288	2	6381252.834541062	c07	-1.21	1	
1129.63543203	2	2129523.390343839	c07	0.0	1	
1130.13660253	2	611711.4834397843	c07	0.0	1	
1253.23105	2	48112566.29626761	c07+CMCT	0.56	1	
1253.73353	2	48419935.48135963	c07+CMCT	1.44	1	
1254.23475	2	29261633.845036406	c07+CMCT	1.4	1	
1254.7364	2	13101402.06055169	c07+CMCT	1.73	1	
1255.24409	2	4779922.311895527	c07+CMCT	6.89	1	
1255.73321	2	1491166.7410437076	c07+CMCT	-2.74	1	
1256.2378325299999	2	410165.56341978075	c07+CMCT	0.0	1	
1052.10477	2	5702943.232444506	c07-G	-0.94	1	
1052.60936	2	4367648.668321627	c07-G	2.09	1	
1053.10889	2	2236295.148693216	c07-G	0.48	1	
1053.60960703	2	858677.3317698484	c07-G	0.0	1	
1054.11079453	2	274302.3358086646	c07-G	0.0	1	
1054.61197453	2	75588.84209376972	c07-G	0.0	1	
1280.64369	2	16575618.405643076	c08	0.45	1	
1281.13945	2	15735214.416344658	c08	-3.94	1	
1281.6457300299999	2	9398962.66882387	c08	0.0	1	
1282.13949	2	4195524.730343426	c08	-5.82	1	
1282.64814603	2	1540761.4958890602	c08	0.0	1	
1283.1493285299998	2	486323.295042675	c08	0.0	1	
1283.65049953	2	135966.52471216852	c08	0.0	1	
853.42507	3	6068324.898240962	c08	-1.46	1	
853.7593	3	5760653.454073039	c08	-1.49	1	
854.0947278633333	3	3440955.129700841	c08	0.0	1	
854.4288751966667	3	1535979.3257343003	c08	0.0	1	
854.7630051966667	3	564071.9470575815	c08	0.0	1	
855.0971268633333	3	178042.6942561215	c08	0.0	1	
855.4312408633334	3	49777.270871369146	c08	0.0	1	
1406.24506	2	78353580.03758667	c08+CMCT	1.47	1	
1406.74674	2	87450685.41633478	c08+CMCT	1.67	1	
1407.2475	2	58020567.256633125	c08+CMCT	1.3	1	
1407.74837	2	28444361.208086815	c08+CMCT	1.03	1	
1408.24968	2	11339433.405202532	c08+CMCT	1.09	1	
1408.74935253	2	3860702.0348452204	c08+CMCT	0.0	1	
1409.25054803	2	1157941.571984239	c08+CMCT	0.0	1	
937.1595725300001	3	2111474.181767637	c08+CMCT	0.0	1	
937.49502	3	2356623.1989131426	c08+CMCT	1.26	1	
937.82784	3	1563539.658495825	c08+CMCT	-0.19	1	
938.1621881966666	3	766519.3380945363	c08+CMCT	0.0	1	
938.4963375300001	3	305575.3273746147	c08+CMCT	0.0	1	
938.8304761966667	3	104038.2923940809	c08+CMCT	0.0	1	
939.16460653	3	31204.23766300517	c08+CMCT	0.0	1	
1330.7214	2	6431618.4867511485	c08+CMCT-G	2.34	1	
1331.22487	2	6704190.754359383	c08+CMCT-G	3.87	1	
1331.71786	2	4239780.955606605	c08+CMCT-G	-2.37	1	
1332.2222720299999	2	1991240.9875694204	c08+CMCT-G	0.0	1	
1332.72350453	2	763828.189548448	c08+CMCT-G	0.0	1	
1333.22472053	2	250889.03292825448	c08+CMCT-G	0.0	1	
1333.7259230299999	2	72741.64108735287	c08+CMCT-G	0.0	1	
1453.17061	2	5243310.736949811	c09	2.6	1	
1453.6772	2	5665981.719600608	c09	6.19	1	
1454.16944003	2	3743996.6031122124	c09	0.0	1	
1454.67066203	2	1840310.074279425	c09	0.0	1	
1455.1718600299998	2	740089.8966902064	c09	0.0	1	
1455.67304503	2	255124.5394291418	c09	0.0	1	
1456.17421853	2	77698.6183530407	c09	0.0	1	
968.44242	3	12040394.002889022	c09	0.3	1	
968.77717	3	13010987.854754526	c09	0.82	1	
969.11156	3	8597467.61321513	c09	1.06	1	
969.44534	3	4225967.0451460285	c09	0.68	1	
969.77881453	3	1699493.774212454	c09	0.0	1	
970.1129378633334	3	585851.2166531293	c09	0.0	1	
970.4470535300001	3	178421.9981200151	c09	0.0	1	
1578.76671453	2	19831793.654826306	c09+CMCT	0.0	1	
1579.26933	2	24738561.75552453	c09+CMCT	0.78	1	
1579.77017	2	18035387.301326685	c09+CMCT	0.5	1	
1580.27284	2	9666023.537654772	c09+CMCT	1.4	1	
1580.77184853	2	4196293.642910721	c09+CMCT	0.0	1	
1581.27305753	2	1552039.7938238194	c09+CMCT	0.0	1	
1581.77425353	2	504698.306781867	c09+CMCT	0.0	1	
1582.27544053	2	147449.68469855512	c09+CMCT	0.0	1	
1052.17715	3	5032373.342579007	c09+CMCT	1.68	1	
1052.51033	3	6277479.530044885	c09+CMCT	0.66	1	
1052.84453	3	4576530.184711589	c09+CMCT	0.67	1	
1053.17799053	3	2452780.6221802454	c09+CMCT	0.0	1	
1053.5121401966667	3	1064821.2982529954	c09+CMCT	0.0	1	
1053.84627953	3	393834.4569836749	c09+CMCT	0.0	1	
1054.1804101966666	3	128068.61292023028	c09+CMCT	0.0	1	
1054.5145348633332	3	37415.77164242572	c09+CMCT	0.0	1	
1503.24200953	2	6770741.786468871	c09+CMCT-G	0.0	1	
1503.75381	2	7946787.473571838	c09+CMCT-G	6.91	1	
1504.24032	2	5541488.7154854955	c09+CMCT-G	-2.92	1	
1504.74416	2	2854899.656446233	c09+CMCT-G	-1.2	1	
1505.2472030299998	2	1195969.7936581473	c09+CMCT-G	0.0	1	
1505.74841903	2	427892.2458585615	c09+CMCT-G	0.0	1	
1506.24962203	2	134862.8228297225	c09+CMCT-G	0.0	1	
1606.1794845299999	2	2849466.705148658	c10	0.0	1	
1606.69143	2	3391806.1742960666	c10	6.58	1	
1607.18618	2	2434879.370979721	c10	2.53	1	
1607.6833530299998	2	1296330.7484768212	c10	0.0	1	
1608.1845620299998	2	563100.2751966094	c10	0.0	1	
1608.6857570299999	2	209342.64480942854	c10	0.0	1	
1609.18694053	2	68678.69781811134	c10	0.0	1	
1609.68811453	2	20294.63651389178	c10	0.0	1	
1070.45256	3	12261990.317004018	c10	1.86	1	
1070.78253	3	14595816.961547207	c10	-2.13	1	
1071.11484	3	10477914.06584221	c10	-3.87	1	
1071.44577	3	5578445.628698116	c10	-6.88	1	
1071.7872825299999	3	2423165.7486950355	c10	0.0	1	
1072.1214125299998	3	900855.4053118179	c10	0.0	1	
1072.4555348633332	3	295542.15394357155	c10	0.0	1	
1072.7896508633332	3	87333.0563823782	c10	0.0	1	
1731.78705	2	17480873.939942304	c10+CMCT	4.44	1	
1732.28848	2	23723868.99374047	c10+CMCT	4.46	1	
1732.78919	2	18672496.012566805	c10+CMCT	4.12	1	
1733.29378	2	10775895.206595004	c10+CMCT	6.04	1	
1733.7845395299998	2	5028006.299834072	c10+CMCT	0.0	1	
1734.28575703	2	1996395.754182412	c10+CMCT	0.0	1	
1734.78696103	2	696358.5741977744	c10+CMCT	0.0	1	
1735.2881555299998	2	218010.3501414567	c10+CMCT	0.0	1	
1020.10001	3	2532858.730115932	c10-G	-0.74	1	
1020.43667	3	2828201.279166246	c10-G	1.61	1	
1020.7692098633333	3	1944581.0681484775	c10-G	0.0	1	
1021.1033725300001	3	995877.8676804423	c10-G	0.0	1	
1021.4375168633333	3	417914.46994798695	c10-G	0.0	1	
1021.7716515300001	3	150460.2901790672	c10-G	0.0	1	
1022.1057775300001	3	47898.5065842965	c10-G	0.0	1	
1172.13034	3	18833260.011494216	c11	-0.56	1	
1172.4638	3	24547886.482498053	c11	-1.23	1	
1172.79875	3	19009192.41549372	c11	-0.57	1	
1173.13156	3	10875074.41100189	c11	-1.73	1	
1173.46769	3	5059714.090701991	c11	-0.03	1	
1173.80186353	3	2010853.6063549072	c11	0.0	1	
1174.1359898633332	3	704233.9767067612	c11	0.0	1	
1174.4701098633332	3	221918.71184660328	c11	0.0	1	
1884.30000903	2	13951822.960750137	c11+CMCT	0.0	1	
1884.80941	2	20512534.882965323	c11+CMCT	4.25	1	
1885.31204	2	17326429.692065343	c11+CMCT	4.96	1	
1885.81061	2	10693873.033283157	c11+CMCT	3.53	1	
1886.30520153	2	5323411.250649209	c11+CMCT	0.0	1	
1886.8064235299998	2	2251367.955469811	c11+CMCT	0.0	1	
1887.30763303	2	835432.0974684372	c11+CMCT	0.0	1	
1887.8088320299998	2	278025.8708189184	c11+CMCT	0.0	1	
1255.86526	3	26823428.76341011	c11+CMCT	0.81	1	
1256.1989	3	39436890.773204185	c11+CMCT	0.31	1	
1256.53293	3	33311363.9613128	c11+CMCT	0.18	1	
1256.86744	3	20559775.043031406	c11+CMCT	0.44	1	
1257.20198	3	10234658.42863932	c11+CMCT	0.75	1	
1257.5351901966665	3	4328424.18826979	c11+CMCT	0.0	1	
1257.8693298633334	3	1606181.028540378	c11+CMCT	0.0	1	
1258.2034625299998	3	534525.6430845186	c11+CMCT	0.0	1	
1121.78402	3	4305556.725405976	c11-G	2.52	1	
1122.11544	3	5294584.249134052	c11-G	-0.02	1	
1122.4506	3	3936325.5088788774	c11-G	0.85	1	
1122.78279	3	2171665.2955782576	c11-G	-0.91	1	
1123.1179615299998	3	978088.3998429618	c11-G	0.0	1	
1123.4521001966666	3	377169.5402293186	c11-G	0.0	1	
1123.7862301966666	3	128396.30667614435	c11-G	0.0	1	
1124.1203541966665	3	39389.813895005194	c11-G	0.0	1	
1273.80982	3	22275182.164795052	c12	-1.26	1	
1274.14429	3	31553644.316935185	c12	-1.09	1	
1274.47866	3	26217347.760536764	c12	-0.94	1	
1274.81234	3	16032484.200763725	c12	-1.32	1	
1275.14562	3	7949827.863374364	c12	-2.0	1	
1275.47847	3	3361128.409080068	c12	-3.01	1	
1275.81644253	3	1250400.9391855553	c12	0.0	1	
1276.1505661966667	3	418038.29774291266	c12	0.0	1	
2036.81301	2	7964635.461931229	c12+CMCT	-3.75	1	
2037.32103	2	12610759.444853554	c12+CMCT	-0.5	1	
2037.82456	2	11376499.568066308	c12+CMCT	0.59	1	
2038.32208	2	7474493.742125229	c12+CMCT	-1.24	1	
2038.83076	2	3951812.3748359154	c12+CMCT	2.4	1	
2039.3270885299999	2	1772290.7319638364	c12+CMCT	0.0	1	
2039.82830253	2	696598.6434948451	c12+CMCT	0.0	1	
2040.32950603	2	245290.32289673897	c12+CMCT	0.0	1	
1357.54289	3	34777188.212378085	c12+CMCT	-1.32	1	
1357.8766	3	55064259.602454536	c12+CMCT	-1.72	1	
1358.21087	3	49674924.68019953	c12+CMCT	-1.67	1	
1358.54456	3	32637008.549177434	c12+CMCT	-2.03	1	
1358.8785	3	17255393.972086366	c12+CMCT	-2.19	1	
1359.21295	3	7738620.1348648565	c12+CMCT	-1.97	1	
1359.5497761966667	3	3041663.6453858926	c12+CMCT	0.0	1	
1359.8839118633332	3	1071048.1059463888	c12+CMCT	0.0	1	
1307.1948728633333	3	2470578.3283650964	c12+CMCT-G	0.0	1	
1307.52393	3	3729631.219266322	c12+CMCT-G	-3.99	1	
1307.85948	3	3242980.185314347	c12+CMCT-G	-2.97	1	
1308.1975448633334	3	2062402.5479886797	c12+CMCT-G	0.0	1	
1308.5317125299998	3	1058639.105045323	c12+CMCT-G	0.0	1	
1308.86586853	3	461904.4893082694	c12+CMCT-G	0.0	1	
1309.2000151966665	3	176907.22650503163	c12+CMCT-G	0.0	1	
1309.5341541966666	3	60776.556743107925	c12+CMCT-G	0.0	1	
1223.46613	3	2946418.4568645125	c12-G	3.69	1	
1223.79193	3	3956497.065242252	c12-G	-3.23	1	
1224.1300798633333	3	3163088.6852257256	c12-G	0.0	1	
1224.4642508633333	3	1869329.9018492885	c12-G	0.0	1	
1224.79840453	3	898910.3235147971	c12-G	0.0	1	
1225.1325471966666	3	369377.3912065454	c12-G	0.0	1	
1225.4666811966665	3	133786.75461394936	c12-G	0.0	1	
1225.8008085299998	3	43613.008139049096	c12-G	0.0	1	
1375.81541	3	9090733.33692412	c13	-3.23	1	
1376.15107	3	13874803.64153005	c13	-2.21	1	
1376.48648	3	12311430.535136236	c13	-1.33	1	
1376.8224	3	8016614.990973577	c13	-0.06	1	
1377.1566331966667	3	4223649.745003159	c13	0.0	1	
1377.4907771966664	3	1894688.3148387868	c13	0.0	1	
1377.824912863333	3	747089.2595004032	c13	0.0	1	
