spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_10g3.csv
limit_error:	6
noise_limit:	2500000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1128.122064	2	79921207.57	c07	-0.36	0.1	C66H81N24O52P7	
751.745	3	7978079.81	c07	-1.18	0.53	C66H81N24O52P7	
1281.136648	2	112551650.99	c08	1.19	0.04	C75H92N26O60P8	
853.754534	3	104860445.46	c08	0.25	0.04	C75H92N26O60P8	
1453.662648	2	36659409.63	c09	2.62	0.12	C85H104N31O67P9	
968.770795	3	167327021.27	c09	0.68	0.04	C85H104N31O67P9	
918.422902	3	12267583.08	c09-G	2.8	0.46	C80H99N26O66P9	
1083.785915	3	244380757.74	c10	-0.03	0.03	C95H116N36O74P10	
1167.517527	3	18430414.09	c10+CMCT	-1.43	0.19	C109H141N39O75P10	
1550.651335	2	19187651.69	c10-G	-4.2	0.48	C90H111N31O73P10	
1033.434999	3	31258721.95	c10-G	-1.11	0.14	C90H111N31O73P10	
1198.802741	3	115901659.14	c11	0.82	0.05	C105H128N41O81P11	
898.849429	4	10968644.42	c11	-0.08	0.49	C105H128N41O81P11	
1148.455565	3	31800461.52	c11-G	3.14	0.1	C100H123N36O80P11	
1308.48477	3	201627091.45	c12	-0.89	0.02	C115H140N46O87P12	
981.113317	4	21541225.34	c12	0.7	0.29	C115H140N46O87P12	
1392.222236	3	18006440.82	c12+CMCT	2.19	0.3	C129H165N49O88P12	
1258.13684	3	17287373.87	c12-G	0.57	0.31	C110H135N41O86P12	
1423.499022	3	57211614.72	c13	-1.91	0.09	C125H152N51O94P13	
1067.374654	4	15886215.69	c13	0.16	0.44	C125H152N51O94P13	
1525.182515	3	81606551.75	c14	0.22	0.23	C134H164N54O101P14	
1143.636513	4	37225187.24	c14	1.49	0.22	C134H164N54O101P14	
1634.861347	3	52566929.56	c15	-3.06	0.08	C144H176N59O107P15	
1225.899539	4	1134340112.97	c15	1.3	0.01	C144H176N59O107P15	
980.517507	5	57034676.35	c15	0.62	0.15	C144H176N59O107P15	
1288.698521	4	131000647.6	c15+CMCT	0.5	0.06	C158H201N62O108P15	
1250.937908	4	13819005.3	c15+CMCT-G	1.9	0.33	C153H196N57O107P15	
1188.136376	4	146335837.15	c15-G	0.66	0.05	C139H171N54O106P15	
950.306639	5	12725579.03	c15-G	-0.4	0.32	C139H171N54O106P15	
1312.162285	4	49420719.17	c16	1.9	0.11	C154H188N64O114P16	
1274.397367	4	20584613.66	c16-G	-0.06	0.37	C149H183N59O113P16	
1851.560903	3	23348885.8	c17	-0.91	0.42	C163H200N67O121P17	
1110.536056	5	23443161.85	c17	1.27	0.37	C163H200N67O121P17	
1470.685	4	76526227.14	c18	1.19	0.17	C173H212N72O127P18	
1176.345808	5	164067276.77	c18	0.56	0.04	C173H212N72O127P18	
1533.484973	4	28075626.42	c18+CMCT	1.16	0.37	C187H237N75O128P18	
1146.134316	5	40649741.49	c18-G	-0.83	0.16	C168H207N67O126P18	
1556.947771	4	72048442.87	c19	1.71	0.1	C183H224N77O134P19	
1245.353037	5	193968200.43	c19	-1.28	0.05	C183H224N77O134P19	
1215.146517	5	41955566.33	c19-G	1.45	0.2	C178H219N72O133P19	
