spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_7.csv
limit_error:	6.5	2020-03-13
noise_limit:	2220000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1218.434362	7	27371390.329690423	RNA	1.83	0.19	C253H315N91O194P26	0.8
1254.317313	7	36101087849.19	RNA+CMCT	-0.4	0.03	C267H340N94O195P26	219.5
1235.024257	7	2127446908.9870117	RNA+CMCT-A	-0.05	0.02	C262H335N89O195P26	11.7
1238.45523	7	1289212722.19	RNA+CMCT-C	0.6	0.02	C263H335N91O194P26	7.1
1235.881437	7	59109052.5459049	RNA+CMCT-C-H2O	-0.09	0.19	C263H333N91O193P26	1.8
1232.738862	7	2444205893.774049	RNA+CMCT-G	-0.38	0.02	C262H335N89O194P26	13.4
1230.164386	7	186361289.42451727	RNA+CMCT-G-H2O	-1.63	0.08	C262H333N89O193P26	1.9
1251.745884	7	1559472069.42	RNA+CMCT-H2O	0.81	0.02	C267H338N94O194P26	8.6
1679.195175	5	8908993.72	RNA-A	-1.09	0.53	C248H310N86O194P26	8.0
1202.567121	7	12206312.819172978	RNA-C	-1.4	0.37	C249H310N88O193P26	2.2
1215.857384	7	41996426.71625318	RNA-H2O	-1.49	0.27	C253H313N91O193P26	2.8
458.07159	1	4961191.87	a02-G	-0.57	0.16	C15H18N5O10P1	0.1
914.16248	1	6281213.9	a03	-0.07	0.28	C29H35N13O18P2	0.5
706.589193	2	23925269.24	a05-G	-0.15	0.12	C43H53N15O32P4	0.4
934.634201	2	12638559.78	a06	-0.48	0.19	C57H70N23O40P5	0.4
1337.653039	2	23897869.72	a09-G	-4.43	0.12	C80H99N27O62P8	0.4
1330.892591	3	14006499.01	a12+CMCT	2.52	0.45	C126H164N43O86P11	5.7
1309.699778	4	11806992.82	a16+CMCT	1.96	0.38	C163H209N54O116P15	2.4
1329.165239	4	18771295.14089976	a17	3.64	0.38	C159H196N56O121P16	3.8
1063.13288	5	11279966.087460859	a17	5.66	0.29	C159H196N56O121P16	0.9
1113.37231	5	6315421.547031654	a17+CMCT	4.93	0.57	C173H221N59O122P16	8.5
1358.195182	4	5099398.174919371	a17+CMCT-A	-1.13	0.59	C168H216N54O122P16	8.4
1405.672839	4	11407651.78099644	a18	4.35	0.36	C168H207N58O129P17	1.9
1144.367116	5	10137605.45	a18+CMCT-G	4.47	0.38	C177H227N56O129P17	2.0
1516.97185	4	20512609.14	a19+CMCT-G	3.74	0.23	C187H239N61O136P18	0.9
1163.135772	5	9908390.681387426	a19-G	3.65	0.36	C173H214N58O135P18	1.6
1278.674963	6	59341848.1	a24+CMCT-A	-0.41	0.08	C234H298N79O172P23	0.6
1236.81028	6	57635804.34314767	a24-A	1.15	0.35	C220H273N76O171P23	8.6
1333.51964	6	13272501.07	a25+CMCT-G	1.55	0.38	C244H310N84O178P24	2.7
344.04021	1	10118195.37	c01	0.15	0.12	C10H12N5O7P1	0.2
689.087628	1	53351057.91	c02	0.05	0.06	C20H24N10O14P2	0.4
538.03817	1	11904232.6	c02-G	-0.03	0.16	C15H19N5O13P2	0.3
994.129612	1	119637947.32	c03	0.74	0.06	C29H36N13O21P3	1.0
843.08131	1	6025352.47	c03-G	2.18	0.23	C24H31N8O20P3	0.3
649.573632	2	62096552.890392415	c04	0.27	0.06	C38H47N15O29P4	0.5
1149.10465	1	7479875.01	c04-G	-0.11	0.3	C33H42N10O28P4	0.7
822.097073	2	102809043.01	c05	-0.12	0.08	C48H59N20O36P5	1.0
746.572082	2	14391123.97	c05-G	-0.51	0.13	C43H54N15O35P5	0.2
974.618626	2	201024698.3968167	c06	0.83	0.04	C57H71N23O43P6	1.4
899.09375	2	12992742.07	c06-G	0.71	0.43	C52H66N18O42P6	4.3
1127.629295	2	126521344.17	c07	-1.04	0.02	C66H82N25O51P7	0.7
1253.234793	2	68750454.99	c07+CMCT	3.55	0.25	C80H107N28O52P7	3.8
1052.107173	2	12425989.05	c07-G	1.34	0.2	C61H77N20O50P7	0.4
1280.643185	2	113598041.42	c08	0.05	0.06	C75H93N27O59P8	0.9
853.42639	3	20659481.77	c08	0.08	0.27	C75H93N27O59P8	1.4
1406.244398	2	98418936.04	c08+CMCT	1.0	0.06	C89H118N30O60P8	0.8
1205.116713	2	21684514.55	c08-G	-1.41	0.23	C70H88N22O58P8	1.0
1453.167583	2	28884094.62	c09	0.52	0.12	C85H105N32O66P9	0.4
968.442053	3	44636863.66	c09	-0.08	0.07	C85H105N32O66P9	0.4
1578.768649	2	30528709.43	c09+CMCT	1.23	0.08	C99H130N35O67P9	0.3
1377.642593	2	9327561.65	c09-G	0.34	0.46	C80H100N27O65P9	4.2
1070.448823	3	89867949.58	c10	-1.63	0.09	C94H116N34O74P10	1.0
1731.783212	2	10289269.87	c10+CMCT	2.22	0.34	C108H141N37O75P10	1.4
1154.184612	3	37214985.84	c10+CMCT	0.69	0.17	C108H141N37O75P10	0.9
