spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0603_2x_7-.csv
limit_error:	6.5	2020-03-12
noise_limit:	3030000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1773.25727	3	18678912.86	c16+CMCT	1.76	0.35	C163H210N54O119P16	2.0
1329.689809	4	266443052.51	c16+CMCT	0.76	0.02	C163H210N54O119P16	1.1
1295.924443	4	26811280.65	c16+CMCT-A	-0.56	0.23	C158H205N49O119P16	0.9
1411.951787	4	279495383.9425586	c17+CMCT	-0.1	0.02	C173H222N59O125P17	1.1
1378.185654	4	32747309.01	c17+CMCT-A	-1.92	0.31	C168H217N54O125P17	2.4
1374.189438	4	27626554.632220946	c17+CMCT-G	-0.1	0.43	C168H217N54O124P17	6.7
1311.389665	4	15594219.66	c17-G	0.03	0.44	C154H192N51O123P17	4.2
1425.657149	4	6632833.515177374	c18	-0.81	0.58	C168H208N58O132P18	7.2
1488.457405	4	396634901.54	c18+CMCT	-0.57	0.03	C182H233N61O133P18	1.8
1190.565	5	195430463.27	c18+CMCT	-0.12	0.03	C182H233N61O133P18	0.9
1454.696842	4	36910155.45	c18+CMCT-A	1.52	0.15	C177H228N56O133P18	0.5
1450.697517	4	54950504.34868773	c18+CMCT-G	1.12	0.05	C177H228N56O132P18	0.3
1160.352872	5	25142759.03	c18+CMCT-G	-2.06	0.23	C177H228N56O132P18	0.8
1574.719452	4	72275717.93	c19+CMCT	-0.42	0.14	C192H245N66O140P19	1.0
1259.573547	5	209378228.87045056	c19+CMCT	-0.86	0.04	C192H245N66O140P19	1.0
1229.364893	5	21866027.63	c19+CMCT-G	0.12	0.31	C187H240N61O139P19	1.6
1328.585359	5	143411761.17	c20+CMCT	0.93	0.09	C202H257N71O147P20	1.2
1298.374084	5	26341952.47	c20+CMCT-G	-0.12	0.27	C197H252N66O146P20	1.3
1389.789375	5	294570708.12	c21+CMCT	0.14	0.03	C211H268N73O155P21	1.3
1362.779381	5	31144794.64	c21+CMCT-A	0.81	0.26	C206H263N68O155P21	1.4
1359.579227	5	76519133.02	c21+CMCT-G	-0.05	0.15	C206H263N68O154P21	1.1
1312.535166	5	21743568.54	c21-A	-2.41	0.43	C192H238N65O154P21	5.3
1450.799215	5	183685067.43122783	c22+CMCT	1.23	0.05	C220H280N76O162P22	1.0
1420.585605	5	52571517.62	c22+CMCT-G	-1.37	0.14	C215H275N71O161P22	0.7
1511.802548	5	75818872.47937088	c23+CMCT	-2.08	0.08	C229H292N79O169P23	0.6
1259.669082	6	204641677.73323306	c23+CMCT	-0.89	0.04	C229H292N79O169P23	1.0
1577.623038	5	16126506.29	c24+CMCT	4.34	0.51	C239H304N84O175P24	8.7
1314.513166	6	355068613.27	c24+CMCT	0.67	0.05	C239H304N84O175P24	1.9
1292.001246	6	89358407.93	c24+CMCT-A	-1.51	0.13	C234H299N79O175P24	1.1
1289.336207	6	56684619.87	c24+CMCT-G	-0.91	0.14	C234H299N79O174P24	0.8
1372.019425	6	955276490.83	c25+CMCT	-0.56	0.03	C249H316N89O182P25	4.3
1349.511073	6	74190823.81298353	c25+CMCT-A	-0.03	0.11	C244H311N84O182P25	0.7
1346.845643	6	165716460.93	c25+CMCT-G	0.26	0.08	C244H311N84O181P25	1.2
1219.591858	7	206203949.38	c26+CMCT	0.45	0.14	C258H327N91O190P26	2.8
1200.29905	7	21287042.17	c26+CMCT-A	1.03	0.45	C253H322N86O190P26	6.3
1198.014373	7	18754825.92	c26+CMCT-G	1.29	0.57	C253H322N86O189P26	18.5
628.06969	1	15838206.82	w02	-0.3	0.05	C18H25N5O16P2	0.1
973.117169	1	38663015.12881928	w03	-0.15	0.02	C28H37N10O23P3	0.2
803.102571	2	26179360.43	w05	0.81	0.14	C47H61N18O36P5	0.4
1108.635234	2	39590016.672991686	w07	0.02	0.09	C65H84N23O51P7	0.3
1281.162173	2	18120037.42	w08	2.53	0.45	C75H96N28O58P8	5.4
853.770623	3	20541780.42	w08	0.5	0.16	C75H96N28O58P8	0.3
1205.630664	2	15526485.420758355	w08-G	-2.96	0.25	C70H91N23O57P8	0.6
1070.794554	3	21366221.95687095	w10	0.1	0.17	C94H119N35O73P10	0.4
885.106907	4	12757572.18	w11	-0.27	0.5	C104H131N40O79P11	6.2
967.367198	4	14893352.79	w12	-3.18	0.39	C114H143N45O85P12	2.4
1196.889406	4	48885203.45	w15	0.13	0.06	C141H176N51O109P15	0.3
