m/z	z	I	Res.	
210.58252		3216196	412224	
230.28040		3175119	307805	
237.02460		3407565	345303	
237.74924		3223072	339035	
239.83391		3243359	190340	
239.89031		3263038	321470	
242.29036		3298966	325986	
247.37579		3259144	399869	
249.06591		3196603	256730	
250.96227		7442336	349950	
250.99015		3499628	477502	
250.99097		11100396	319147	
251.01961		11003560	336179	
251.04829		7635316	321731	
251.07727		4251376	251677	
251.44109		3269018	305705	
253.66145		3555685	308902	
254.29187		3204061	301996	
255.12675		3326570	329767	
257.28399		3383824	294073	
259.16683		3287749	324351	
264.02857		3157310	290311	
264.28346		3427108	344729	
266.25849		3212212	303298	
267.60548		3396699	290153	
268.03284		3464491	336902	
270.38083		3437692	220256	
271.53090		3161590	234624	
272.11997		3393592	285570	
277.95560		3487479	176193	
278.93605		3413529	252502	
280.89270		3214515	297789	
283.18445		3277413	295530	
286.52517		3247683	267730	
288.67839		3687109	249578	
290.72764		3384607	235299	
295.20720		3332005	283883	
295.74854		3219029	238472	
300.89134		3154761	238514	
301.01485		3222508	213636	
301.27807		3237402	285921	
302.74575		3439226	217525	
312.70407		3466037	208705	
315.80984		3206881	154578	
317.22705		3375230	169148	
317.27133		3563712	234981	
318.60980		3362764	148269	
318.73804		3433179	279693	
319.61110		3355183	217563	
319.78962		3164426	262675	
325.17682		3667240	260453	
325.89971		3410321	238720	
326.12331		3174104	239862	
327.55566		3472468	200590	
327.99225		3163511	115237	
328.37367		3691908	229754	
333.02301		3159199	261453	
334.10234		3668722	167507	
334.21786		3341356	177015	
341.11488		3995643	186057	
341.87650		3466948	182914	
342.49456		3327312	183106	
342.75216		3186131	157936	
342.77067		3264576	160277	
344.03880		4174332	263757	
345.84572		3398337	101426	
346.25769		3258988	198417	
346.43625		3250827	177148	
347.73738		3392474	151073	
348.46279		3431332	199230	
348.48185		3725417	217063	
355.85248		3374611	136776	
357.89946		3518887	184830	
359.27624		3525359	243245	
359.88501		3280604	168145	
361.80723		3896711	150342	
362.45194		3161802	157620	
362.49742		3350621	211501	
365.54715		3203160	176081	
366.42528		3522134	258629	
368.45999		3447440	228210	
369.87408		3183295	156572	
371.60807		4305573	218100	
373.56774		3579232	178132	
374.18779		4068426	207901	
374.53236		3204643	205866	
376.87305		3502603	252966	
377.70068		3348063	219703	
380.07804		3240292	125012	
381.13661		3480540	208673	
381.22120		3264111	168248	
381.89496		3230151	149974	
381.92816		3433435	205824	
382.03051		3224250	185777	
384.23966		3237493	190084	
384.46075		3244576	171590	
385.26871		3326435	206045	
385.52928		3372970	264466	
385.80760		3498429	111978	
389.85226		3265273	176389	
392.01340		3291839	143684	
394.34945		3281005	192306	
396.78740		3599557	160236	
397.36898		3672199	148203	
397.46210		3282060	170286	
400.65758		3309183	129746	
401.04060		3440648	216552	
401.96235		3432473	204509	
402.73060		3251672	185294	
403.04033		4074286	157340	
403.32021		3251436	158758	
404.04730		3220338	206354	
404.06150		3600990	226598	
404.82078		3345794	139738	
411.06507		3983583	253137	
411.89166		3233768	126175	
411.92457		4243205	147686	
417.25886		3744831	203181	
418.25784		10286221	185469	
418.27572		6556702	252136	
418.30453		12843704	198147	
418.35300		11873252	136870	
418.40068		13511952	253915	
418.44881		8709180	158978	
419.92538		3214157	186344	
420.90162		3344665	148587	
421.15630		3310103	148594	
421.46868		3214604	168415	
421.96071		4109307	168933	
423.29199		3313575	142342	
423.33334		3254542	198852	
424.44962		3341209	155190	
426.29918		3208981	169078	
427.44753		3700599	115312	
428.19123		3584946	221797	
428.99807		3302416	172212	
430.54430		3504405	241799	
431.19334		3410273	189052	
431.86332		3387590	168427	
431.89461		3363989	108190	
433.84186		3387076	145619	
434.16988		4057940	118457	
434.51096		3518003	172011	
435.15224		4090728	166016	
435.20603		3567007	216536	
438.44545		3404374	169296	
438.85834		3615114	187370	
439.42239		3299295	152180	
441.29668		3541231	194031	
441.74229		3716173	184817	
443.10408		3235724	132487	
443.87914		3245430	158519	
447.27259		3332903	182404	
449.67543		3261058	146687	
451.27221		3405339	101997	
451.38465		3440746	70152	
451.64978		3307287	188476	
453.06313		3857952	183048	
453.48469		3640515	189282	
453.56855		3546915	187087	
