m/z	z	I	Res.	
1276.05249	7-	5454905	41891	
1278.77051	7-	2456919	30757	
1320.51751	7-	15381320	38249	
1323.20438	6-	3104403	39542	
1325.93931	7-	5136700	35762	
1339.52666	7-	3972884	36978	
1380.71205	6-	11253208	32951	
1383.21083	6-	4768504	32256	
1387.21302	6-	22842578	31000	
1391.03942	6-	3158791	34507	
1393.70205	6-	9753217	33242	
1396.86504	3-	3116052	32145	
1400.02672	6-	2253458	29258	
1403.05914	6-	3448924	26143	
1409.55880	6-	5488245	27682	
1415.87581	6-	5410196	29721	
1421.87934	6-	3706626	37414	
1429.55884	6-	5942128	30256	
1431.89435	6-	3936076	28254	
1435.71669	6-	4975842	42575	
1438.21481	6-	356969504	32461	
1440.55518	6-	38185432	30725	
1441.88467	6-	60518048	33216	
1444.54720	6-	264985680	32964	
1446.88633	6-	31853316	31201	
1448.21767	6-	48077904	28779	
1450.87453	6-	72432216	32427	
1452.40787	6-	40170448	33001	
1454.37046	6-	14954234	28819	
1458.72941	6-	16214956	31694	
1460.39581	6-	88777416	32942	
1462.73426	6-	13748597	32560	
1464.06079	6-	17409604	33526	
1466.72358	6-	57042972	33375	
1469.06184	6-	8474105	31237	
1470.06654	6-	14113431	27651	
1473.05043	6-	16917524	34328	
1474.58679	6-	16174578	31674	
1476.55958	6-	4111608	31819	
1478.40434	6-	3113417	33275	
1480.90433	6-	5531136	33497	
1482.57571	6-	5732523	34106	
1540.77625	6-	12971955	32257	
1547.10366	6-	5050065	33702	
1562.95088	6-	3101846	29292	
1726.07919	5-	7258991	27741	
1733.66359	5-	5038576	24895	
1743.09037	5-	8806712	25179	
1750.68208	5-	4406016	28953	
1760.11107	5-	7761699	22151	
1767.70324	5-	6275939	25866	
1769.91168	5-	3955690	24665	
1773.72848	5-	3495249	24886	
1777.13796	5-	6531296	27917	
1781.30414	5-	2495053	29020	
1784.71589	5-	3052286	26962	
1786.72081	5-	1982454	27327	
m/z	z	I	Res.	
255.23571	1-	43589588	186886	
269.25151	1-	8406665	180465	
281.25167	1-	9333202	169696	
283.26732	1-	24779114	169869	
367.36234	1-	5201759	135527	
397.33707	1-	6307548	128658	
411.35291	1-	4270478	126132	
425.36858	1-	7359965	115538	
439.38451	1-	4432280	113350	
571.35608	1-	5414840	93497	
585.37195	1-	9567346	87650	
599.38795	1-	8177327	83716	
613.40365	1-	11878916	83261	
627.41974	1-	8428094	80267	
641.43515	1-	8699179	76837	
655.45138	1-	10342172	78192	
667.52442	1-	4121913	72287	
669.46726	1-	17480524	75842	
681.54021	1-	4223481	72434	
683.48293	1-	5581445	70135	
695.55698	1-	4290960	72436	
697.49924	1-	6913150	72758	
707.34468	12-	1331785	69578	
709.34218	12-	969829	75926	
718.60054	12-	13957473	66522	
719.76892	12-	1931687	72838	
729.68836	12-	4275052	63730	
741.66077	9-	1199122	68982	
771.74182	11-	2496123	65047	
773.83208	11-	2164704	57022	
784.01982	11-	37936964	63303	
785.29380	11-	4928830	62909	
786.01404	11-	2402124	46878	
786.83932	11-	1134102	58509	
787.47076	11-	1831550	65861	
796.11613	11-	7812185	61947	
797.39004	11-	1196218	58341	
831.91882	10-	1206915	61783	
849.01637	10-	1248028	62315	
862.52317	10-	31755414	55801	
863.92480	10-	4503522	58744	
864.72039	10-	1731095	47378	
866.31806	10-	1386774	54696	
872.62674	8-	1623279	58847	
875.82888	10-	7292147	58490	
877.23129	10-	1171484	46517	
920.13195	9-	2194503	55229	
924.57261	9-	2658867	41004	
954.01455	8-	2691348	40972	
958.47119	9-	104503392	49180	
960.02901	9-	12332257	52273	
960.91422	9-	7512813	49849	
961.91892	9-	2703204	55241	
962.68976	9-	5435901	52059	
964.91676	9-	5165589	52311	
973.25531	9-	24666086	49999	
974.81204	9-	2722510	47150	
975.69969	9-	2525783	51974	
978.15293	9-	1237603	50526	
979.70070	9-	2375960	43063	
988.03739	9-	1578148	54388	
1035.27607	8-	5977007	45965	
1037.40273	8-	1456339	53863	
1040.27669	8-	5958439	46477	
1061.77943	8-	1898506	54648	
1071.90526	8-	3143930	47333	
1078.40618	8-	279838624	45657	
1080.15889	8-	27519070	46189	
1080.98794	2-	1650599	67541	
1081.15554	8-	16793060	43363	
1082.28526	8-	4620480	44297	
1083.15242	8-	11023716	42341	
1083.90410	2-	2136674	42059	
1085.65980	8-	13303297	45417	
1087.15883	8-	2494945	38085	
1089.03713	8-	2699329	43122	
1090.44325	7-	2419017	45639	
1095.01044	4-	4829340	51219	
1095.04033	8-	60346604	44431	
1096.79196	8-	7542609	43963	
1097.78720	8-	3757400	42822	
1099.78545	8-	3047721	48799	
1100.54931	8-	2692648	34474	
1102.41548	8-	3710993	38161	
1111.67177	8-	3871020	45019	
1183.31603	7-	6228840	41245	
1185.60418	7-	2167939	48619	
1188.89110	7-	9154501	41010	
1202.46806	7-	1566240	36829	
1208.03741	7-	2043235	34452	
1213.60187	7-	1569197	37284	
1225.18567	7-	2838304	40565	
1227.18495	7-	3309792	45611	
1230.32092	7-	1623020	47220	
1232.60814	7-	308307552	39680	
1234.61298	7-	31006928	39805	
1234.72147	1-	3695642	43638	
1235.13287	2-	3829749	34503	
1235.75301	7-	21540528	30009	
1237.03979	7-	4664960	35292	
1238.03510	7-	15729273	40192	
1238.75313	7-	2433276	38279	
1240.89824	7-	8103416	39941	
1240.90042	7-	11034112	38494	
1242.90170	7-	2923470	38797	
