m/z	z	I	Res.	
915.78241	5-	9422329	48062	
915.81457	12-	3742284	56562	
915.84837	13-	18716402	61713	
917.58668	14-	341985216	63888	
918.65971	14-	6324455	62358	
919.14719	2-	7203018	34637	
919.15911	14-	27819184	57040	
920.29647	14-	31889846	62468	
920.65623	14-	4744888	60602	
921.93760	14-	6017719	52662	
922.51849	14-	7187696	60105	
926.66306	2-	11819339	63842	
935.16027	1-	13182764	49683	
935.53138	14-	32564156	60443	
936.74915	12-	12649433	68521	
936.78909	3-	5818716	55351	
938.31103	14-	4151633	61798	
941.31817	12-	14201507	50497	
942.38033	13-	13847440	58932	
943.66051	4-	4766089	39204	
945.46369	13-	8295347	55593	
955.13582	1-	23918978	57708	
958.53414	13-	6263482	54405	
960.15072	1-	11110450	50275	
960.30246	13-	8436513	60895	
961.70871	13-	5614435	49499	
962.25560	12-	10083846	55505	
966.14875	2-	7451740	50435	
966.82290	12-	13449371	49287	
968.92682	13-	1236926848	60664	
970.07980	13-	19277134	54684	
970.61557	13-	130595080	59431	
971.30871	13-	6093277	45100	
971.77764	3-	4062634	66501	
971.84240	13-	100948824	58328	
972.20189	3-	4768398	70738	
972.22825	13-	12097516	57578	
973.14856	2-	6709016	50802	
973.15178	13-	5116683	39561	
973.45891	13-	18533340	49366	
974.31805	13-	18485366	51596	
974.91856	13-	5174881	54086	
975.92641	16-	25952732	47713	
978.16295	1-	33935512	54883	
982.62840	13-	7741750	60987	
988.25070	13-	568405696	58800	
988.62075	1-	22927666	61141	
989.40174	13-	11183067	54097	
989.93917	13-	53361196	57330	
991.16658	13-	45852096	54913	
991.55544	13-	8932975	55622	
992.29653	11-	5192374	40011	
992.78712	13-	7592767	58232	
993.56242	13-	5617799	51377	
993.84169	12-	9539257	52480	
994.16659	1-	10185123	57940	
995.14931	1-	16699852	56228	
996.25582	2-	4265023	41613	
999.16522	11-	13590445	57049	
1006.25567	3-	16702492	53679	
1007.57729	13-	44279032	51923	
1009.18882	13-	5660437	55256	
1010.56818	13-	6127094	62911	
1012.16557	2-	4321600	52465	
1012.65363	2-	5772937	56583	
1021.00153	12-	11136375	47207	
1022.00530	11-	7421844	45411	
1024.33315	12-	5756836	53369	
1026.98494	11-	9349825	59213	
1038.49838	12-	4511770	56166	
1041.05272	15-	76114408	54373	
1041.09090	15-	5218905	78389	
1042.11533	15-	4486732	50038	
1042.47862	8-	5422640	56726	
1043.45338	15-	4570604	53230	
1044.18913	2-	4816810	45501	
1049.75274	12-	1175490432	55473	
1051.00574	12-	13251513	53840	
1051.59084	12-	97649456	50744	
1052.34629	12-	3531469	33698	
1052.92001	12-	87114984	51529	
1053.33644	12-	10797940	52476	
1054.67509	12-	42540264	44921	
1055.40917	2-	9182685	55316	
1055.58995	12-	19707822	53457	
1056.58845	12-	6005954	46951	
1057.86771	15-	24351322	54489	
1064.55999	11-	6652287	34016	
1068.84811	6-	6114913	64737	
1070.68878	12-	503324320	54475	
1072.02044	12-	7926256	47944	
1072.51904	12-	52020672	51918	
1073.85102	12-	41413296	48142	
1074.27001	12-	8152940	48778	
1075.61019	12-	18923032	43140	
1076.52921	12-	9265803	47522	
1077.35878	6-	5600608	44536	
1078.84800	6-	3616797	59793	
1091.61893	2-	5273578	53490	
1091.62337	12-	48027872	52057	
1093.46233	12-	4885535	53992	
1094.19286	14-	4357607	52573	
1094.87428	6-	4579355	50677	
1096.54375	12-	3094582	58806	
1099.18046	10-	6100215	56834	
1099.71406	2-	9538693	56876	
1109.17844	1-	10988874	48613	
1113.91619	11-	6099492	44237	
1115.48950	14-	129353984	49981	
1116.05897	1-	29286846	51450	
1117.05753	14-	10823042	45434	
1118.05769	14-	11541797	51695	
1118.41390	14-	4071446	47339	
1119.48216	14-	4781235	53320	
1129.78461	10-	4642636	50823	
1133.51179	14-	28627590	39926	
1136.21713	7-	4637459	49943	
1145.28154	11-	498309472	51415	
1145.62437	1-	18751156	48714	
1145.73595	1-	28498030	41408	
1145.91594	1-	15786970	45996	
1146.63922	11-	8620305	40504	
1147.27729	11-	57868880	48207	
1148.72909	11-	44121912	45473	
1149.18393	11-	4341199	48261	
1149.55163	1-	6782143	51871	
1150.64935	11-	53283840	47245	
1151.65265	11-	7629272	40469	
1152.74202	11-	7854127	42003	
1154.10404	11-	6767149	50304	
1155.05679	11-	3013790	43664	
1161.29445	11-	3626910	52189	
1168.11710	11-	214421376	48595	
1169.11070	11-	2926764	32530	
1169.47456	11-	2881077	40727	
1170.11400	11-	24584408	48509	
1170.84523	11-	2873103	50278	
1171.56773	11-	19950550	42376	
1173.48811	11-	23619378	47809	
1174.39642	11-	5144486	37937	
1175.48922	11-	4750383	40458	
1178.43920	13-	4869338	52657	
1190.95755	11-	22140386	44972	
1201.38030	13-	118755720	44322	
1202.67880	13-	5038195	46148	
1203.06631	13-	10434741	42871	
1203.76024	13-	5949348	44758	
1204.14095	13-	14747441	45952	
1205.67293	13-	4635521	36485	
1206.52660	13-	2782557	64605	
1220.58484	4-	4698288	45582	
1220.76810	2-	4486142	53186	
1220.77770	13-	37737036	44792	
1221.04373	4-	3976118	54824	
1223.62526	13-	3254404	51503	
1259.25983	1-	6330509	56840	
1259.91010	10-	201375328	43041	
1260.40625	1-	13023228	47226	
1261.30705	5-	3952497	37143	
1261.80829	5-	5055288	46404	
1262.07615	10-	3289308	69572	
1262.11217	10-	27305994	41451	
1263.71161	10-	22572214	43703	
1265.78462	5-	4511393	68557	
1265.82575	10-	30278070	36714	
1266.92241	10-	4104053	37625	
1268.12014	10-	5807932	42379	
1268.72434	5-	3998029	52614	
1269.61589	10-	4075944	47977	
1271.71592	10-	3164749	41126	
1285.03532	10-	99199328	42117	
1285.28501	2-	5008443	56334	
1287.23177	10-	13856287	44227	
1288.83047	10-	10922342	42865	
1290.93849	10-	16216399	41010	
1293.44364	10-	2621640	50007	
1294.64524	10-	3671555	46821	
1301.57722	12-	98193384	42099	
1302.82291	12-	4046735	34827	
1303.40645	12-	9365443	38779	
1304.06916	12-	2789217	43960	
1304.57019	12-	10678646	42517	
1304.98642	12-	2883224	44980	
1306.23892	12-	5240901	42656	
1310.15905	10-	11048057	42282	
1322.59399	12-	25586310	41385	
1400.02100	9-	60702380	37391	
1402.46783	9-	10865393	36899	
1404.24865	9-	7543066	41597	
1406.58773	9-	11423878	31475	
1409.47902	9-	21647936	31545	
1411.91239	9-	4307745	29055	
1418.81749	9-	6752032	38148	
1419.99923	11-	37232456	35928	
1421.99815	11-	4718347	35410	
1423.26853	11-	5418138	39214	
1425.10365	11-	3178832	30316	
1425.74214	11-	4220379	45525	
1427.94568	9-	29372976	31495	
1430.37910	9-	5088147	42481	
1432.15207	9-	4603240	36550	
1434.49016	9-	5737625	38442	
1437.27409	9-	11591346	35513	
1442.92898	11-	12311017	37029	
1446.73834	9-	4100150	33489	
1455.84907	9-	4211957	37639	
1562.10486	10-	11891310	28370	
1575.07461	7-	4592537	37077	
1585.81006	8-	11304886	33459	
1587.33794	10-	4906429	32495	
1588.55280	8-	2982523	36114	
1596.42213	8-	9501992	29004	
1596.44153	7-	3115146	30927	
1606.57026	13-	5030297	36194	
1606.68835	8-	6757514	24297	
1607.44398	8-	3456699	31144	
1617.09264	8-	4245944	30259	
1617.72171	8-	9281767	32495	
1628.08122	8-	6522718	33972	
1638.58836	8-	4669690	34952	
1649.00301	8-	3021973	31578	
4769.39819	1-	5163201	11253	
m/z	z	I	Res.	
255.23655	1-	29634602	249948	
283.26847	1-	41137180	210424	
325.18946	1-	9594388	169040	
367.36421	1-	8037285	170772	
425.37105	1-	9667636	144286	
485.29167	1-	24593074	121866	
487.07245	4-	5304573	101024	
516.47448	5-	3903208	120803	
521.42794	3-	2509825	123255	
548.08360	3-	3801319	106990	
569.33782	4-	4933656	106745	
585.37890	2-	7815561	102270	
585.48572	5-	2646912	94135	
588.47879	5-	5448071	101017	
596.08795	6-	5491697	101399	
598.41392	6-	2146662	94153	
601.33596	1-	6280562	106175	
606.94755	7-	1687188	84620	
613.40876	1-	8059849	100304	
618.11676	2-	9385377	100341	
623.11129	3-	5626505	94841	
638.50385	5-	7965982	88374	
645.84673	4-	3774736	94351	
649.09300	2-	17222734	94824	
649.58534	2-	7810042	72898	
650.81035	7-	7796456	84815	
650.93140	6-	3813193	88989	
652.80688	7-	7320413	91806	
653.24171	11-	2463083	68356	
653.59238	6-	4650406	81603	
654.49746	5-	3376290	96354	
657.69346	5-	3958976	97758	
658.09868	2-	5270152	90085	
667.53040	1-	8442439	90808	
669.47354	1-	9818727	88231	
672.60095	2-	4852492	90105	
680.29723	5-	4328688	87425	
681.54600	1-	7928106	90246	
688.72733	8-	8293507	90423	
689.10415	1-	9022460	89400	
690.59770	8-	3995102	82693	
692.04607	18-	5520604	79548	
693.32402	18-	5388856	86574	
695.11327	6-	5719573	71329	
699.49337	18-	25824486	80108	
700.71473	18-	4382242	90505	
701.95838	7-	3494200	89726	
702.50708	5-	5186321	87566	
707.11458	2-	6336575	94865	
708.44024	3-	3692302	65284	
712.11909	4-	9742800	78017	
713.44924	18-	8465575	65589	
715.70782	5-	8053859	81156	
715.86035	4-	4318636	81362	
718.50094	5-	5450024	88959	
720.99356	9-	6136751	80793	
724.85967	8-	3255315	85538	
727.60845	4-	4938014	82861	
729.79632	16-	3418219	81687	
731.81382	17-	8955175	64331	
732.75488	17-	19863238	78213	
734.16815	17-	20433288	80749	
734.39665	7-	5226708	78170	
735.40273	17-	3839230	80226	
735.85181	4-	5398230	88712	
740.63245	17-	8361942	93601	
740.69962	17-	182195712	78126	
741.58271	17-	5186831	72468	
741.99305	17-	29107008	76381	
742.99070	17-	13731907	68341	
743.63925	3-	4308426	67747	
744.74228	16-	4009748	71254	
744.99680	17-	3350418	55137	
746.06941	6-	2708590	75332	
746.51002	10-	2933145	81313	
747.65005	17-	5248098	77343	
748.44976	6-	5814419	79940	
748.94464	17-	6723048	60663	
