m/z 	z 	I 	fragment 
1043.150276	4	2427127644	y13
834.318555	5	169416336	y13
1009.38756	4	154217205	y13-A
1340.849511	3	63486451	y13-G
1005.386843	4	192931716	y13-G
1474.93951	3	452762879	y13+CMCT
1105.950469	4	510635173	y13+CMCT
1429.920667	3	36447448	y13+CMCT-A
1424.585569	3	23847176	y13+CMCT-G
1068.186585	4	40982962	y13+CMCT-G
1493.20888	3	166875969	y14
1119.655216	4	127426709	y14
895.523927	5	22937154	y14
1576.942514	3	111055205	y14+CMCT
1594.892719	3	79458006	y15
1195.915261	4	109509466	y15
956.532083	5	80599094	y15
1678.623908	3	60479607	y15+CMCT
1709.906878	3	65621307	y16
1282.180966	4	590209150	y16
1025.540724	5	284175418	y16
998.530586	5	19718119	y16-A
1793.642454	3	59231712	y16+CMCT
1344.978608	4	161183302	y16+CMCT
1075.78076	5	60623020	y16+CMCT
1811.58763	3	10144560	y17
1358.437382	4	158912968	y17
1086.550436	5	173191029	y17
905.29018	6	8991882	y17
1895.311177	3	25200328	y17+CMCT
1421.240511	4	85536056	y17+CMCT
1136.789337	5	68379834	y17+CMCT
1850.307025	3	18854841	y17+CMCT-A
1440.697903	4	91774451	y18
1152.358497	5	105349740	y18
960.131973	6	67946778	y18
1503.505102	4	131439085	y18+CMCT
1202.601168	5	98534474	y18+CMCT
1348.382216	5	42651288	y21
1123.481758	6	58568649	y21
1748.533555	4	126489794	y21+CMCT
1398.622453	5	213183837	y21+CMCT
1165.354058	6	370315446	y21+CMCT
1414.192353	5	65137134	y22
1178.328126	6	115221555	y22
1009.85201	7	16345943	y22
1830.800551	4	56766668	y22+CMCT
1464.4338	5	394092157	y22+CMCT
1220.194752	6	710011278	y22+CMCT
1045.737808	7	87541551	y22+CMCT
1197.685613	6	25312021	y22+CMCT-A
1195.017034	6	34421463	y22+CMCT-G
1229.169661	6	45728144	y23
1053.428278	7	29512588	y23
1525.446319	5	264086509	y23+CMCT
1271.0354	6	191422662	y23+CMCT
1089.314766	7	191136008	y23+CMCT
1070.021428	7	11113051	y23+CMCT-A
1280.174013	6	75989254	y24
1586.652262	5	73114161	y24+CMCT
1322.041049	6	12870600	y24+CMCT
1133.033506	7	158501135	y24+CMCT
1337.680094	6	92191195	y25
1146.439482	7	135004172	y25
1655.662326	5	137172532	y25+CMCT
1379.546535	6	362726719	y25+CMCT
1182.324195	7	1307414762	y25+CMCT
1357.035401	6	42058460	y25+CMCT-A
1163.030667	7	132255192	y25+CMCT-A
1354.377693	6	46316856	y25+CMCT-G
1160.744629	7	74232710	y25+CMCT-G
1430.390935	6	109336423	y26+CMCT
1225.902751	7	268413398	y26+CMCT
1206.608476	7	20549999	y26+CMCT-A
1487.892561	6	762781679	y27+CMCT
1275.193124	7	1375536049	y27+CMCT
1465.383276	6	25288331	y27+CMCT-A
1255.904553	7	150859871	y27+CMCT-A
1462.717269	6	71626070	y27+CMCT-G
1542.737847	6	77779019	y28+CMCT
1322.203212	7	521726305	y28+CMCT
1156.801149	8	38598011	y28+CMCT
1302.908829	7	29902046	y28+CMCT-A
1300.623772	7	58185464	y28+CMCT-G
1593.583472	6	36412069	y29+CMCT
1365.781789	7	410157877	y29+CMCT
1194.928374	8	76395475	y29+CMCT
1346.488156	7	44655257	y29+CMCT-A
1415.070493	7	544448163	y30+CMCT
1238.063647	8	369593283	y30+CMCT
1395.775378	7	37700462	y30+CMCT-A
1458.649017	7	189711833	y31+CMCT
1276.194989	8	210381593	y31+CMCT
1507.942272	7	179840563	y32+CMCT
1319.325278	8	452569040	y32+CMCT
1302.439337	8	69390466	y32+CMCT-A
1557.238287	7	40035810	y33+CMCT
1362.45407	8	798617487	y33+CMCT
1345.574079	8	115137916	y33+CMCT-A
1343.573505	8	91027179	y33+CMCT-G
1405.586981	8	877878611	y34+CMCT
1388.706496	8	124786342	y34+CMCT-A
1386.705104	8	106756392	y34+CMCT-G
1443.838783	8	448579057	y35+CMCT
1283.303117	9	3419714787	y35+CMCT
1426.95367	8	71353804	y35+CMCT-A
1424.956744	8	47800847	y35+CMCT-G
1266.516582	9	266429904	y35+CMCT-G
1317.194211	9	224911037	y36+CMCT
1465.08977	8	9183631	y36+CMCT-A
1351.199333	9	235837869	y37+CMCT
1334.411594	9	41342280	y37+CMCT-G
1389.536783	9	729769579	y38+CMCT
1374.529627	9	113626221	y38+CMCT-A
1372.753281	9	55420994	y38+CMCT-G
