m/z 	z 	I 	fragment 
344.03944	1	8281125	c01
689.088172	1	66892412	c02
995.113135	1	118351085	c03
844.0631	1	9914703	c03-G
649.573983	2	212097364	c04
802.586578	2	585154574	c05
975.111022	2	554260650	c06
649.73783	3	16273424	c06
899.586428	2	42619908	c06-G
1147.631898	2	294932004	c07
764.752732	3	101259787	c07
1320.155531	2	86538776	c08
879.769166	3	90916809	c08
829.418629	3	26756746	c08-G
1472.680297	2	226628704	c09
981.450336	3	450825865	c09
931.09984	3	33521840	c09-G
1096.465697	3	317208216	c10
822.096421	4	42396297	c10
1046.11654	3	64725147	c10-G
1198.14707	3	464214869	c11
898.357636	4	25293286	c11
1147.794964	3	17478746	c11-G
1307.82731	3	560286559	c12
980.620686	4	529773172	c12
946.857452	4	44697958	c12-A
1257.476841	3	86224485	c12-G
942.857811	4	54074160	c12-G
1422.843926	3	163853078	c13
1066.880082	4	101440037	c13
1029.123876	4	23035662	c13-G
1524.53023	3	834990776	c14
1143.143735	4	333871286	c14
914.313204	5	86379645	c14
1474.180777	3	132966290	c14-G
1105.379887	4	55810502	c14-G
1608.257612	3	74514160	c14+CMCT
1639.535311	3	61760728	c15
1229.402746	4	114920109	c15
983.32225	5	68389900	c15
1741.548895	3	82961036	c16
1305.907372	4	296951665	c16
1044.528361	5	236913300	c16
1014.318004	5	28890111	c16-G
1368.714689	4	28070862	c16+CMCT
1843.228029	3	25473164	c17
1382.17091	4	421089522	c17
1105.536157	5	320413014	c17
921.109685	6	54931880	c17
1344.40633	4	70279849	c17-G
1075.324339	5	62995583	c17-G
1444.968433	4	74055556	c17+CMCT
1464.428205	4	234458610	c18
1171.343672	5	147062944	c18
975.954177	6	99511265	c18
1430.673431	4	22607706	c18-A
1426.674908	4	41097565	c18-G
1527.23438	4	38460582	c18+CMCT
1546.69596	4	91563062	c19
1237.157088	5	76255935	c19
1030.796214	6	94913623	c19
1206.944286	5	22808910	c19-G
1609.49964	4	38281044	c19+CMCT
1623.205159	4	87007078	c20
1298.363636	5	472635636	c20
1081.797859	6	548178881	c20
1059.291143	6	39217207	c20-A
1056.623617	6	51099847	c20-G
1686.007017	4	316200290	c20+CMCT
1348.605446	5	146598836	c20+CMCT
1123.668248	6	176333102	c20+CMCT
1321.587944	5	25613471	c20+CMCT-A
1648.241771	4	35680122	c20+CMCT-G
1367.37448	5	63010538	c21
1139.30509	6	119716617	c21
1772.263542	4	39972428	c21+CMCT
1417.606858	5	88554277	c21+CMCT
1181.173732	6	41737623	c21+CMCT
1433.17751	5	47556659	c22
1194.146673	6	93878977	c22
1023.41338	7	17398464	c22
1854.524792	4	29170071	c22+CMCT
1483.416726	5	73669599	c22+CMCT
1236.017354	6	63752796	c22+CMCT
1453.217141	5	32656575	c22+CMCT-G
1613.43935	5	22316824	c24
1302.496402	6	65712058	c24
1116.283312	7	99016461	c24
1613.43935	5	28588417	c24+CMCT
1344.364091	6	81307877	c24+CMCT
1152.16888	7	44200969	c24+CMCT
1159.858477	7	98368749	c25
1395.199499	6	84741063	c25+CMCT
1195.744518	7	97808721	c25+CMCT
1404.34244	6	427871192.4	c26
1203.576911	7	597399930	c26
1181.99994	7	41219040	c26-G
1735.653501	5	102252585	c26+CMCT
1446.209747	6	1825872544	c26+CMCT
1239.467097	7	673120261	c26+CMCT
1423.701097	6	143990284	c26+CMCT-A
1421.031995	6	207741545	c26+CMCT-G
1217.882417	7	82200174	c26+CMCT-G
1299.882476	7	109151620	c28
1137.265366	8	68162353	c28
1558.558508	6	33260454	c28+CMCT
1335.764325	7	157692818	c28+CMCT
1316.4706	7	32719146	c28+CMCT-A
1343.453904	7	139022027	c29
1175.39873	8	168978530	c29
1158.513269	8	25349269	c29-A
1609.39955	6	13079663	c29+CMCT
1379.339598	7	233372900	c29+CMCT
1206.795152	8	94913202	c29+CMCT
1357.759058	7	22160574	c29+CMCT-G
1392.746676	7	105747182	c30
1218.525012	8	205451264	c30
1428.636632	7	1067454533	c30+CMCT
1249.929367	8	157317694	c30+CMCT
1409.3436	7	141873084	c30+CMCT-A
1407.058926	7	142504827	c30+CMCT-G
1477.928674	7	163796000	c31+CMCT
1293.057793	8	105429235	c31+CMCT
1261.65973	8	72468285	c31+CMCT
1521.644586	7	50264193	c32+CMCT
1331.31642	8	362006084	c32+CMCT
1372.442904	8	399212010	c33+CMCT
1355.560165	8	95625688	c33+CMCT-A
1353.559077	8	35802701	c33+CMCT-G
1410.575105	8	517787652	c34+CMCT
1451.709574	8	297098082	c35+CMCT
1290.290797	9	142596323	c35+CMCT
1432.819654	8	53680733	c35+CMCT-G
1328.633624	9	750021987	c36+CMCT
1313.62763	9	108111973	c36+CMCT-A
1311.846926	9	89150163	c36+CMCT-G
1366.97557	9	398507242	c37+CMCT
1351.964756	9	49320683	c37+CMCT-A
1350.185979	9	58769021	c37+CMCT-G
1260.67375	10	697644956	c38+CMCT
1247.16881	10	38069718	c38+CMCT-A
1245.567829	10	108800542	c38+CMCT-G
547.119362	1	68197581	y02
892.167744	1	372296228	y03
1237.215744	1	126545578	y04
618.103548	2	123929025	y04
782.629967	2	396227704	y05
935.151128	2	412391265	y06
859.62204	2	10005487	y06-G
1099.674952	2	340657662	y07
732.781537	3	43255002	y07
1252.691899	2	172403474	y08
834.790717	3	154573970	y08
1378.28413	2	58186630	y08+CMCT
1425.215242	2	129849785	y09
949.806644	3	1055157008	y09
904.789018	3	30989650	y09-A
899.457521	3	31778320	y09-G
1550.815101	2	153876363	y09+CMCT
1033.53781	3	140362832	y09+CMCT
1597.73219	2	75568092	y10
1064.819865	3	381867606	y10
1522.217172	2	21638949	y10-G
1014.471255	3	23035443	y10-G
1723.337632	2	99049412	y10+CMCT
1148.552607	3	145726564	y10+CMCT
1750.25745	2	14533628	y11
1166.503102	3	210650550	y11
874.62509	4	10164774	y11
1875.859846	2	44515083	y11+CMCT
1250.237249	3	116118523	y11+CMCT
1276.185138	3	114647975	y12
956.888911	4	133605236	y12
1231.164662	3	17969739	y12-A
1359.91659	3	140413576	y12+CMCT
1019.691281	4	22891590	y12+CMCT
1391.200895	3	563576014	y13
1043.15087	4	2006257198	y13
834.317739	5	131378376	y13
1009.386879	4	85588797	y13-A
1340.848486	3	38476361	y13-G
1005.387258	4	143353669	y13-G
1474.940191	3	542409654	y13+CMCT
1105.949852	4	590515851	y13+CMCT
1429.918761	3	20252900	y13+CMCT-A
1068.187382	4	34361068	y13+CMCT-G
1493.213041	3	133272132	y14
1119.654498	4	91235948	y14
895.52367	5	13392549	y14
1576.94463	3	113259846	y14+CMCT
1182.45634	4	41263183	y14+CMCT
