m/z 	z 	I 	fragment 
1081.799169	6	693253804	c20
1059.290782	6	38584959	c20-A
1056.62375	6	95648882	c20-G
1686.007686	4	455884697	c20+CMCT
1348.60508	5	310504282	c20+CMCT
1123.667582	6	195706379	c20+CMCT
1648.24359	4	85132041	c20+CMCT-G
1318.391085	5	31837695	c20+CMCT-G
1367.372888	5	95378539	c21
1139.3065	6	131100760	c21
1772.265109	4	42611973	c21+CMCT
1417.607775	5	108460519	c21+CMCT
1181.172289	6	77553732	c21+CMCT
1433.18179	5	65336530	c22
1194.149483	6	114706500	c22
1406.165339	5	26678001	c22-A
1854.522798	4	20765138	c22+CMCT
1483.420927	5	149522089	c22+CMCT
1236.016319	6	122309142	c22+CMCT
1059.300738	7	32128264	c22+CMCT
1302.500405	6	77920300	c24
1116.283724	7	141747054	c24
1613.439196	5	66327155	c24+CMCT
1344.363959	6	92918519	c24+CMCT
1152.1638	7	77171981	c24+CMCT
1586.426631	5	28928460	c24+CMCT-A
1132.878843	7	16985637	c24+CMCT-A
1353.340673	6	48558211	c25
1159.858456	7	117150746	c25
1674.442444	5	51535209	c25+CMCT
1395.201724	6	111497222	c25+CMCT
1195.745278	7	127824803	c25+CMCT
1370.028139	6	48595336	c25+CMCT-G
1404.343828	6	542945425	c26
1203.578474	7	690839302	c26
1381.833974	6	39746473	c26-A
1184.281863	7	74090893	c26-A
1379.170758	6	59369353	c26-G
1735.657232	5	154157443	c26+CMCT
1446.210098	6	2314292677	c26+CMCT
1239.465414	7	870804456	c26+CMCT
1423.699681	6	170370983	c26+CMCT-A
1421.032779	6	259960820	c26+CMCT-G
1217.884644	7	79125767	c26+CMCT-G
1299.879441	7	95303952	c28
1137.266194	8	76515137	c28
1335.764947	7	230022229	c28+CMCT
1343.455032	7	188574238	c29
1175.397703	8	219041627	c29
1379.340929	7	330075721	c29+CMCT
1206.798727	8	101688193	c29+CMCT
1360.050392	7	35738190	c29+CMCT-A
1392.748154	7	172933004	c30
1218.528043	8	260698879	c30
1428.636549	7	1319249588	c30+CMCT
1249.927784	8	197080994	c30+CMCT
1409.342147	7	157513282	c30+CMCT-A
1407.057051	7	207315871	c30+CMCT-G
1261.663996	8	68034328	c31
1477.929827	7	174426655	c31+CMCT
1293.058031	8	140232184	c31+CMCT
1458.630053	7	44615386	c31+CMCT-A
1521.647401	7	37076302	c32+CMCT
1331.314182	8	494172889	c32+CMCT
1314.433916	8	32231084	c32+CMCT-A
1312.433164	8	74306677	c32+CMCT-G
1372.445289	8	472185174	c33+CMCT
1355.561264	8	108819001	c33+CMCT-A
1410.578142	8	663825822	c34+CMCT
1451.708069	8	309705432	c35+CMCT
1432.823645	8	35447697	c35+CMCT-G
1328.633156	9	1052294661	c36+CMCT
1313.625722	9	123797538	c36+CMCT-A
1311.846817	9	154311213	c36+CMCT-G
1366.972605	9	536241558	c37+CMCT
1351.96547	9	38831035	c37+CMCT-A
1350.188475	9	95254923	c37+CMCT-G
1260.675044	10	1052105665	c38+CMCT
1247.168678	10	33852904	c38+CMCT-A
1245.571427	10	124317343	c38+CMCT-G
547.119597	1	72574196	y02
892.167703	1	524463447	y03
1237.216519	1	206616423	y04
618.103649	2	141463241	y04
782.630324	2	541678364	y05
935.151405	2	593853975	y06
859.62463	2	11992296	y06-G
429.3065	4	11403669	y06-G
1099.675503	2	513223972	y07
732.782717	3	58609573	y07
1252.690661	2	365000515	y08
834.791036	3	186811004	y08
1378.286456	2	86629179	y08+CMCT
1425.213217	2	210468920	y09
949.806498	3	1622748324	y09
904.789211	3	55496918	y09-A
899.456964	3	58442182	y09-G
1550.81361	2	205558788	y09+CMCT
1033.538862	3	190753800	y09+CMCT
1597.732787	2	151901968	y10
1064.820981	3	598565326	y10
1530.206064	2	22967055	y10-A
1522.210596	2	38377418	y10-G
1014.471245	3	50253200	y10-G
1723.33696	2	133153423	y10+CMCT
1148.554042	3	176663971	y10+CMCT
1166.503378	3	312545609	y11
874.62405	4	26440098	y11
1875.859959	2	54709315	y11+CMCT
1250.234743	3	145015361	y11+CMCT
1276.184807	3	215568551	y12
956.889631	4	172013747	y12
1359.919119	3	165872640	y12+CMCT
1019.687096	4	48483995	y12+CMCT
1391.202698	3	813109145	y13
1043.150463	4	2758194215	y13
834.318395	5	139207239	y13
1346.182404	3	49944891	y13-A
1009.387611	4	141485782	y13-A
1340.850338	3	82034894	y13-G
1005.386302	4	180156414	y13-G
1474.9393	3	649158553	y13+CMCT
1105.950599	4	700986319	y13+CMCT
1429.918176	3	36426039	y13+CMCT-A
1072.187908	4	42519742	y13+CMCT-A
1424.58815	3	41907400	y13+CMCT-G
1493.210413	3	208152060	y14
1119.656244	4	141406141	y14
895.524551	5	31943155	y14
1442.857565	3	40697223	y14-G
1576.941805	3	153568106	y14+CMCT
1182.455859	4	46954742	y14+CMCT
1594.892146	3	95535842	y15
1195.914664	4	140016028	y15
956.531791	5	86588650	y15
1678.622096	3	78770280	y15+CMCT
1006.771302	5	28743792	y15+CMCT
1258.71666	4	123432751	y15+CMCT
1709.901868	3	104802466	y16
1282.180193	4	813774007	y16
1025.541272	5	292344999	y16
998.530845	5	25306428	y16-A
1659.560001	3	21124919	y16-G
1244.41449	4	78660358	y16-G
995.332906	5	21449535	y16-G
1793.638135	3	86607235	y16+CMCT
1344.979062	4	208477726	y16+CMCT
1075.782741	5	89452200	y16+CMCT
1358.437599	4	193378925	y17
1086.550267	5	171238934	y17
905.29018	6	9327408	y17
1421.238126	4	117716203	y17+CMCT
1136.788829	5	100086573	y17+CMCT
1440.69833	4	148599957	y18
1152.360257	5	135352860	y18
960.131713	6	50666177	y18
1503.505625	4	196351144	y18+CMCT
1202.600555	5	132606456	y18+CMCT
1123.484548	6	86495888	y21
1748.528451	4	156093718	y21+CMCT
1398.622668	5	253579289	y21+CMCT
1165.355127	6	445762378	y21+CMCT
1142.846743	6	26415394	y21+CMCT-A
1414.193762	5	133484471	y22
1178.329427	6	179252776	y22
1009.852041	7	74728720	y22
988.274933	7	16554468	y22-G
1830.803542	4	63382244	y22+CMCT
1464.432709	5	507639700	y22+CMCT
1220.194186	6	805869757	y22+CMCT
1045.738147	7	112480783	y22+CMCT
1197.685689	6	24893014	y22+CMCT-A
1195.020133	6	59797555	y22+CMCT-G
1229.168831	6	80284536	y23
1053.429375	7	83215637	y23
1475.20398	5	47469756	y23
1525.446051	5	355027677	y23+CMCT
1089.314276	7	234128778	y23+CMCT
1271.0354	6	324770423	y23+CMCT
1248.525556	6	45208722	y23+CMCT-A
1337.680153	6	175661517	y25
1146.440589	7	206252605	y25
1127.147953	7	27609499	y25-A
1655.660088	5	132614561	y25+CMCT
1379.546671	6	454013843	y25+CMCT
1182.324367	7	1384075037	y25+CMCT
1628.644852	5	23686451	y25+CMCT-A
1357.041167	6	67638244	y25+CMCT-A
1163.03155	7	147443021	y25+CMCT-A
1160.745903	7	65869769	y25+CMCT-G
1430.391305	6	121818605	y26+CMCT
1225.903135	7	303278754	y26+CMCT
1487.892376	6	782495914	y27+CMCT
1275.196589	7	853720189	y27+CMCT
1255.904118	7	89064645	y27+CMCT-A
1462.719122	6	58078855	y27+CMCT-G
1253.620238	7	96551775	y27+CMCT-G
1542.737945	6	65230748	y28+CMCT
1322.201751	7	616454913	y28+CMCT
1156.798737	8	56829370	y28+CMCT
1302.907624	7	88905359	y28+CMCT-A
1300.622944	7	41267770	y28+CMCT-G
1593.58177	6	46325443	y29+CMCT
1365.781054	7	457132538	y29+CMCT
1194.933583	8	49644472	y29+CMCT
1415.071144	7	584828475	y30+CMCT
1238.062722	8	413268324	y30+CMCT
1395.778867	7	52210901	y30+CMCT-A
1393.49179	7	34344371	y30+CMCT-G
1458.649639	7	208690469	y31+CMCT
1276.191336	8	317954870	y31+CMCT
1507.943234	7	187379387	y32+CMCT
1319.32422	8	557869998	y32+CMCT
1736.919032	6	31239554	y32+CMCT-A
1488.646798	7	43644841	y32+CMCT-A
1302.442014	8	39081749	y32+CMCT-A
1486.365932	7	61635869	y32+CMCT-G
1300.444916	8	52416718	y32+CMCT-G
1557.235065	7	61144311	y33+CMCT
1362.454146	8	910332369	y33+CMCT
1345.574344	8	159854168	y33+CMCT-A
1343.573798	8	80944751	y33+CMCT-G
1405.587357	8	906988892	y34+CMCT
1388.705725	8	129649400	y34+CMCT-A
1386.706555	8	128703993	y34+CMCT-G
1443.837679	8	491606325	y35+CMCT
1283.303177	9	5486090425	y35+CMCT
1426.954937	8	48209784	y35+CMCT-A
1424.960462	8	32559351	y35+CMCT-G
1266.515497	9	391413375	y35+CMCT-G
1317.1963	9	297654467	y36+CMCT
1300.4066	9	14175036	y36+CMCT-G
1351.195963	9	279561471	y37+CMCT
1501.343228	8	37359919	y37+CMCT-G
1389.536018	9	838615022	y38+CMCT
1374.524586	9	110882680	y38+CMCT-A
