m/z 	z 	I 	fragment 
344.03939	1	8888761	c01
689.087932	1	84494688	c02
538.03806	1	11751768	c02-G
995.114764	1	169805886	c03
844.06453	1	15900130	c03-G
649.57384	2	248766098	c04
802.58606	2	750646701	c05
727.0614	2	13272459	c05-G
975.111691	2	752049439	c06
649.737	3	19485434	c06
899.585658	2	68718267	c06-G
1147.632734	2	400478085	c07
764.752689	3	97429380	c07
1072.108332	2	44499354	c07-G
1320.156858	2	127833513	c08
879.769508	3	111748113	c08
829.419099	3	37068942	c08-G
1472.680164	2	304023723	c09
981.449729	3	603208162	c09
1397.149921	2	37257175	c09-G
931.099389	3	61798029	c09-G
1096.466612	3	436289786	c10
822.097636	4	30064682	c10
1569.675925	2	22902320	c10-G
1046.11618	3	68499138	c10-G
1797.726446	2	47747682	c11
1198.145219	3	663233511	c11
898.358973	4	56872928	c11
1722.199275	2	26090221	c11-G
1147.795899	3	35648233	c11-G
1307.828573	3	751929254	c12
980.620623	4	671108546	c12
946.858312	4	49997529	c12-A
1257.478056	3	114741002	c12-G
942.857755	4	94737672	c12-G
1422.845245	3	219557363	c13
1066.881661	4	112950598	c13
1029.121917	4	24259776	c13-G
1524.529509	3	1147777966	c14
1143.143468	4	488535420	c14
914.312907	5	121180519	c14
1479.511103	3	24693808	c14-A
1474.178931	3	169801872	c14-G
1105.381034	4	64697269	c14-G
1608.256272	3	124496196	c14+CMCT
1639.538418	3	128234417	c15
1229.404906	4	139016099	c15
983.322409	5	67800025	c15
1195.641666	4	26548905	c15-A
1589.198806	3	22156215	c15-G
1191.640977	4	21423684	c15-G
1741.550991	3	109883767	c16
1305.910116	4	427937150	c16
1044.528108	5	305313287	c16
1014.317246	5	44942354	c16-G
1368.709925	4	37223319	c16+CMCT
1382.170665	4	559057767	c17
1105.536145	5	407023109	c17
921.111705	6	57077253	c17
1344.407642	4	95776827	c17-G
1075.324906	5	77816736	c17-G
1444.972519	4	80993841	c17+CMCT
1464.431223	4	295817031	c18
1171.344478	5	198848099	c18
975.954921	6	136663414	c18
1430.671695	4	25471710	c18-A
1426.674565	4	59404023	c18-G
1141.135098	5	42695332	c18-G
1527.240693	4	43873134	c18+CMCT
1546.693492	4	142831406	c19
1237.155464	5	145530149	c19
1030.796735	6	107713232	c19
1206.942353	5	26116149	c19-G
1609.504699	4	23126378	c19+CMCT
1623.206721	4	128347336	c20
1298.362132	5	626641079	c20
