m/z 	z 	I 	fragment 
689.088203	1	55286771	c02
538.03829	1	12462483	c02-G
995.11284	1	112417354	c03
649.574119	2	189097308	c04
802.586998	2	491264075	c05
975.109643	2	425466854	c06
649.73749	3	15414517	c06
899.584953	2	35351585	c06-G
1147.630946	2	236376126	c07
764.752678	3	64944826	c07
1072.104509	2	19407848	c07-G
1320.154056	2	56431819	c08
879.770222	3	78758380	c08
829.418818	3	38302433	c08-G
1472.678964	2	180421987	c09
981.450037	3	349478623	c09
1397.148236	2	20600224	c09-G
931.09889	3	34973755	c09-G
1598.276953	2	21747383	c09+CMCT
1096.464883	3	257885127	c10
1046.115674	3	51750022	c10-G
1198.146797	3	450315070	c11
1147.794145	3	34946991	c11-G
1307.82789	3	465667636	c12
980.621293	4	439715371	c12
946.857814	4	25404159	c12-A
942.857204	4	48276691	c12-G
1422.844727	3	128637450	c13
1066.882907	4	74257793	c13
1524.527803	3	682937356	c14
1143.14356	4	253276616	c14
914.314192	5	79014413	c14
1474.179747	3	101283020	c14-G
1608.261897	3	33333314	c14+CMCT
1639.536352	3	91849881	c15
1229.402694	4	99893292	c15
983.320651	5	45951695	c15
1191.638883	4	21546516	c15-G
1741.544491	3	62014695	c16
1305.907943	4	257625296	c16
1044.529193	5	158453054	c16
1368.71093	4	11590008	c16+CMCT
1382.170787	4	349037157	c17
1105.535333	5	258523029	c17
921.111682	6	32678988	c17
1344.410941	4	69152477	c17-G
1075.324752	5	44730556	c17-G
1444.972837	4	38458852	c17+CMCT
1464.429307	4	219342045	c18
1171.343707	5	148253588	c18
975.953799	6	97825190	c18
953.442171	6	29415735	c18-A
1426.678143	4	36721242	c18-G
1546.694878	4	73026803	c19
1237.156824	5	95016312	c19
1030.795105	6	87269677	c19
1609.49751	4	31396227	c19+CMCT
1623.198398	4	63335624	c20
1298.363053	5	314675626	c20
1081.798225	6	369059496	c20
1059.29462	6	11476325	c20-A
1056.62245	6	39532709	c20-G
1686.008147	4	308089966	c20+CMCT
1348.604437	5	234767286	c20+CMCT
1123.66667	6	128019217	c20+CMCT
1321.599752	5	21273465	c20+CMCT-A
1648.240129	4	13056032	c20+CMCT-G
1367.37114	5	58819572	c21
1139.305033	6	73438539	c21
1772.26569	4	17506731	c21+CMCT
1417.607125	5	78178409	c21+CMCT
1181.1747	6	47778286	c21+CMCT
1433.17294	5	29192957	c22
1194.146915	6	59637644	c22
1406.166503	5	31047366	c22-A
1483.416718	5	101525446	c22+CMCT
1236.013704	6	87408472	c22+CMCT
1613.43935	5	39224687	c24
1302.493391	6	76167448	c24
1116.281885	7	54970709	c24
1532.986712	5	13238691	c24-G
1613.441398	5	39191339	c24+CMCT
1344.364704	6	86412712	c24+CMCT
1152.169002	7	31135153	c24+CMCT
1353.339984	6	12949372	c25
1159.858799	7	54574366	c25
1395.199854	6	71577597	c25+CMCT
1195.745016	7	93025632	c25+CMCT
1372.696158	6	26787156	c25+CMCT-A
1404.343492	6	297817838	c26
1203.575689	7	387291634	c26
1184.283189	7	31648242	c26-A
1182.003167	7	53473433	c26-G
1735.648114	5	87377913	c26+CMCT
1446.209682	6	1746092832	c26+CMCT
1239.464506	7	563717796	c26+CMCT
1423.70057	6	115804014	c26+CMCT-A
1421.034019	6	207377662	c26+CMCT-G
1217.882043	7	64285757	c26+CMCT-G
1299.877361	7	68384743	c28
1137.267105	8	48753589	c28
1558.55933	6	27336620	c28+CMCT
1335.760692	7	147678162	c28+CMCT
1316.466889	7	54504663	c28+CMCT-A
1343.454401	7	104560810	c29
1175.399587	8	109866680	c29
1609.39955	6	8900476	c29+CMCT
1379.338604	7	300848197	c29+CMCT
1206.795161	8	85234081	c29+CMCT
1584.231489	6	22068724	c29+CMCT-G
1357.760282	7	14913689	c29+CMCT-G
1392.745529	7	110592469	c30
1218.525186	8	140862271	c30
1428.633482	7	955516514	c30+CMCT
1249.929186	8	119732461	c30+CMCT
1409.339786	7	111186705	c30+CMCT-A
1407.058056	7	158154510	c30+CMCT-G
1261.65664	8	39102772	c31
1477.924056	7	159640811	c31+CMCT
1293.0579	8	112432996	c31+CMCT
1331.313046	8	303072243	c32+CMCT
1502.348693	7	32378453	c32+CMCT-A
1312.431299	8	47472412	c32+CMCT-G
1372.441723	8	342837552	c33+CMCT
1355.555338	8	51845190	c33+CMCT-A
1353.557632	8	22888293	c33+CMCT-G
1410.572509	8	380013694	c34+CMCT
1391.694309	8	35076887	c34+CMCT-G
1451.708682	8	218450313	c35+CMCT
1290.290856	9	178175024	c35+CMCT
1434.815989	8	28675558	c35+CMCT-A
1275.291389	9	260297731	c35+CMCT-A
1708.52786	7	17834760	c36+CMCT
1328.633856	9	670841577	c36+CMCT
1313.622536	9	47714862	c36+CMCT-A
1311.849117	9	43787384	c36+CMCT-G
1366.970956	9	367804829	c37+CMCT
1351.959752	9	39628963	c37+CMCT-A
1350.18867	9	44533377	c37+CMCT-G
1260.673559	10	578570782	c38+CMCT
547.119377	1	59806878	y02
892.167382	1	313574500	y03
1237.216945	1	112065642	y04
618.104112	2	112307901	y04
782.630618	2	311123624	y05
935.150259	2	325439825	y06
1099.675292	2	258519463	y07
732.782177	3	33567258	y07
1252.69084	2	121753985	y08
834.79148	3	125336720	y08
1378.285079	2	63834139	y08+CMCT
918.52375	3	9371589	y08+CMCT
1425.214688	2	106563702	y09
949.807527	3	917979832	y09
904.788098	3	33514738	y09-A
899.456904	3	34128760	y09-G
1550.815296	2	108862566	y09+CMCT
1033.538045	3	110784390	y09+CMCT
1597.727501	2	82042304	y10
1064.820737	3	332290858	y10
1522.22231	2	19375905	y10-G
1014.471488	3	20421608	y10-G
1723.337212	2	75033388	y10+CMCT
1148.55267	3	94584775	y10+CMCT
1166.501272	3	174283488	y11
874.62509	4	12635189	y11
1250.237475	3	64876553	y11+CMCT
1276.181306	3	120583564	y12
956.888906	4	129975965	y12
1359.916305	3	102222871	y12+CMCT
1391.200371	3	500999142	y13
1043.150932	4	1800364946	y13
834.318778	5	123643031	y13
1009.386789	4	99890786	y13-A
1340.849897	3	51204338	y13-G
1005.387088	4	157184412	y13-G
1474.93657	3	321762168	y13+CMCT
1105.94923	4	408896853	y13+CMCT
1429.913269	3	27730272	y13+CMCT-A
1493.209281	3	113807154	y14
1119.654677	4	88457943	y14
1442.870532	3	38261968	y14-G
1576.942348	3	72310135	y14+CMCT
1594.884313	3	64377458	y15
1195.914873	4	92154858	y15
956.531406	5	52500686	y15
1678.625781	3	46334646	y15+CMCT
1709.899635	3	64067226	y16
1282.17961	4	545672849	y16
1025.540127	5	210511612	y16
1244.414455	4	37978777	y16-G
